	entrez gene/locuslink	human readable name	name	ENTREZID	atid	AVERAGEbs
24	AT4G26090|828715|F20B18.200|RPS2|F20B18_200|DISEASE RESISTANCE PROTEIN RPS2|RESISTANT TO P. SYRINGAE 2	AT4G26090	RPS2	828715	AT4G26090	1.857879125
25	DISEASE RESISTANCE PROTEIN RPM1|RPM1|819889|AT3G07040|RPS3|RESISTANCE TO PSEUDOMONAS SYRINGAE 3|RESISTANCE TO P. SYRINGAE PV MACULICOLA 1	DISEASE RESISTANCE PROTEIN RPM1	RPS3	819889	AT3G07040	0.70557467475
26	Reticulan like protein B1|F9D16.100|BTI1|VIRB2-interacting protein 1|828463|AT4G23630|F9D16_100|RTNLB1	Reticulan like protein B1	RTNLB1	828463	AT4G23630	-1.2863915205
27	818429|T19C21.4|T19C21_4|WRKY33|WRKY DNA-BINDING PROTEIN 33|ATWRKY33|AT2G38470	T19C21.4	WRKY33	818429	AT2G38470	1.5915790840000001
28	YELLOW STRIPE like 8|F11A17_8|F11A17.8|841257|AT1G48370|YSL8	YELLOW STRIPE like 8	YSL8	841257	AT1G48370	1.72043714
29	F7L13.60|F7L13_60|826640|AT4G10480	AT4G10480	AT4G10480	826640	AT4G10480	-1.241577856
30	AT5G63190|836440|MDC12.16|MDC12_16	AT5G63190	MRF1	836440	AT5G63190	1.285001491
31	AT5G49910|chloroplast heat shock protein 70-2|835054|HEAT SHOCK PROTEIN 70-7|HSC70-7|HEAT SHOCK PROTEIN 70|cpHsc70-2|CPHSC70-2EAT SHOCK PROTEIN 70-2|K9P8.5|K9P8_5	AT5G49910	HSP70-7	835054	AT5G49910	1.4354537059999999
32	832246|AT5G21326	AT5G21326	CIPK26	832246	AT5G21326	2.227211789
33	INDUCER OF CBF EXPRESSION 1|ICE1|ATICE1|SCREAM|A. THALIANA INDUCER OF CBP EXPRESSION 1|SCRM|822287|AT3G26744	AT3G26744	SCRM	822287	AT3G26744	-3.161916024
