bhid	atid
Brahy.D01G0958200	AT3G25920
Brahy.D01G0330100	AT3G59540
Brahy.D01G0971300	AT4G38580
Brahy.D01G0919500	AT2G37840
Brahy.D01G0904100	AT2G39290
Brahy.D01G0253200	AT2G17930
Brahy.D01G0952000	AT1G27480
Brahy.D01G0669000	AT4G22990
Brahy.D01G0100000	AT3G29185
Brahy.D01G0862600	AT1G09130
Brahy.D01G0576700	AT3G19190
Brahy.D01G0030100	AT4G02510
Brahy.D01G0103500	AT3G02130
Brahy.D01G0919900	AT3G55640
Brahy.D01G0919400	AT4G00550
Brahy.D01G0675400	AT5G27270
Brahy.D01G0993100	AT1G72360
Brahy.D01G0857500	AT3G57300
Brahy.D01G0026400	AT1G34300
Brahy.D01G0996100	AT1G72520
Brahy.D01G0527100	AT1G28540
Brahy.D01G0092500	AT1G74970
Brahy.D01G0165200	AT4G39260
Brahy.D01G0232400	AT3G06810
Brahy.D01G0202900	AT1G52870
Brahy.D01G0379400	AT1G16270
Brahy.D01G0872100	AT5G58250
Brahy.D01G0200000	AT3G26330
Brahy.D01G0999500	AT2G02040
Brahy.D01G0919000	AT1G07430
Brahy.D01G0463200	AT1G16720
Brahy.D01G0185700	AT5G28750
Brahy.D01G0971200	AT5G67380
Brahy.D01G1048800	AT1G01040
Brahy.D01G0263600	AT5G39530
Brahy.D01G0862700	AT1G02890
Brahy.D01G0865500	AT4G02260
Brahy.D01G0246900	AT5G04140
Brahy.D01G0350000	AT1G23140
Brahy.D01G0093200	AT3G50830
Brahy.D01G0494100	AT2G26660
Brahy.D01G0341800	AT1G61930
Brahy.D01G0926300	AT1G06820
Brahy.D01G0610000	AT2G15695
Brahy.D01G0320100	AT4G03390
Brahy.D01G0921600	AT4G37300
Brahy.D01G0856300	AT4G23460
Brahy.D01G0934300	AT2G21180
Brahy.D04G0601500	AT5G09810
Brahy.D04G0519800	AT2G21320
Brahy.D04G0070800	AT5G27920
Brahy.D04G0112600	AT2G32810
Brahy.D04G0112700	AT1G55860
Brahy.D04G0647500	AT2G35800
Brahy.D04G0370600	AT5G58375
Brahy.D04G0318400	AT4G09350
Brahy.D04G0369000	AT5G03940
Brahy.D04G0031700	AT5G43700
Brahy.D04G0374400	AT3G51620
Brahy.D04G0453700	AT1G56220
Brahy.D04G0584600	AT1G02816
Brahy.D04G0243300	AT1G68050
Brahy.D04G0249600	AT3G50150
Brahy.D04G0635600	AT3G05975
Brahy.D04G0342000	AT4G22756
Brahy.D04G0506300	AT3G03310
Brahy.D04G0195300	AT5G48830
Brahy.D04G0219900	AT5G57960
Brahy.D04G0185500	AT3G18830
Brahy.D04G0347700	AT1G71960
Brahy.D04G0623300	AT3G57330
Brahy.D04G0114600	AT1G17840
Brahy.D04G0374800	AT2G30520
Brahy.D04G0063700	AT5G49930
Brahy.D04G0058300	AT3G46560
Brahy.D04G0570500	AT5G50360
Brahy.D04G0597500	AT3G52950
Brahy.D04G0010100	AT2G21660
Brahy.D04G0128800	AT2G39730
Brahy.D04G0579500	AT1G79620
Brahy.D04G0198600	AT4G37900
Brahy.D04G0521400	AT4G22920
Brahy.D04G0142700	AT3G06510
Brahy.D04G0649500	AT3G45780
Brahy.D04G0570200	AT5G14285
Brahy.D04G0400800	AT2G01590
Brahy.D04G0307600	AT4G10120
Brahy.D04G0335800	AT1G21640
Brahy.D04G0115500	AT2G23290
Brahy.D04G0064200	AT5G26820
Brahy.S04G0116900	AT4G35750
Brahy.S04G0234500	AT1G66330
Brahy.S04G0242800	AT4G32760
Brahy.S04G0156600	AT1G67580
Brahy.S04G0302100	AT5G57580
Brahy.S04G0038800	AT5G04260
Brahy.S04G0293900	AT4G13150
Brahy.S04G0117700	AT2G17560
Brahy.S04G0175000	AT5G64330
Brahy.S04G0240400	AT2G20050
Brahy.S04G0250800	AT5G53160
Brahy.S04G0203900	AT5G13160
Brahy.S04G0177400	AT3G48200
Brahy.S04G0162900	AT2G32190
Brahy.S04G0301900	AT4G30310
Brahy.S04G0278800	AT5G20030
Brahy.S04G0360800	AT1G20960
Brahy.S04G0324000	AT4G30200
Brahy.S04G0133000	AT4G21670
Brahy.S04G0198000	AT5G03720
Brahy.S04G0267800	AT5G36250
Brahy.S04G0150500	AT4G28025
Brahy.S04G0162200	AT3G26570
Brahy.S04G0178800	AT1G14450
Brahy.S04G0173600	AT4G08920
Brahy.S04G0007800	AT3G19990
Brahy.S04G0110200	AT5G52660
Brahy.S04G0286600	AT5G12950
Brahy.S04G0144000	AT5G61380
Brahy.S04G0218700	AT3G13062
Brahy.S04G0095200	AT3G27820
Brahy.S04G0152000	AT2G31800
Brahy.S04G0333500	AT1G16710
Brahy.S04G0039600	AT3G58060
Brahy.S04G0096000	AT4G34530
Brahy.S04G0339000	AT1G31760
Brahy.S04G0342700	AT5G47110
Brahy.S04G0178400	AT1G33360
Brahy.S04G0202900	AT5G41080
Brahy.S04G0213600	AT3G07360
Brahy.S04G0174300	AT5G64300
Brahy.S04G0042100	AT5G35560
Brahy.S04G0051900	AT5G55710
Brahy.D03G0312900	AT5G24080
Brahy.D03G0403200	AT1G03610
Brahy.D03G0372600	AT3G53180
Brahy.D03G0693300	AT2G46680
Brahy.D03G0664100	AT5G60600
Brahy.D03G0305000	AT5G66150
Brahy.D03G0317300	AT1G75390
Brahy.D03G0530300	AT4G39970
Brahy.D03G0681800	AT4G30080
Brahy.D03G0027700	AT1G64720
Brahy.D03G0646400	AT3G47550
Brahy.D03G0193300	AT3G04120
Brahy.D03G0148600	AT3G47570
Brahy.D03G0723500	AT1G54130
Brahy.D03G0130600	AT4G40070
Brahy.D03G0572200	AT3G59340
Brahy.D03G0635000	AT4G10080
Brahy.D03G0056100	AT1G28360
Brahy.D03G0042900	AT3G13040
Brahy.D03G0443200	AT4G00440
Brahy.D03G0040100	AT1G79000
Brahy.D03G0395200	AT4G33630
Brahy.D03G0768000	AT3G23150
Brahy.D03G0033000	AT4G02750
Brahy.D03G0693500	AT3G47060
Brahy.D03G0456300	AT4G17090
Brahy.D03G0200100	AT2G32280
Brahy.D03G0482900	AT1G22160
Brahy.D03G0680300	AT1G08650
Brahy.D03G0824600	AT5G57610
Brahy.D03G0641800	AT1G47480
Brahy.D03G0423700	AT3G61060
Brahy.D03G0213000	AT4G15180
Brahy.D03G0446100	AT1G12160
Brahy.D03G0197200	AT5G03555
Brahy.D03G0293200	AT5G19400
Brahy.D03G0567800	AT5G50810
Brahy.D03G0538400	AT5G25610
Brahy.D03G0550200	AT1G20980
Brahy.D03G0680100	AT1G04400
Brahy.D03G0715200	AT1G61570
Brahy.D03G0690200	AT2G45140
Brahy.D03G0478100	AT4G10960
Brahy.D03G0574800	AT3G14470
Brahy.D03G0113600	AT5G11850
Brahy.D03G0683200	AT2G39260
Brahy.D03G0572600	AT3G59350
Brahy.D03G0216100	AT1G71830
Brahy.D03G0556600	AT5G57110
Brahy.D03G0610900	AT3G02040
Brahy.D03G0676100	AT2G20490
Brahy.D03G0483200	AT4G39780
Brahy.D03G0786500	AT4G33200
Brahy.D03G0634300	AT1G59940
Brahy.D03G0124500	AT2G42740
Brahy.D03G0737500	AT2G04842
Brahy.D03G0187300	AT2G46750
Brahy.D03G0425700	AT2G42010
Brahy.D03G0783600	AT2G02850
Brahy.S09G0196300	AT4G17790
Brahy.S09G0202200	AT1G64850
Brahy.S09G0274800	AT3G48990
Brahy.S09G0023200	AT5G64460
Brahy.S09G0221300	AT2G43020
Brahy.S09G0164300	AT4G17100
Brahy.S09G0179500	AT1G48410
Brahy.S09G0080300	AT1G43245
Brahy.S09G0277600	AT1G76900
Brahy.S09G0090200	AT1G22930
Brahy.S09G0199000	AT5G17165
Brahy.S09G0136500	AT3G55280
Brahy.S09G0248000	AT4G36890
Brahy.S09G0260500	AT2G03890
Brahy.S09G0141900	AT5G63030
Brahy.S09G0151600	AT1G65730
Brahy.S09G0252800	AT4G31430
Brahy.S09G0123300	AT3G57520
Brahy.S09G0192000	AT4G17670
Brahy.S09G0124800	AT5G40500
Brahy.S09G0145300	AT4G21760
Brahy.S09G0149100	AT5G20660
Brahy.S02G0393200	AT1G07230
Brahy.S02G0285300	AT5G15070
Brahy.S02G0304800	AT2G01830
Brahy.S02G0369100	AT1G03910
Brahy.S02G0395400	AT4G16070
Brahy.S02G0089000	AT4G37640
Brahy.S02G0269900	AT2G32090
Brahy.S02G0121500	AT2G36530
Brahy.S02G0296200	AT5G14320
Brahy.S02G0138600	AT2G28840
Brahy.S02G0386400	AT5G59880
Brahy.S02G0218900	AT1G72370
Brahy.S02G0118200	AT4G38660
Brahy.S02G0039900	AT3G23920
Brahy.S02G0076500	AT1G28200
Brahy.S02G0230700	AT4G37470
Brahy.S02G0076100	AT3G60520
Brahy.S02G0230400	AT5G10490
Brahy.S02G0339000	AT4G37320
Brahy.S02G0380600	AT5G20180
Brahy.S02G0034600	AT1G20330
Brahy.S02G0285700	AT4G33640
Brahy.S02G0301400	AT3G17850
Brahy.S02G0405500	AT1G57870
Brahy.S02G0320500	AT5G10860
Brahy.S02G0270200	AT5G27990
Brahy.S02G0098500	AT5G61140
Brahy.S02G0158400	AT1G56300
Brahy.S02G0237600	AT3G02870
Brahy.S02G0008900	AT2G17695
Brahy.S02G0146700	AT5G13510
Brahy.S02G0335900	AT3G02100
Brahy.S02G0110300	AT3G50660
Brahy.S02G0068000	AT5G21920
Brahy.S02G0124900	AT1G80490
Brahy.S02G0275200	AT4G34480
Brahy.S02G0043200	AT2G36830
Brahy.D02G0157200	AT3G17510
Brahy.D02G0826800	AT3G13790
Brahy.D02G0427200	AT5G05830
Brahy.D02G0655600	AT3G24520
Brahy.D02G0787200	AT3G01860
Brahy.D02G0559600	AT1G72770
Brahy.D02G0474600	AT2G47940
Brahy.D02G0516100	AT2G28900
Brahy.D02G0763800	AT4G00350
Brahy.D02G0800100	AT3G62760
Brahy.D02G0799400	AT5G27690
Brahy.D02G0522000	AT5G59550
Brahy.D02G0345700	AT1G01720
Brahy.D02G0339100	AT1G22540
Brahy.D02G0553200	AT1G29070
Brahy.D02G0539300	AT3G14770
Brahy.D02G0812300	AT5G14800
Brahy.D02G0095000	AT1G54350
Brahy.D02G0810100	AT3G10150
Brahy.D02G0584300	AT1G60690
Brahy.D02G0151300	AT2G32560
Brahy.D02G0273100	AT2G16060
Brahy.D02G0171200	AT4G01800
Brahy.D02G0363200	AT3G05327
Brahy.D02G0207900	AT5G24120
Brahy.D02G0232000	AT1G79830
Brahy.D02G0380100	AT2G38800
Brahy.D02G0772400	AT5G63380
Brahy.D02G0200100	AT2G25930
Brahy.D02G0479100	AT3G06010
Brahy.D02G0447000	AT5G33320
Brahy.D02G0704800	AT3G22320
Brahy.D02G0375100	AT1G03160
Brahy.D02G0496600	AT2G28680
Brahy.D02G0419600	AT2G25810
Brahy.D02G0668800	AT2G34480
Brahy.D02G0375200	AT1G06800
Brahy.D02G0496700	AT1G75270
Brahy.D02G0827100	AT5G22450
Brahy.D02G0209900	AT1G75250
Brahy.D02G0825500	AT4G39850
Brahy.D02G0254200	AT5G04500
Brahy.D02G0009900	AT1G24190
Brahy.D02G0219900	AT2G46340
Brahy.D02G0048100	AT2G39050
Brahy.D02G0092300	AT3G16720
Brahy.D02G0453000	AT5G13560
Brahy.D02G0294000	AT5G25400
Brahy.D02G0288200	AT3G59840
Brahy.D02G0326800	AT5G05930
Brahy.D02G0725700	AT3G12360
Brahy.D02G0752900	AT5G04510
Brahy.D02G0219800	AT4G01037
Brahy.D02G0512100	AT1G02380
Brahy.D02G0451300	AT1G07110
Brahy.D02G0293700	AT1G65440
Brahy.D02G0318600	AT3G55240
Brahy.D02G0532900	AT1G70060
Brahy.D02G0577300	AT1G15520
Brahy.S05G0243800	AT3G52590
Brahy.S05G0172700	AT2G22420
Brahy.S05G0211300	AT4G38960
Brahy.S05G0080500	AT5G50600
Brahy.S05G0017600	AT2G44950
Brahy.S05G0156700	AT3G45310
Brahy.S05G0156600	AT2G05940
Brahy.S05G0008900	AT3G10740
Brahy.S05G0059700	AT3G07040
Brahy.S05G0183600	AT3G57785
Brahy.S05G0324100	AT5G45275
Brahy.S05G0142100	AT4G02050
Brahy.S05G0003300	AT5G60460
Brahy.S05G0137500	AT1G18470
Brahy.S05G0014100	AT5G05190
Brahy.S05G0308100	AT2G26800
Brahy.S05G0205700	AT4G22830
Brahy.S05G0269800	AT4G02370
Brahy.S05G0242400	AT5G03730
Brahy.S05G0013700	AT3G10910
Brahy.S05G0219200	AT2G20930
Brahy.S05G0295800	AT3G52820
Brahy.S05G0231900	AT2G25290
Brahy.S05G0130700	AT5G23050
Brahy.S05G0157900	AT5G13640
Brahy.S05G0313300	AT4G10490
Brahy.S05G0182700	AT5G13070
Brahy.S08G0231000	AT4G02920
Brahy.S08G0262100	AT3G46620
Brahy.S08G0019500	AT4G22220
Brahy.S08G0047200	AT5G62530
Brahy.S08G0006500	AT1G08620
Brahy.S08G0189800	AT1G78600
Brahy.S08G0145700	AT4G33030
Brahy.S08G0163700	AT3G06680
Brahy.S08G0050200	AT3G61770
Brahy.S08G0160600	AT1G50030
Brahy.S08G0131600	AT4G15530
Brahy.S08G0225500	AT5G44710
Brahy.S08G0242500	AT3G55260
Brahy.S08G0222700	AT3G06400
Brahy.S08G0129600	AT5G18830
Brahy.S08G0216800	AT1G66340
Brahy.S08G0118000	AT4G09160
Brahy.S08G0271100	AT1G60490
Brahy.S08G0178900	AT4G27950
Brahy.S10G0172100	AT2G26560
Brahy.S10G0207700	AT1G56580
Brahy.S10G0142900	AT1G18640
Brahy.S10G0012800	AT3G52060
Brahy.S10G0153600	AT4G02680
Brahy.S10G0217000	AT5G24318
Brahy.S10G0038500	AT3G19553
Brahy.S10G0037500	AT2G14910
