xid	tdid	identity	evalue	specie
HORVU5Hr1G037020	TRIDC5BG020850	98.154	0	hv
HORVU2Hr1G085570	TRIDC2AG050980	94.059	0	hv
HORVU5Hr1G033180	TRIDC5BG019630	96.226	0	hv
HORVU2Hr1G030820	TRIDC2AG021250	96.805	0	hv
HORVU5Hr1G041240	TRIDC5BG023120	93.963	0	hv
HORVU2Hr1G046980	TRIDC2BG033730	94.545	0	hv
HORVU2Hr1G074220	TRIDC2BG046150	97.849	0	hv
HORVU5Hr1G004700	TRIDC5BG002460	86.941	0	hv
HORVU5Hr1G061870	TRIDC5AG033920	96.178	0	hv
HORVU2Hr1G012930	TRIDC2BG010430	94.239	0	hv
Brahy.S08G0237000	TRIDC1BG014160	87.626	0	bhs
HORVU5Hr1G116800	TRIDC5BG076270	73.333	0	hv
Brahy.D05G0244000	TRIDC6BG018650	62.831	0	bhd
Brahy.D05G0172300	TRIDC2AG048780	79.755	0	bhd
HORVU5Hr1G044590	TRIDC5AG023650	95.792	0	hv
HORVU2Hr1G035810	TRIDC2BG028530	96.552	0	hv
HORVU2Hr1G015720	TRIDC2BG013270	91.925	0	hv
HORVU2Hr1G036110	TRIDC2BG028750	99.194	0	hv
Brahy.D05G0184300	TRIDC2AG050220	82.921	0	bhd
Brahy.D05G0084600	TRIDC2BG043160	88.72	0	bhd
Brahy.D02G0223900	TRIDC3BG061950	81.558	0	bhd
HORVU5Hr1G065630	TRIDC5AG036200	98.077	0	hv
Brahy.D05G0255000	TRIDC2AG057330	88.498	0	bhd
HORVU2Hr1G022620	TRIDC7AG077870	67.389	0	hv
HORVU5Hr1G045800	TRIDC5BG025340	93.316	0	hv
Brahy.D05G0366600	TRIDC2BG090540	82.201	0	bhd
Brahy.D05G0200800	TRIDC3AG035490	79.115	0	bhd
HORVU2Hr1G048010	TRIDC2AG030310	93.544	0	hv
Brahy.D05G0336600	TRIDC2AG078280	71.17	0	bhd
HORVU5Hr1G029060	TRIDC3AG055370	62.227	0	hv
HORVU5Hr1G120240	TRIDC4AG051750	97.535	0	hv
HORVU2Hr1G071960	TRIDC2AG042130	98.587	0	hv
HORVU5Hr1G060460	TRIDC5BG034690	86.301	0	hv
Brahy.D05G0345600	TRIDC2AG077290	84.457	0	bhd
HORVU2Hr1G056820	TRIDC2AG035010	95.056	0	hv
Brahy.S08G0197100	TRIDC1BG021360	81.96	0	bhs
HORVU2Hr1G011690	TRIDC2BG007750	91.783	0	hv
HORVU5Hr1G012950	TRIDC5AG008190	92.812	0	hv
Brahy.D05G0315900	TRIDC6AG046130	75.407	0	bhd
Brahy.D05G0187000	TRIDC2AG050550	86.789	0	bhd
HORVU2Hr1G005940	TRIDC2BG004810	93.437	0	hv
HORVU5Hr1G052890	TRIDC5BG029710	94.805	0	hv
HORVU2Hr1G083940	TRIDC2BG052800	99.411	0	hv
HORVU2Hr1G041780	TRIDC1AG007190	98.608	0	hv
Brahy.D05G0323800	TRIDC7AG055920	69.538	0	bhd
HORVU2Hr1G020240	TRIDC2BG017050	99.038	0	hv
Brahy.D05G0034300	TRIDC2AG075960	70.178	0	bhd
Brahy.D02G0513700	TRIDC1AG010700	97.08	0	bhd
HORVU2Hr1G060730	TRIDC2BG039580	97.619	0	hv
Brahy.D05G0213200	TRIDC3AG029540	70.803	0	bhd
HORVU5Hr1G112850	TRIDC5AG068120	95.338	0	hv
HORVU5Hr1G117470	TRIDC4AG053570	93.096	0	hv
HORVU2Hr1G036080	TRIDC2BG028710	97.821	0	hv
HORVU5Hr1G021240	TRIDC4BG027290	97.465	0	hv
Brahy.D05G0262800	TRIDC2BG068960	79.827	0	bhd
HORVU5Hr1G012780	TRIDC5BG010410	90.506	0	hv
Brahy.D05G0014300	TRIDC2BG028530	84.43	0	bhd
Brahy.D05G0144000	TRIDC2BG048120	87.716	0	bhd
Brahy.D05G0324700	TRIDC4AG023850	76.962	0	bhd
HORVU2Hr1G018920	TRIDC2AG013170	91.811	0	hv
HORVU2Hr1G010980	TRIDC2AG007170	94.316	0	hv
HORVU5Hr1G056130	TRIDC5AG030110	88.822	0	hv
HORVU2Hr1G078420	TRIDC2AG045810	74.298	0	hv
HORVU5Hr1G048120	TRIDC5AG025740	97.315	0	hv
HORVU2Hr1G044650	TRIDC2AG028820	84.538	0	hv
HORVU2Hr1G035750	TRIDC2AG024720	92.625	0	hv
HORVU2Hr1G051810	TRIDC2AG031660	89.671	0	hv
HORVU2Hr1G070320	TRIDC2BG010990	63.253	0	hv
Brahy.D05G0175100	TRIDC2BG051810	89.717	0	bhd
HORVU2Hr1G071330	TRIDC2BG044730	95.352	0	hv
HORVU5Hr1G053150	TRIDC5BG029800	97.046	0	hv
HORVU5Hr1G051180	TRIDC5AG027310	97.774	0	hv
HORVU5Hr1G045180	TRIDC5AG023810	95.847	0	hv
Brahy.S08G0179200	TRIDC3AG017760	93.413	0	bhs
HORVU5Hr1G030040	TRIDC5BG019290	95.065	0	hv
HORVU2Hr1G055380	TRIDC2BG036340	98.224	0	hv
HORVU5Hr1G123540	TRIDC3BG006010	71.88	0	hv
HORVU5Hr1G111480	TRIDC5BG071910	97.892	0	hv
Brahy.D05G0313100	TRIDC2AG073340	91.517	0	bhd
Brahy.S08G0147800	TRIDC1BG041300	88.064	0	bhs
Brahy.S08G0128600	TRIDC1AG038360	88.665	0	bhs
Brahy.D05G0089500	TRIDC3AG060410	77.296	0	bhd
HORVU2Hr1G078790	TRIDC2BG048960	95.822	0	hv
Brahy.D02G0334300	TRIDC1AG040890	78.87	0	bhd
Brahy.D05G0314400	TRIDC2AG073270	86.408	0	bhd
Brahy.D05G0309900	TRIDC2BG080770	87.234	0	bhd
Brahy.D05G0175800	TRIDC2AG049250	86.085	0	bhd
Brahy.D05G0158900	TRIDC2AG047330	94.878	0	bhd
Brahy.D05G0282500	TRIDC2AG061690	91.85	0	bhd
Brahy.D05G0011100	TRIDC2AG001740	78.555	0	bhd
Brahy.D05G0038800	TRIDC2BG005720	73.507	0	bhd
Brahy.D05G0142300	TRIDC2BG048670	84.151	0	bhd
HORVU2Hr1G016120	TRIDC2BG013750	93.86	0	hv
HORVU2Hr1G075450	TRIDC6BG044930	87.661	0	hv
Brahy.D05G0346400	TRIDC2BG085250	96.399	0	bhd
HORVU2Hr1G044510	TRIDC2BG032450	89.466	0	hv
HORVU5Hr1G054140	TRIDC2AG036760	72.709	0	hv
Brahy.D05G0236000	TRIDC2AG059850	84.878	0	bhd
Brahy.D05G0286200	TRIDC2AG061160	73.879	0	bhd
Brahy.D05G0302700	TRIDC2AG067270	86.009	0	bhd
HORVU2Hr1G071860	TRIDC2AG042070	97.428	0	hv
HORVU5Hr1G063440	TRIDC5AG035090	79.592	0	hv
Brahy.D05G0118700	TRIDC4BG059620	72.352	0	bhd
HORVU5Hr1G019110	TRIDC5AG011050	92.385	0	hv
Brahy.D05G0232400	TRIDC2BG059520	89.322	0	bhd
HORVU5Hr1G041290	TRIDC5BG023100	93.478	0	hv
HORVU2Hr1G005990	TRIDC2BG004820	83.461	0	hv
Brahy.S08G0071400	TRIDC3AG056870	83.5	0	bhs
Brahy.D05G0317100	TRIDC2AG072760	76.842	0	bhd
Brahy.D05G0258500	TRIDC2BG069540	73.609	0	bhd
Brahy.D05G0169800	TRIDC2BG050970	64.988	0	bhd
HORVU5Hr1G066810	TRIDC6AG014670	96.594	0	hv
HORVU5Hr1G006710	TRIDC3BG073040	54.305	0	hv
HORVU5Hr1G111860	TRIDC7AG021280	78.426	0	hv
HORVU5Hr1G008990	TRIDC5BG077780	64.73	0	hv
HORVU2Hr1G025160	TRIDC2BG021500	91.461	0	hv
Brahy.S08G0074100	TRIDC3AG046490	69.194	0	bhs
Brahy.D05G0043600	TRIDC1AG053410	82.124	0	bhd
HORVU5Hr1G019100	TRIDC5BG012980	90.615	0	hv
HORVU2Hr1G082590	TRIDC2BG051620	88.952	0	hv
HORVU5Hr1G063980	TRIDC7BG072440	73.196	0	hv
Brahy.D05G0365600	TRIDC7AG045510	57.642	0	bhd
HORVU5Hr1G051240	TRIDC2AG050810	89.815	0	hv
HORVU2Hr1G078910	TRIDC2AG046150	99.138	0	hv
HORVU5Hr1G124940	TRIDC5BG083140	86.905	0	hv
Brahy.D05G0311100	TRIDC2BG080530	79.84	0	bhd
Brahy.D05G0263400	TRIDC2AG064380	64.588	0	bhd
HORVU5Hr1G029260	TRIDC5BG018800	96.203	0	hv
HORVU2Hr1G035650	TRIDC2AG024630	96.906	0	hv
HORVU5Hr1G049370	TRIDC5BG027350	92.128	0	hv
HORVU2Hr1G007250	TRIDC6AG006720	88.22	0	hv
HORVU5Hr1G064700	TRIDC6BG006450	97.814	0	hv
Brahy.D05G0164400	TRIDC3BG029580	69.482	0	bhd
Brahy.D05G0040300	TRIDC2BG006440	64	0	bhd
Brahy.D05G0085100	TRIDC2BG000740	64.822	0	bhd
Brahy.D05G0323700	TRIDC2AG071860	83.448	0	bhd
Brahy.D02G0665300	TRIDC3BG045790	93.014	0	bhd
HORVU5Hr1G058890	TRIDC5AG031850	95.778	0	hv
Brahy.D05G0097700	TRIDC2AG041160	97.303	0	bhd
Brahy.D05G0123000	TRIDC2AG043280	88.367	0	bhd
Brahy.D05G0070800	TRIDC2AG006310	91.139	0	bhd
Brahy.D05G0016600	TRIDC2BG073610	48.518	0	bhd
Brahy.D05G0072400	TRIDC2AG008490	84.346	0	bhd
Brahy.D05G0177400	TRIDC2AG049450	84.928	0	bhd
HORVU5Hr1G017290	TRIDC2BG020640	55.263	0	hv
HORVU2Hr1G085210	TRIDC2AG050700	95.027	0	hv
HORVU5Hr1G039740	TRIDC5AG021070	95.218	0	hv
HORVU2Hr1G083120	TRIDC2BG052160	94.374	0	hv
Brahy.D05G0017900	TRIDC1BG010060	64.414	0	bhd
Brahy.D05G0177100	TRIDC2AG049400	73.581	0	bhd
Brahy.D05G0294100	TRIDC2BG070850	84.464	0	bhd
Brahy.D05G0231400	TRIDC7BG051370	42.714	0	bhd
Brahy.D05G0139800	TRIDC4AG035850	66.886	0	bhd
HORVU5Hr1G054010	TRIDC5BG030460	91.468	0	hv
Brahy.S08G0017800	TRIDC1AG060430	75.81	0	bhs
Brahy.S08G0145700	TRIDC1AG036470	93.375	0	bhs
HORVU2Hr1G068080	TRIDC2BG043280	86.834	0	hv
Brahy.D05G0089300	TRIDC2BG043590	87.225	0	bhd
HORVU5Hr1G057590	TRIDC5BG032700	97.222	0	hv
HORVU2Hr1G065930	TRIDC2BG042000	94.56	0	hv
Brahy.D05G0244700	TRIDC5AG013670	60.403	0	bhd
HORVU5Hr1G120340	TRIDC4AG051610	94.554	0	hv
Brahy.D05G0219200	TRIDC2AG054010	78.195	0	bhd
HORVU2Hr1G006040	TRIDC7BG043570	54.5	0	hv
HORVU2Hr1G040570	TRIDC3AG026300	77.541	0	hv
HORVU2Hr1G012630	TRIDC3AG052760	96.509	0	hv
Brahy.D05G0347400	TRIDC2BG085580	70.925	0	bhd
HORVU2Hr1G026800	TRIDC2AG018730	92.233	0	hv
HORVU2Hr1G037770	TRIDC2BG029590	98.198	0	hv
HORVU5Hr1G113040	TRIDC5BG073560	83.878	0	hv
HORVU2Hr1G065840	TRIDC2BG042030	86.213	0	hv
HORVU5Hr1G010420	TRIDC5BG007620	88.466	0	hv
HORVU2Hr1G077080	TRIDC3BG020420	76.817	0	hv
HORVU2Hr1G070040	TRIDC2BG044070	97.829	0	hv
HORVU2Hr1G012850	TRIDC2BG088590	90.963	0	hv
HORVU2Hr1G005470	TRIDC6AG006420	73.707	0	hv
Brahy.D05G0270000	TRIDC1BG035340	76.042	0	bhd
HORVU5Hr1G043130	TRIDC5AG022260	92.405	0	hv
Brahy.D05G0280000	TRIDC2AG062250	92.895	0	bhd
HORVU2Hr1G070690	TRIDC2AG041380	98.539	0	hv
HORVU2Hr1G041020	TRIDC2BG029800	93.976	0	hv
Brahy.D05G0330200	TRIDC2AG048460	60.515	0	bhd
HORVU5Hr1G027950	TRIDC4BG019560	74.043	0	hv
HORVU2Hr1G063690	TRIDC6AG052580	58.65	0	hv
Brahy.D05G0136400	TRIDC2AG044640	90.323	0	bhd
HORVU5Hr1G034820	TRIDC4BG011010	92.751	0	hv
HORVU2Hr1G075930	TRIDC2AG044340	90.42	0	hv
Brahy.D05G0296600	TRIDC2AG033200	79.452	0	bhd
HORVU2Hr1G020640	TRIDC6BG070710	65.328	0	hv
Brahy.D05G0163700	TRIDC2BG050450	77.601	0	bhd
HORVU5Hr1G060920	TRIDC5AG032940	96.69	0	hv
HORVU5Hr1G026160	TRIDC5BG016940	96.899	0	hv
Brahy.D05G0270700	TRIDC2BG067740	93.796	0	bhd
HORVU2Hr1G040310	TRIDC2BG030800	93.298	0	hv
Brahy.D05G0099700	TRIDC3BG068590	93.092	0	bhd
Brahy.D05G0029300	TRIDC6AG006420	74.565	0	bhd
Brahy.D05G0191500	TRIDC2BG054490	81.626	0	bhd
HORVU2Hr1G081490	TRIDC4BG032670	66.437	0	hv
Brahy.D05G0310100	TRIDC2BG080690	94.617	0	bhd
HORVU5Hr1G012290	TRIDC5BG010510	93.686	0	hv
Brahy.D05G0034000	TRIDC2AG028440	69.665	0	bhd
Brahy.D05G0143900	TRIDC2AG045510	83.069	0	bhd
HORVU5Hr1G049560	TRIDC5BG027500	84.199	0	hv
HORVU2Hr1G031740	TRIDC2BG025670	97.494	0	hv
HORVU2Hr1G034440	TRIDC2BG027560	96.121	0	hv
HORVU5Hr1G057320	TRIDC5BG032590	96.405	0	hv
Brahy.D05G0024700	TRIDC3AG000690	73.154	0	bhd
Brahy.D05G0163100	TRIDC6AG055360	71.173	0	bhd
Brahy.D05G0186800	TRIDC2BG053710	81.95	0	bhd
Brahy.D02G0400000	TRIDC1AG033800	97.041	0	bhd
HORVU2Hr1G076910	TRIDC2BG047600	98.094	0	hv
Brahy.D05G0155900	TRIDC2AG047090	79.025	0	bhd
HORVU5Hr1G006900	TRIDC5BG003450	91.473	0	hv
HORVU2Hr1G061190	TRIDC5BG020220	57.764	0	hv
HORVU5Hr1G051390	TRIDC5AG027580	98.107	0	hv
HORVU2Hr1G088110	TRIDC2AG052740	96.875	0	hv
HORVU5Hr1G025900	TRIDC5BG016800	97.16	0	hv
HORVU2Hr1G087380	TRIDC2AG052020	99.692	0	hv
Brahy.D05G0215300	TRIDC2AG054510	88.423	0	bhd
Brahy.D05G0249600	TRIDC2AG058080	80	0	bhd
Brahy.D05G0234200	TRIDC1BG010710	64.074	0	bhd
HORVU2Hr1G022920	TRIDC2BG019410	97.58	0	hv
HORVU5Hr1G121570	TRIDC4AG050700	92.141	0	hv
HORVU2Hr1G020340	TRIDC1AG035670	70.631	0	hv
Brahy.D05G0179700	TRIDC2AG049730	93.074	0	bhd
HORVU5Hr1G000980	TRIDC5AG000800	96.614	0	hv
HORVU2Hr1G008090	TRIDC2AG005560	95.783	0	hv
HORVU5Hr1G114260	TRIDC5BG074530	90.476	0	hv
Brahy.D05G0094700	TRIDC2AG051990	80.667	0	bhd
HORVU2Hr1G010860	TRIDC2BG008490	93.366	0	hv
Brahy.D05G0091000	TRIDC2AG040670	84.366	0	bhd
Brahy.D05G0283100	TRIDC5BG071390	74.194	0	bhd
HORVU5Hr1G061540	TRIDC5AG033650	97.482	0	hv
HORVU5Hr1G062120	TRIDC2AG010300	68.585	0	hv
Brahy.D05G0199900	TRIDC2BG055570	78.842	0	bhd
HORVU5Hr1G113180	TRIDC5BG073650	99.537	0	hv
HORVU2Hr1G011580	TRIDC2BG007650	97.689	0	hv
Brahy.D05G0229900	TRIDC5AG075450	81.94	0	bhd
Brahy.D05G0218000	TRIDC1BG030270	78.581	0	bhd
HORVU2Hr1G070700	TRIDC2BG044480	91.713	0	hv
HORVU5Hr1G114890	TRIDC5AG069380	97.122	0	hv
HORVU2Hr1G087830	TRIDC6BG041300	74.481	0	hv
Brahy.D05G0012500	TRIDC2BG001750	76.906	0	bhd
Brahy.D05G0224300	TRIDC6BG043410	65.103	0	bhd
HORVU2Hr1G039170	TRIDC2AG025780	92.233	0	hv
Brahy.D05G0285600	TRIDC2AG061360	75.537	0	bhd
Brahy.D05G0274700	TRIDC2AG062980	82.727	0	bhd
HORVU5Hr1G060140	TRIDC5AG032650	95.57	0	hv
HORVU5Hr1G013840	TRIDC5AG008650	98.473	0	hv
HORVU2Hr1G027440	TRIDC2BG022910	92.484	0	hv
HORVU5Hr1G055570	TRIDC5AG029630	96.262	0	hv
HORVU5Hr1G061810	TRIDC5AG033810	84.906	0	hv
HORVU5Hr1G116340	TRIDC5BG076010	90.488	0	hv
Brahy.D05G0134200	TRIDC4AG034070	56.303	0	bhd
Brahy.D05G0132100	TRIDC6BG058460	54.64	0	bhd
Brahy.D05G0351000	TRIDC2AG078380	86.325	0	bhd
HORVU2Hr1G017770	TRIDC2AG012570	93.865	0	hv
Brahy.D05G0157800	TRIDC2BG049790	83.149	0	bhd
Brahy.D05G0341100	TRIDC2BG083020	78.307	0	bhd
HORVU2Hr1G083840	TRIDC2AG049730	98.144	0	hv
HORVU2Hr1G079230	TRIDC2BG049430	98.792	0	hv
HORVU5Hr1G041120	TRIDC5BG023180	99.244	0	hv
HORVU2Hr1G087970	TRIDC2AG052650	97.953	0	hv
HORVU2Hr1G019880	TRIDC2BG016720	95.753	0	hv
Brahy.D05G0160100	TRIDC2BG050030	88.106	0	bhd
HORVU2Hr1G041290	TRIDC2AG026720	95.181	0	hv
HORVU5Hr1G022220	TRIDC5BG015060	96.503	0	hv
HORVU2Hr1G085060	TRIDC6BG039830	86.347	0	hv
Brahy.S08G0020600	TRIDC4AG055370	89.13	0	bhs
HORVU5Hr1G042160	TRIDC5AG021960	93.6	0	hv
Brahy.D05G0256300	TRIDC4BG058390	70.238	0	bhd
HORVU2Hr1G063340	TRIDC2BG040510	98.608	0	hv
HORVU5Hr1G046950	TRIDC5AG024920	97.448	0	hv
HORVU5Hr1G066470	TRIDC5AG036550	90.541	0	hv
Brahy.D05G0357900	TRIDC2AG080060	80.932	0	bhd
Brahy.D05G0311400	TRIDC2BG080450	68.765	0	bhd
HORVU2Hr1G015150	TRIDC2AG010390	90.578	0	hv
HORVU5Hr1G049650	TRIDC5BG028440	95.719	0	hv
HORVU5Hr1G007350	TRIDC2AG076370	91.729	0	hv
Brahy.D05G0311000	TRIDC2AG073850	62.397	0	bhd
Brahy.D05G0232100	TRIDC2AG056630	89.75	0	bhd
Brahy.D05G0190900	TRIDC2BG054360	88.115	0	bhd
Brahy.D05G0170400	TRIDC2BG051080	85.438	0	bhd
Brahy.D05G0323500	TRIDC4BG031500	93.562	0	bhd
Brahy.D05G0033900	TRIDC2BG005250	83.601	0	bhd
Brahy.D05G0194000	TRIDC2AG051240	88.095	0	bhd
Brahy.D05G0214000	TRIDC6AG035590	73.561	0	bhd
Brahy.D05G0230100	TRIDC2AG056200	89.763	0	bhd
Brahy.D05G0003100	TRIDC2AG000630	95.167	0	bhd
Brahy.D05G0192300	TRIDC2AG051520	89.333	0	bhd
Brahy.D05G0071500	TRIDC2AG038930	88.175	0	bhd
HORVU2Hr1G037210	TRIDC2AG023760	81.595	0	hv
Brahy.D05G0242400	TRIDC6BG044820	91.724	0	bhd
Brahy.D05G0255400	TRIDC2BG060130	79.206	0	bhd
Brahy.D05G0148500	TRIDC2AG045820	93.356	0	bhd
HORVU5Hr1G116710	TRIDC4AG054160	99.816	0	hv
HORVU2Hr1G016650	TRIDC2BG014050	94.454	0	hv
Brahy.D05G0201900	TRIDC2AG052770	85.782	0	bhd
HORVU5Hr1G018040	TRIDC5BG012070	94.175	0	hv
HORVU5Hr1G037320	TRIDC5AG018800	94.543	0	hv
HORVU5Hr1G061880	TRIDC6BG001190	74.581	0	hv
HORVU2Hr1G045130	TRIDC2AG029030	98.196	0	hv
Brahy.D05G0208000	TRIDC1BG074490	72.86	0	bhd
HORVU5Hr1G123970	TRIDC5BG082340	92.898	0	hv
HORVU2Hr1G047450	TRIDC2BG033830	92.771	0	hv
Brahy.D05G0289300	TRIDC1AG006290	82.746	0	bhd
Brahy.D05G0127700	TRIDC5BG077280	78.075	0	bhd
Brahy.D05G0150700	TRIDC6BG058010	77.48	0	bhd
Brahy.D05G0276100	TRIDC2AG062930	84.401	0	bhd
Brahy.D05G0308000	TRIDC2AG074760	73.477	0	bhd
HORVU2Hr1G048870	TRIDC2AG030820	94.992	0	hv
Brahy.S08G0010800	TRIDC6AG024200	83.813	0	bhs
Brahy.S08G0245600	TRIDC5BG027480	59.203	0	bhs
Brahy.D05G0271200	TRIDC6BG048170	68.458	0	bhd
Brahy.S08G0138900	TRIDC1AG037130	84.382	0	bhs
Brahy.D05G0291100	TRIDC2AG060480	79.274	0	bhd
Brahy.D05G0114500	TRIDC2BG045460	82.565	0	bhd
HORVU2Hr1G086050	TRIDC2BG054550	92.271	0	hv
Brahy.D02G0452700	TRIDC1BG019030	91.77	0	bhd
Brahy.D05G0092500	TRIDC2AG040820	67.708	0	bhd
Brahy.D05G0250500	TRIDC2AG057970	65.449	0	bhd
HORVU5Hr1G049030	TRIDC5AG026010	90.719	0	hv
HORVU2Hr1G036780	TRIDC2BG029130	99.427	0	hv
Brahy.D05G0279400	TRIDC2AG062330	87.027	0	bhd
HORVU5Hr1G050270	TRIDC5AG026620	92.938	0	hv
HORVU2Hr1G028540	TRIDC2BG023790	90.802	0	hv
Brahy.D05G0136300	TRIDC5AG059020	71.264	0	bhd
Brahy.D05G0101300	TRIDC2BG044420	93.913	0	bhd
Brahy.D05G0197700	TRIDC2AG052000	86.175	0	bhd
HORVU2Hr1G086370	TRIDC2BG054930	89.922	0	hv
Brahy.D05G0087300	TRIDC2BG043410	97.085	0	bhd
Brahy.D05G0223800	TRIDC3BG016700	80.66	0	bhd
HORVU5Hr1G114020	TRIDC5AG069050	96.888	0	hv
