product	piN	piS	pin/pis
Brahy.D04G0331300	0.006284306	0.005915064	1.062423978
Brahy.D04G0352500	0.002730546	0.001721117	1.586496573
Brahy.D04G0356400	0.006470892	0.005723643	1.130554656
Brahy.D04G0364500	0.00172619	0.000550493	3.135716759
Brahy.D04G0381800	0.00128574	0.000774199	1.660736467
Brahy.D04G0417000	0.006168733	0.004893368	1.260631345
Brahy.D04G0437500	0.00278074	0.002523242	1.102050606
Brahy.D04G0478400	0.006526056	0.003584032	1.820869917
Brahy.D04G0547000	0.004077983	0.003558491	1.145986465
Brahy.D04G0560900	0.003484344	0.001110875	3.136574882
Brahy.D04G0574000	0.010757656	0.002701591	3.981970376
Brahy.D04G0574400	0.002000617	0.001971882	1.014572399
Brahy.D04G0575000	0.023767931	0.017726669	1.340800756
Brahy.D04G0578600	0.001039217	0.000800067	1.298912034
Brahy.D04G0621600	0.005676019	0.005497978	1.032383
Brahy.D04G0627700	0.001303689	0.000410961	3.172297707
Brahy.D04G0633200	0.00679262	0.004278046	1.587785925
Brahy.D04G0639700	0.007868634	0.00437809	1.797275613
Brahy.D04G0644600	0.003548411	0.002554082	1.389309813
Brahy.D05G0026400	0.000488857	0.000475462	1.028174257
Brahy.D05G0071900	0.002692777	0.001932138	1.39367711
Brahy.D05G0110200	0.003262885	0.003274248	1.233820778
Brahy.D05G0111100	0.001769943	0.001507243	1.282568439
Brahy.D05G0160100	0.008208072	0.007242363	1.154766705
Brahy.D05G0161000	0.000737074	0.001278469	1.12941849
Brahy.D05G0212100	0.000799891	0.000503943	1.587264275
Brahy.D05G0255800	0.002129461	0.003002612	1.054657815
Brahy.D05G0266700	0.015149867	0.014612067	1.044026866
Brahy.D05G0285500	0.002424255	0.001969153	1.235280779
Brahy.D05G0287900	0.001021194	0.000574876	1.788027661
Brahy.D05G0289300	0.002087894	0.001182094	2.475739597
Brahy.D05G0307900	0.000172878	0.000136132	1.269930018
Brahy.D05G0311800	0.009871297	0.005388011	1.832085499
Brahy.D05G0316200	0.001388833	0.000158769	8.747527087
Brahy.D05G0334300	0.001020975	0.001316545	1.02016899
Brahy.D05G0364600	0.000460822	0.000182984	2.518372191
Brahy.S01G0064300	0.002344086	0.001897011	1.235673258
Brahy.S01G0092900	0.000250423	6.41E-05	3.90920073
Brahy.S01G0093600	0.002711029	0.000859345	3.154761119
Brahy.S01G0131300	0.004874847	0.003933052	1.239456401
Brahy.S01G0131500	0.001936884	0.000583614	3.318773504
Brahy.S01G0171700	0.004133574	0.004087703	1.011221742
Brahy.S01G0217200	0.005517821	0.00139872	3.944907176
Brahy.S01G0237400	0.000478773	0.000503445	1.011683653
Brahy.S01G0243300	0.002354491	0.001201423	1.959752014
Brahy.S01G0269100	0.003846271	0.00287768	1.336587249
Brahy.S01G0278400	0.000967287	0.000681733	1.418864905
Brahy.S01G0285600	0.013622757	0.006785823	2.00753221
Brahy.S01G0290200	0.000637402	0.000404259	1.576717204
Brahy.S01G0298400	0.001340663	0.001058861	1.266136629
Brahy.S01G0315800	0.002198708	0.001611924	1.364027067
Brahy.S01G0318000	0.002488315	0.001723818	1.44349057
Brahy.S01G0332500	0.003555809	0.00261406	1.360262835
Brahy.S01G0339500	0.013008455	0.011497267	1.131438867
Brahy.S01G0355800	0.000516814	0.000405103	1.275761349
Brahy.S01G0357600	0.040218195	0.017740769	2.266992757
Brahy.S01G0357800	0.022556804	0.021622153	1.043226544
Brahy.S01G0405100	0.00068627	0.000123987	5.535031526
Brahy.S01G0411500	0.003010363	0.00272009	1.106714736
Brahy.S01G0412400	0.005109299	0.002310151	2.211672868
Brahy.S01G0424100	0.008791752	0.00730475	1.203566454
Brahy.S01G0428100	0.001733989	0.00098953	1.752335784
Brahy.S01G0441100	0.001998546	0.001970967	1.013992568
Brahy.S02G0076900	0.009707509	0.006637281	1.462573023
Brahy.S02G0097600	0.001582151	0.00106285	1.488593177
Brahy.S02G0104200	0.001273155	0.000600471	2.120262874
Brahy.S02G0108400	0.003623934	0.000816605	4.58509979
Brahy.S02G0125100	0.003568827	0.005309892	1.10910958
Brahy.S02G0140000	0.001983997	0.001089191	1.821532812
Brahy.S02G0147700	0.008126437	0.002228713	3.646246728
Brahy.S02G0148100	0.022766533	0.015075168	1.510200898
Brahy.S02G0150400	0.001115835	0.001232724	1.026334508
Brahy.S02G0166400	0.006541461	0.003596943	1.818617025
Brahy.S02G0184400	0.00015854	0.000113328	1.398943965
Brahy.S02G0191400	0.00659939	0.006452255	1.099232149
Brahy.S02G0192700	0.005470559	0.004658268	1.174376167
Brahy.S02G0200700	0.002394557	0.000228934	10.85584519
Brahy.S02G0205800	0.006140169	0.003685816	1.684247091
Brahy.S02G0218200	0.007619737	0.005798576	1.314070473
Brahy.S02G0233800	0.013211229	0.007024312	1.881589797
Brahy.S02G0253800	0.005440654	0.005220987	1.062435928
Brahy.S02G0284300	0.005380918	0.005220387	1.030750793
Brahy.S02G0285500	0.002614047	0.002411358	1.084056193
Brahy.S02G0287300	0.002161966	0.00161979	1.470946256
Brahy.S02G0310700	0.002974665	0.000955138	3.11438327
Brahy.S02G0335000	0.005188523	0.001473373	3.521527876
Brahy.S02G0371800	0.000951394	0.000338379	2.811626103
Brahy.S02G0381500	0.010328892	0.006771222	1.520971676
Brahy.S02G0386400	0.005519461	0.004404878	1.25303379
Brahy.S02G0417900	0.000832654	0.000430056	1.936150381
Brahy.S02G0420300	0.00110742	0.001052816	1.051864808
Brahy.S03G0028000	0.002905808	0.002448511	1.186765435
Brahy.S03G0067000	0.002590147	0.001508184	3.202465701
Brahy.S03G0091900	0.000534031	0.000738196	1.272488514
Brahy.S03G0108000	0.002363001	0.001453087	1.626193706
Brahy.S03G0118300	0.006973908	0.006717734	1.038133967
Brahy.S03G0156800	0.00670541	0.005397515	1.242314251
Brahy.S03G0182600	0.001631863	0.001397149	1.167994914
Brahy.S03G0217500	0.00077678	0.000325051	2.438576204
Brahy.S03G0232300	0.002351126	0.002161709	1.307920799
Brahy.S03G0262700	0.005536743	0.004426958	1.250687973
Brahy.S03G0279200	0.003433583	0.001037813	3.390499247
Brahy.S03G0290400	0.000507095	0.000244556	2.073538923
Brahy.S03G0298000	0.004900368	0.004487163	1.081100802
Brahy.S03G0304000	0.002226706	0.001113674	1.999423066
Brahy.S03G0325200	0.002017729	0.001935915	1.042261153
Brahy.S04G0012700	0.011133628	0.010828255	1.028201447
Brahy.S04G0023000	0.002640881	0.002434394	1.08482055
Brahy.S04G0023200	0.006576576	0.007048261	1.10018384
Brahy.S04G0025300	0.000852319	0.000738968	1.261597037
Brahy.S04G0047300	0.000908833	0.000655259	1.386982004
Brahy.S04G0082100	0.003242193	0.001846659	1.65545081
Brahy.S04G0090800	0.001709376	0.001389564	1.507250101
Brahy.S04G0094200	0.000752397	0.000370497	1.969631025
Brahy.S04G0121200	0.003836889	0.002954452	1.387441495
Brahy.S04G0156000	0.000338999	0.000222129	1.801816577
Brahy.S04G0162200	0.001163663	0.000866327	1.856396702
Brahy.S04G0236900	0.000810938	0.000594276	3.363270723
Brahy.S04G0250000	0.001867409	0.001132396	1.649077789
Brahy.S04G0262000	0.001350809	0.000262053	5.154708017
Brahy.S04G0267800	0.002518785	0.001431252	1.759846941
Brahy.S04G0287000	0.000232097	0.000138909	1.670861389
Brahy.S04G0302100	0.000497545	0.000144381	3.446049418
Brahy.S04G0317400	0.000803	0.000534127	1.503387198
Brahy.S04G0319200	0.007165317	0.005325102	1.345573498
Brahy.S04G0319700	0.000665053	0.000434914	1.52916074
Brahy.S04G0330200	0.000415665	0.000415547	1.000283617
Brahy.S04G0331500	0.002254	0.00132815	1.697097069
Brahy.S04G0347000	0.002296808	0.001587419	1.446882087
Brahy.S04G0355300	0.028523577	0.014955045	1.907287958
Brahy.S04G0359400	0.000274629	0.000211217	1.300217681
Brahy.S05G0001500	0.000319047	0.000276133	1.155411394
Brahy.S05G0027700	0.001103834	0.001202329	1.100570993
Brahy.S05G0034300	0.002938218	0.002066011	1.422169802
Brahy.S05G0042600	0.001350866	0.001280718	1.054771991
Brahy.S05G0048600	0.011664673	0.010288463	1.110084045
Brahy.S05G0062000	0.001774457	0.001206521	1.453832546
Brahy.S05G0069500	0.00234549	0.001557723	1.505716837
Brahy.S05G0133300	0.000357442	0.000232299	1.500416445
Brahy.S05G0156700	0.002084874	0.001578703	1.198482945
Brahy.S05G0163600	0.012777316	0.004441034	3.093445719
Brahy.S05G0190600	0.006996156	0.005331595	1.405764585
Brahy.S05G0218800	0.003771889	0.003393827	1.111397031
Brahy.S05G0253200	0.003631624	0.005760077	1.098606344
Brahy.S05G0258700	0.000585908	0.000826028	1.143922958
Brahy.S05G0268500	0.00180351	0.00115687	1.558956275
Brahy.S05G0269600	0.009611718	0.007384226	1.307569196
Brahy.S05G0282500	0.002511381	0.001741454	1.442117164
Brahy.S05G0300500	0.00201088	0.0009932	2.119085013
Brahy.S05G0321000	0.005544364	0.00160961	3.444538634
Brahy.S05G0322200	0.002409146	0.001465719	1.643661045
Brahy.S05G0325700	7.84E-05	4.58E-05	1.710165389
Brahy.S05G0330400	0.001621074	0.001589727	1.019718503
Brahy.S06G0007300	0.022842707	0.012297879	1.857450957
Brahy.S06G0009800	0.001795272	0.002245125	1.286155493
Brahy.S06G0029900	0.004401463	0.004323855	1.015309701
Brahy.S06G0030800	0.00063347	0.000334009	1.896564138
Brahy.S06G0034400	0.001334335	0.001005328	1.079964899
Brahy.S06G0035500	0.00234487	0.001535128	1.527475482
Brahy.S06G0043600	0.001811887	0.00150758	1.201851757
Brahy.S06G0063000	0.002623408	0.002192438	1.19657155
Brahy.S06G0063700	0.002086952	0.001763464	1.259071255
Brahy.S06G0104000	0.001221614	0.001351711	1.15669921
Brahy.S06G0115500	0.003102401	0.002309042	1.343587702
Brahy.S06G0124500	0.003732504	0.002797327	1.334311184
Brahy.S06G0124800	0.002450768	0.00243452	1.006674089
Brahy.S06G0133300	0.000736326	0.000486623	1.550525572
Brahy.S06G0193100	0.002377038	0.001537611	1.545929368
Brahy.S06G0194700	0.001762641	0.003878555	1.071263428
Brahy.S06G0194800	0.00206554	0.001725423	1.266646814
Brahy.S06G0210900	0.00183457	0.001191828	1.509067525
Brahy.S06G0221200	0.007362702	0.005708464	1.289786926
Brahy.S06G0235300	0.014108606	0.003661749	3.853682097
Brahy.S06G0237400	0.004292956	0.002152364	1.992725667
Brahy.S06G0239600	0.005980507	0.004647598	1.804807899
Brahy.S06G0241000	0.000128266	0.000121066	1.059476032
Brahy.S06G0264300	0.002627067	0.004739679	1.398866554
Brahy.S07G0028600	0.000923716	0.000762549	1.211353052
Brahy.S07G0033000	0.002889304	0.001977913	1.460783724
Brahy.S07G0085400	0.001502762	0.001369574	1.117962869
Brahy.S07G0085900	0.003456135	0.002806078	1.111525838
Brahy.S07G0089100	0.001420819	0.000406354	3.564640739
Brahy.S07G0094600	0.012276764	0.007953123	1.543640691
Brahy.S07G0097200	0.005107058	0.004532279	1.126818825
Brahy.S07G0100900	0.000568184	0.000441965	1.803365093
Brahy.S07G0112100	0.002602342	0.001194575	2.178467179
Brahy.S07G0114600	0.000285688	0.000188396	1.516426072
Brahy.S07G0117000	0.004368634	0.002767393	1.57860975
Brahy.S07G0162000	0.000638298	0.000366454	1.744549299
Brahy.S07G0162500	0.003423398	0.001938102	1.766365871
Brahy.S07G0194300	0.001690292	0.001279964	1.652405349
Brahy.S07G0213200	0.00061413	8.51E-05	7.215264274
Brahy.S07G0213800	0.020299799	0.014403042	1.414591653
Brahy.S07G0220500	0.002652894	0.002427876	1.092681174
Brahy.S07G0229000	0.001823275	0.001180735	1.943558212
Brahy.S07G0235600	0.002105394	0.000889633	2.366456066
Brahy.S07G0251000	0.006693671	0.004961864	1.35701136
Brahy.S07G0264100	0.002068154	0.001259347	1.667358813
Brahy.S07G0270800	0.009681133	0.007034687	1.412111943
Brahy.S07G0271700	0.002862091	0.001551892	1.844258712
Brahy.S07G0272300	0.001045233	0.000707003	1.478399472
Brahy.S08G0005700	0.001336584	0.001000834	1.335470664
Brahy.S08G0009800	0.001464433	0.000858105	1.706588504
Brahy.S08G0013200	0.001245816	0.001023505	1.217204824
Brahy.S08G0020300	0.005839614	0.00515391	1.134375598
Brahy.S08G0022600	0.000815234	0.000758244	1.075159537
Brahy.S08G0029700	0.000939654	0.000955257	1.121131594
Brahy.S08G0083900	0.009159754	0.00748977	1.207582448
Brahy.S08G0096600	0.00094304	0.000938174	1.005186722
Brahy.S08G0154000	0.006588822	0.008746235	1.485074991
Brahy.S08G0158500	0.004078508	0.004653826	1.31625946
Brahy.S08G0189800	0.002064087	0.001812005	1.139117769
Brahy.S08G0204700	0.000695508	0.00062516	1.112528724
Brahy.S08G0229900	0.003962449	0.003484738	1.137086498
Brahy.S08G0239700	0.000438123	0.000419955	1.167784035
Brahy.S08G0243000	0.002736192	0.002672172	1.893137362
Brahy.S08G0259700	0.002096857	0.002064798	1.038272491
Brahy.S09G0033800	0.000203048	0.000140129	1.449010026
Brahy.S09G0083800	0.006415432	0.005304364	1.209463114
Brahy.S09G0104200	0.001189691	0.001002199	1.187081334
Brahy.S09G0145600	0.000537482	0.00071788	1.156146521
Brahy.S09G0151500	0.001781671	7.53E-05	23.663202
Brahy.S09G0157500	0.002101399	0.00110968	1.893698153
Brahy.S09G0179500	0.005240179	0.0032313	1.62169389
Brahy.S09G0198700	0.001399421	0.000510786	2.7397424
Brahy.S09G0231400	0.004225052	0.002289255	2.596126892
Brahy.S09G0259600	0.009706532	0.004537459	2.139199627
Brahy.S09G0263100	0.00048818	0.000211849	2.304375852
Brahy.S09G0268500	0.002207889	0.001753301	1.174290361
Brahy.S09G0273200	0.000262923	9.34E-05	2.727645811
Brahy.S09G0290700	0.018305036	0.014240093	1.297822962
Brahy.S10G0000700	0.002169997	0.002698446	1.423750382
Brahy.S10G0001300	0.001346607	0.001620572	1.221260861
Brahy.S10G0004000	0.001667632	0.001125476	1.414394912
Brahy.S10G0019800	0.01018629	0.007003869	1.455465859
Brahy.S10G0021000	0.000907536	0.000579363	1.39331184
Brahy.S10G0023100	0.001786664	0.001636441	1.091798646
Brahy.S10G0040900	0.00189287	0.001688217	1.102039057
Brahy.S10G0054800	0.002466627	0.001775497	1.412210235
Brahy.S10G0056200	0.004864551	0.004586359	1.060656452
Brahy.S10G0056300	0.000183519	0.000200628	1.245297474
Brahy.S10G0114800	0.001122528	0.001066944	1.052096463
Brahy.S10G0123400	0.004006642	0.002179334	1.838470729
Brahy.S10G0183500	0.004704044	0.006156253	1.281616667
Brahy.S10G0183600	0.002007019	0.000951381	2.109585476
Brahy.S10G0192500	0.001383192	0.001247188	1.351460112
Brahy.S10G0202200	0.000905393	0.000273852	3.306146946
Brahy.S10G0203100	0.001742083	0.000916515	2.18159214
Brahy.S10G0208500	0.001511638	0.001080513	1.499133969
Brast01G023900	0.001532168	0.000899988	1.702432239
Brast01G025400	0.004176246	0.002728415	1.530649267
Brast01G027100	0.002607567	0.001467746	1.77657936
Brast01G027500	0.003055779	0.001449515	2.10813918
Brast01G045800	0.002928208	0.0022507	1.301021224
Brast01G060600	0.004020392	0.002016918	1.993334193
Brast01G067400	0.004377965	0.001257931	3.480289985
Brast01G072300	0.001586442	0.000663986	2.389271576
Brast01G077700	0.000185546	0.000144211	1.286622528
Brast01G081400	0.002065153	0.001004686	2.055520449
Brast01G091300	0.005261366	0.002686502	1.949505573
Brast01G105500	0.0031674	0.00077174	4.104230372
Brast01G109400	0.003142169	0.00245191	1.281518893
Brast01G127200	0.002507282	0.002268597	1.105212609
Brast01G135600	0.001215949	0.0009011	1.34940577
Brast01G137000	0.001846103	0.000815164	2.264701871
Brast01G148500	0.003102394	0.002229279	1.391657842
Brast01G153500	0.002320993	0.002159175	1.388373575
Brast01G156000	0.002129432	0.001377262	1.546134477
Brast01G161700	0.00101329	0.000606645	3.780457704
Brast01G172100	0.002959109	0.003691615	1.258688894
Brast01G176900	0.001036719	0.000958291	1.081841726
Brast01G182700	0.011739532	0.004879358	2.405958283
Brast01G188600	0.001199646	0.000641794	1.869207367
Brast01G188900	0.004357791	0.002515808	1.732163155
Brast01G203100	0.000187225	0.000177051	1.057463556
Brast01G209100	0.00181282	0.00057431	5.234425426
Brast01G209300	0.001695152	0.000308828	5.488977201
Brast01G212100	0.001427173	0.001265111	1.66535141
Brast01G214600	0.002099936	0.000761994	2.755841471
Brast01G216300	0.000446112	0.000263654	1.692034461
Brast01G235400	0.003115178	0.001937829	1.60756107
Brast01G266200	0.001749128	0.001677088	1.042955755
Brast01G271300	0.001678072	0.000609339	1.62326634
Brast01G278200	0.003109315	0.002811703	1.301350063
Brast01G297700	0.002084902	0.001274607	1.678562388
Brast01G304200	0.004949082	0.001577273	6.334979249
Brast01G327400	0.002029371	0.001965273	1.032615193
Brast01G336100	0.018079435	0.013906179	1.300100838
Brast01G346800	0.001177854	0.000272628	2.78638872
Brast01G349900	0.006448355	0.002651514	2.431951806
Brast01G357400	0.000263996	0.000115194	2.291751265
Brast01G365500	0.001529894	0.001402921	1.090505956
Brast01G403900	1.59E-05	6.19E-06	2.561255643
Brast02G000200	0.00341801	0.001138669	3.001760231
Brast02G017600	0.001928805	0.00161636	1.193301139
Brast02G036800	0.000572871	0.000202549	2.828305865
Brast02G037500	0.002709795	0.0024155	1.085441331
Brast02G040900	0.000549386	0.000246612	2.227736357
Brast02G044300	0.003081796	0.00545219	1.009732687
Brast02G068300	0.005956174	0.003017955	1.973579398
Brast02G069600	0.000918107	0.000555368	1.653149701
Brast02G072400	0.002050918	0.003353051	1.050515147
Brast02G077500	0.000363509	0.000335946	1.082044824
Brast02G086200	0.004099553	0.001719252	2.384498518
Brast02G110200	0.002346778	0.001122665	2.090364036
Brast02G113800	0.00270677	0.001866394	1.448445804
Brast02G114900	0.002996296	0.002946845	1.016780764
Brast02G118700	0.000278641	0.000129419	2.153023685
Brast02G125200	0.003536426	0.003169827	1.115652508
Brast02G128300	0.001981237	0.001819868	1.088670892
Brast02G129300	0.002697789	0.002860239	1.125715721
Brast02G132100	0.001026521	0.000995928	1.177658768
Brast02G137500	0.00015593	0.000152185	1.024605251
Brast02G153700	0.001325985	0.000503158	2.635325385
Brast02G154000	0.00058196	0.000580814	1.001973595
Brast02G156700	0.003135239	0.001525292	2.055500569
Brast02G165200	0.005423626	0.00481753	1.145489237
Brast02G194500	0.003909941	0.002758058	1.417642877
Brast02G196200	0.00311826	0.00249017	1.252227898
Brast02G202900	0.002525554	0.00287576	1.352804325
Brast02G209300	0.00541056	0.001559777	3.468802532
Brast02G223600	0.001592289	0.000946705	1.681928274
Brast02G225300	0.001877988	0.00112978	1.920574951
Brast02G232400	0.010759652	0.007726172	1.392623987
Brast02G252800	0.001715804	0.000379892	4.164986489
Brast02G253000	0.002964097	0.002291947	1.2932664
Brast02G254600	0.005813007	0.005614552	1.035346654
Brast02G254700	0.001260399	0.000716014	1.760300331
Brast02G262000	7.07E-05	5.12E-05	1.379151614
Brast02G263400	0.005289948	0.005161149	1.024955618
Brast02G267100	0.000761567	0.000385509	1.975481275
Brast02G270100	0.004314081	0.003402277	1.267998164
Brast02G278900	0.001412683	0.000620087	2.278203204
Brast02G286300	0.005425261	0.001544002	3.513765844
Brast02G287800	0.001006149	0.000837021	1.202060358
Brast02G288300	0.002085703	0.002201346	1.127635469
Brast02G289700	0.001010896	0.000388281	2.603517041
Brast02G292200	0.00184167	0.000578735	3.182232885
Brast02G307800	0.00104537	0.000428219	3.071532629
Brast02G318100	0.006105795	0.006089977	1.172871761
Brast02G318800	0.007644041	0.002836917	2.694489085
Brast02G321100	0.001183612	0.000779959	1.517530876
Brast02G323600	0.000887264	0.00069102	1.221165274
Brast02G330000	0.005326789	0.004226876	1.286348288
Brast02G334400	1.87E-05	1.13E-05	1.648607991
Brast02G356900	0.000344661	0.000231545	1.488528792
Brast02G387800	0.002810713	0.002555776	1.141649399
Brast03G005500	0.000262787	0.000151037	1.739886756
Brast03G026500	0.00147449	0.000345373	4.269267187
Brast03G035200	0.000125199	0.000112113	1.116722217
Brast03G037500	0.000644598	0.000314793	2.04768926
Brast03G054200	0.000999255	0.000690658	1.446815798
Brast03G095000	0.005171059	0.00381182	1.35658538
Brast03G096000	0.000936148	0.000224195	6.754627901
Brast03G098000	0.003572699	0.002787712	1.281588233
Brast03G110700	0.002685261	0.001395601	1.652876064
Brast03G132300	0.00064096	0.000477137	1.343346165
Brast03G139200	0.002337168	0.002707629	1.17913964
Brast03G141100	0.000723657	0.000687566	1.258783057
Brast03G144100	0.000943941	0.000277476	3.401884777
Brast03G145400	0.002380783	0.00195729	1.216367117
Brast03G156800	0.003318337	0.003132012	1.068225504
Brast03G164300	0.00597254	0.003398136	3.088007219
Brast03G164600	0.004696116	0.001322089	3.552041449
Brast03G170200	0.002322212	0.001870661	1.923639396
Brast03G174100	0.002071146	0.001291074	1.604203595
Brast03G179900	0.006197379	0.002676187	2.315749241
Brast03G186700	0.00088501	0.000270831	3.26775155
Brast03G194400	0.004147605	0.001480308	2.801852906
Brast03G198700	0.003266137	0.002196067	1.487266486
Brast03G200400	0.000853247	0.000252013	7.021674264
Brast03G208300	0.000997439	0.000605745	1.646631342
Brast03G209400	0.004167581	0.003185296	1.308381105
Brast03G209600	0.000545469	0.000620135	1.905132076
Brast03G210400	0.011255585	0.003714623	3.030075084
Brast03G239700	0.000609665	0.000439478	1.387246591
Brast03G240400	0.00316655	0.004606643	1.00632822
Brast03G251700	0.000709891	0.000370713	1.914932192
Brast03G263500	0.001287035	0.00053687	2.397295718
