bhdid	piN	piS	pin/pis
Brahy.D01G0935800	0.00014208	0.000780971	0.1819273
Brahy.D01G0958200	0.000196677	0.004833336	0.040691728
Brahy.D01G0994300	0.003761182	0.008258524	0.455430291
Brahy.D01G1030700	4.79e-05	0.000150086	0.319236267
Brahy.D01G1037000	0.000544068	0.001391203	0.391077322
Brahy.D01G1048700	0.005732342	0.001127525	5.084003593
Brahy.D02G0004400	0.000492502	0.000726745	0.677681193
Brahy.D02G0009900	0.001942684	0.001191818	1.630017851
Brahy.D02G0013800	0.000405322	0.000738197	0.549069811
Brahy.D02G0016800	0.001923598	0.00836219	0.230035214
Brahy.D02G0055300	0.00074066	0.002552582	0.290160889
Brahy.D02G0097300	0.00074138	0.002546198	0.291171267
Brahy.D02G0134200	0.000585985	0.000951739	0.615699669
Brahy.D02G0138100	0.001068436	0.008174063	0.130710538
Brahy.D02G0148500	0.000447853	0.000794058	0.564005156
Brahy.D02G0151300	0.001310761	0.000390448	3.357069348
Brahy.D02G0156200	0.000270777	0.000679344	0.398586333
Brahy.D02G0168800	0.001153492	0.001470977	0.784167137
Brahy.D02G0174600	0.000735986	0.000939348	0.783507649
Brahy.D02G0174700	0.008914601	0.010581506	0.842469976
Brahy.D02G0200100	0.000231344	0.000710393	0.325655881
Brahy.D02G0207900	0.001866795	0.002026879	0.921019701
Brahy.D02G0215600	0.00067386	0.001855445	0.363179916
Brahy.D02G0232000	0.000235584	0.000613262	0.384148535
Brahy.D02G0236900	0.000311108	0.000853137	0.364662935
Brahy.D02G0238500	0.000281163	0.000639962	0.439343438
Brahy.D02G0239100	0.000280263	0.000883134	0.317350327
Brahy.D02G0259200	0.000618405	0.000533621	1.158885652
Brahy.D02G0262000	0.000537578	0.001019442	0.527325968
Brahy.D02G0283500	0.000396361	0.001596201	0.248315134
Brahy.D02G0286700	0.007268012	0.00439124	1.655116221
Brahy.D02G0294800	0.000915537	0.001291663	0.70880466
Brahy.D02G0308500	0.009344182	0.023520554	0.39727729
Brahy.D02G0329700	0.003702524	0.006999733	0.528952261
Brahy.D02G0334700	0.001324875	0.002140902	0.618839515
Brahy.D02G0342100	0.002857072	0.002169497	1.316927966
Brahy.D02G0353400	0.002038255	0.00177288	1.149685826
Brahy.D02G0354100	1.68e-05	5.82e-05	0.288518575
Brahy.D02G0356100	0.01143864	0.013360591	0.856147774
Brahy.D02G0366500	0.003758407	0.00356544	1.054121524
Brahy.D02G0367000	0.010213903	0.007330917	1.39326392
Brahy.D02G0378300	0.000741756	0.001127245	0.658025328
Brahy.D02G0390000	0.001210488	0.009645067	0.125503291
Brahy.D02G0425400	0.000933809	0.001214756	0.768721294
Brahy.D02G0446400	0.002059382	0.004382335	0.46992797
Brahy.D02G0452000	0.003189293	0.008163831	0.390661323
Brahy.D02G0453300	0.009014745	0.024732913	0.364483744
Brahy.D02G0480400	0.001911976	0.000619718	3.085236582
Brahy.D02G0482100	0.015644346	0.005301855	2.950730828
Brahy.D02G0488000	6.06e-05	0.000208174	0.290984351
Brahy.D02G0488700	0.00016299	0.000747025	0.218185424
Brahy.D02G0492700	0.000198203	0.001285253	0.154212916
Brahy.D02G0508100	4.28e-05	0.00011369	0.376225272
Brahy.D02G0512300	0.000340602	0.003242435	0.105045222
Brahy.D02G0514400	0.00013548	0.000436106	0.310658154
Brahy.D02G0516100	0.005806048	0.003613028	1.606975887
Brahy.D02G0540600	0.000840657	0.002188115	0.384192184
Brahy.D02G0542500	0.000404603	0.000656292	0.616498689
Brahy.D02G0548100	0.001500151	0.002114242	0.70954545
Brahy.D02G0563400	0.000297993	0.000313873	0.949408089
Brahy.D02G0571900	0.003496555	0.002365801	1.477958226
Brahy.D02G0588500	0.000456386	0.001495964	0.30507804
Brahy.D02G0599000	0.001095449	0.002012015	0.54445382
Brahy.D02G0599400	0.000295854	0.000793313	0.372935061
Brahy.D02G0601400	0.010020414	0.005188327	1.931337931
Brahy.D02G0602500	0.000176051	0.003593798	0.048987389
Brahy.D02G0603100	0.004291614	0.00513267	0.836136714
Brahy.D02G0604400	0.00046848	0.000548506	0.854102533
Brahy.D02G0604500	0.002730637	0.004697288	0.581322158
Brahy.D02G0605600	0.000283082	0.00058509	0.483826911
Brahy.D02G0609800	0.012699335	0.02103859	0.603621024
Brahy.D02G0614600	0.001226319	0.006361761	0.192764113
Brahy.D02G0617900	0.009277085	0.010443163	0.888340559
Brahy.D02G0618100	0.001465938	0.002954393	0.4961894
Brahy.D02G0623700	0.000753846	0.001877888	0.401432889
Brahy.D02G0630000	0.000405168	0.001094841	0.370070454
Brahy.D02G0636900	0.026980071	0.020493536	1.31651613
Brahy.D02G0649800	0.005870552	0.012113465	0.484630281
Brahy.D02G0659000	0.005863743	0.002883966	2.03322213
Brahy.D02G0660600	0.001498665	0.003308312	0.452999861
Brahy.D02G0660900	0.000327227	0.003132804	0.104451845
Brahy.D02G0664800	0.001655478	0.001829603	0.904829307
Brahy.D02G0687200	0.002283129	0.002618722	0.871848559
Brahy.D02G0705300	0.000856397	0.000745264	1.149118378
Brahy.D02G0712100	0.000318488	0.000284916	1.11783153
Brahy.D02G0712400	0.001418516	0.004482265	0.316473092
Brahy.D02G0713100	0.000219625	0.003572324	0.061479641
Brahy.D02G0724500	0.00016047	0.000490924	0.326874477
Brahy.D02G0728400	0.00141986	0.00714989	0.19858482
Brahy.D02G0732700	0.000255643	0.000701279	0.36453758
Brahy.D02G0733500	0.000557857	0.00246714	0.226114728
Brahy.D02G0733600	0.001545992	0.002108652	0.733166016
Brahy.D02G0753700	0.001731672	0.004598577	0.376566857
Brahy.D02G0754600	0.004970644	0.006405896	0.775948289
Brahy.D02G0759100	0.000800226	0.000962372	0.831513597
Brahy.D02G0760500	0.000937488	0.002188261	0.428416934
Brahy.D02G0761200	0.001820938	0.007451418	0.244374749
Brahy.D02G0764700	0.010752203	0.014382051	0.747612619
Brahy.D02G0767700	0.002523178	0.001818894	1.387204376
Brahy.D02G0780300	0.001656271	0.002357397	0.702584686
Brahy.D02G0812200	0.001690669	0.001631344	1.036365495
Brahy.D02G0813500	0.000151758	0.000507102	0.29926633
Brahy.D03G0012600	0.00063972	0.000559368	1.143646692
Brahy.D03G0014600	0.001089251	0.001845754	0.59013851
Brahy.D03G0016700	0.000688626	0.000568087	1.212184716
Brahy.D03G0033000	0.004872649	0.004263972	1.142748786
Brahy.D03G0037300	0.000974929	0.002682638	0.363421709
Brahy.D03G0040100	0.001659895	0.003287625	0.504891801
Brahy.D03G0043800	0.000828391	0.001728936	0.479133271
Brahy.D03G0060200	0.000235022	0.001406805	0.167060657
Brahy.D03G0061900	0.001325721	0.006148519	0.215616266
Brahy.D03G0069800	0.000602293	0.002379094	0.253160469
Brahy.D03G0081900	0.004998453	0.007341345	0.680863381
Brahy.D03G0100700	0.002445618	0.002651727	0.922273833
Brahy.D03G0104300	0.003317354	0.005961151	0.556495677
Brahy.D03G0109400	0.00146125	0.002642683	0.552941738
Brahy.D03G0112600	0.002601121	0.006749604	0.385373876
Brahy.D03G0115200	0.002420541	0.005631187	0.429845654
Brahy.D03G0119300	0.001491744	0.002796055	0.533517341
Brahy.D03G0119900	0.002858266	0.001520285	1.880085769
Brahy.D03G0127300	0.000986561	0.001036564	0.951760835
Brahy.D03G0131100	0.000290681	0.000634651	0.458017868
Brahy.D03G0132700	0.000292668	0.001162029	0.251858999
Brahy.D03G0138900	0.000923024	0.002847265	0.3241791
Brahy.D03G0143600	0.003993965	0.002120819	1.883217887
Brahy.D03G0146400	0.006382767	0.00318695	2.002782395
Brahy.D03G0148600	0.001090296	0.001954069	0.557961609
Brahy.D03G0150400	0.000788008	0.001534716	0.513455163
Brahy.D03G0153000	0.000797906	0.00296877	0.268766428
Brahy.D03G0156800	0.000168979	0.001040498	0.162402202
Brahy.D03G0160600	0.001678267	0.003908045	0.429439066
Brahy.D03G0183600	0.016225094	0.029627243	0.547641052
Brahy.D03G0188300	0.000199084	0.000618649	0.321804698
Brahy.D03G0193500	0.002146616	0.004901509	0.437949913
Brahy.D03G0197200	7.82e-05	0.000409024	0.191201367
Brahy.D03G0200100	0.006588212	0.002581848	2.551743001
Brahy.D03G0205700	0.000331337	0.001130273	0.293148233
Brahy.D03G0213000	0.0011296955	0.0025363715	0.48851162000000004
Brahy.D03G0215100	0.000345303	0.000883632	0.390777151
Brahy.D03G0215400	0.000860813	0.001190228	0.72323403
Brahy.D03G0221800	0.009847544	0.012272809	0.802387134
Brahy.D03G0223100	0.001207938	0.001008024	1.198322187
Brahy.D03G0231700	0.002087279	0.001544056	1.351815498
Brahy.D03G0233000	0.006335649	0.004859422	1.303786545
Brahy.D03G0233400	0.001140351	0.00073097	1.560052375
Brahy.D03G0234700	0.002613927	0.00025914	10.08693425
Brahy.D03G0254900	0.001086722	0.003251447	0.334227263
Brahy.D03G0267500	0.000327382	0.000935214	0.350060984
Brahy.D03G0274200	0.010485186	0.022183798	0.47265062
Brahy.D03G0284200	0.024846689	0.015431578	1.610119808
Brahy.D03G0290700	0.000568733	0.000402716	1.412242306
Brahy.D03G0290800	0.003120848	0.002764849	1.128758848
Brahy.D03G0293200	0.00076954	0.001981384	0.38838518
Brahy.D03G0296000	0.001178329	0.000147397	7.994257294
Brahy.D03G0296600	0.000575898	0.000622566	0.925039916
Brahy.D03G0298100	0.006451295	0.00536751	1.2019158
Brahy.D03G0300000	0.001006207	0.000938902	1.071685628
Brahy.D03G0300500	0.006750243	0.010804624	0.624754995
Brahy.D03G0311100	0.011744023	0.010913656	1.07608515
Brahy.D03G0312900	0.000159518	0.000479226	0.332865415
Brahy.D03G0313100	0.000129146	0.000625475	0.206476596
Brahy.D03G0319900	0.0011969365	0.002576794	0.4879359405
Brahy.D03G0323400	0.000600397	0.00100026	0.600240223
Brahy.D03G0327900	0.001178156	0.006983284	0.16871084
Brahy.D03G0329500	0.002942109	0.0048611754999999994	0.7482102745
Brahy.D03G0345400	0.000808369	0.007750604	0.104297591
Brahy.D03G0356900	0.005071087	0.008832329	0.574150532
Brahy.D03G0357600	0.0033213915	0.005111341	0.576620629
Brahy.D03G0367500	0.000813367	0.000508977	1.598042374
Brahy.D03G0367700	0.000582535	0.00061866	0.941607498
Brahy.D03G0372800	0.001081035	0.003626967	0.298054888
Brahy.D03G0373200	0.00015439799999999998	0.0001851395	0.6452625815
Brahy.D03G0373700	0.002648898	0.006292065	0.420990258
Brahy.D03G0384500	0.000100103	0.002635158	0.037987503
Brahy.D03G0384900	0.000256859	0.000255771	1.00425368
Brahy.D03G0386600	0.009311254	0.021883893	0.425484352
Brahy.D03G0392300	0.000560454	0.001746614	0.320880129
Brahy.D03G0395200	0.000983506	0.000725	1.356560527
Brahy.D03G0400100	0.00094485	0.000691238	1.366895674
Brahy.D03G0400400	0.002753123	0.003577036	0.769666031
Brahy.D03G0401900	0.003584426	0.001917198	1.869617069
Brahy.D03G0402300	0.00284335	0.004361184	0.651967369
Brahy.D03G0402700	7.42e-05	0.000242141	0.306636637
Brahy.D03G0405400	0.000474737	0.001484649	0.319763988
Brahy.D03G0405500	0.00384746	0.002423092	1.587830832
Brahy.D03G0408900	0.000979591	0.002589942	0.378228931
Brahy.D03G0410800	0.000113726	0.000205156	0.554341805
Brahy.D03G0417300	0.000139629	0.001451754	0.09617959
Brahy.D03G0426100	0.000300702	0.001469234	0.20466581
Brahy.D03G0427900	0.002356449	0.001792391	1.314695681
Brahy.D03G0430900	0.010973907	0.009717341	1.129311699
Brahy.D03G0431000	0.004208739	0.003905074	1.077761487
Brahy.D03G0433200	0.001527716	0.001480811	1.031675718
Brahy.D03G0441200	0.000924111	0.001632239	0.566161711
Brahy.D03G0443900	0.003257794	0.003951275	0.824491909
Brahy.D03G0445900	0.000752883	0.000188216	4.000098156
Brahy.D03G0449600	0.000132173	0.000408201	0.32379417
Brahy.D03G0453100	0.000239882	0.000779023	0.307926829
Brahy.D03G0455100	0.001218958	0.00659749	0.184760902
Brahy.D03G0459300	0.002314563	0.003382865	0.684201931
Brahy.D03G0459400	0.000101305	0.000287882	0.351897614
Brahy.D03G0461600	0.005222144	0.007952091	0.656700805
Brahy.D03G0462700	0.001084249	0.001028336	1.054372252
Brahy.D03G0463600	0.003481947	0.001930024	1.804095149
Brahy.D03G0466300	0.001492693	0.001150527	1.297400105
Brahy.D03G0467200	0.000358944	0.00146034	0.245795096
Brahy.D03G0474000	0.00026263999999999997	0.0005610400000000001	0.460471109
Brahy.D03G0476000	0.004468148	0.006745539	0.662385643
Brahy.D03G0476400	0.00390748	0.003278768	1.19175252
Brahy.D03G0477200	0.001521523	0.005708011	0.266559271
Brahy.D03G0481200	0.001355847	0.001418553	0.9262437155000001
Brahy.D03G0485100	0.002682157	0.004862041	0.551652376
Brahy.D03G0487100	4.23e-05	0.000305873	0.138423983
Brahy.D03G0490400	0.003745416	0.001260436	2.971525295
Brahy.D03G0494200	0.001323691	0.001672036	0.791664541
Brahy.D03G0496700	0.002083285	0.002845728	0.732074759
Brahy.D03G0499100	0.000205658	0.001037642	0.198197596
Brahy.D03G0500800	0.000128741	0.000223698	0.575514328
Brahy.D03G0502300	8.08e-05	0.001677852	0.048173295
Brahy.D03G0503800	0.00168132	0.002050958	0.819773037
Brahy.D03G0505900	0.003133566	0.012400376	0.252699303
Brahy.D03G0506800	0.00085918	0.000714661	1.202219903
Brahy.D03G0512400	0.000377796	0.002789526	0.135433633
Brahy.D03G0518300	0.000291869	0.000455443	0.640845431
Brahy.D03G0521700	0.00315187	0.003241494	0.972351141
Brahy.D03G0523400	0.00316173	0.006893382	0.45866166
Brahy.D03G0523700	0.000572127	0.001027132	0.557014456
Brahy.D03G0528500	0.003114473	0.002397809	1.298882911
Brahy.D03G0529900	0.002186415	0.00079452	2.751869319
Brahy.D03G0530000	0.000377527	0.00240966	0.156672501
Brahy.D03G0530100	0.018466091	0.019664021	0.939080082
Brahy.D03G0530300	0.000260853	0.00050857	0.512913766
Brahy.D03G0530400	0.001704402	0.001278093	1.333550752
Brahy.D03G0532800	0.000271529	0.00092001	0.295136724
Brahy.D03G0542300	0.001171432	0.002330085	0.502742043
Brahy.D03G0552200	0.000504733	0.002056192	0.245469875
Brahy.D03G0553500	0.000184349	0.0003976	0.463654407
Brahy.D03G0559800	0.010494581	0.009580608	1.095398245
Brahy.D03G0562700	0.000110258	0.000243762	0.452317837
Brahy.D03G0568300	0.007852756	0.00954993	0.822284111
Brahy.D03G0572600	0.000547693	0.001207539	0.453561536
Brahy.D03G0574100	0.001737282	0.002378338	0.730460588
Brahy.D03G0576300	0.001080356	0.0007354	1.469073623
Brahy.D03G0580000	0.002180312	0.008098657	0.269218898
Brahy.D03G0584000	0.003495473	0.004922522	0.710098019
Brahy.D03G0586000	0.019773902	0.020202071	0.978805658
Brahy.D03G0586500	0.003099703	0.002328516	1.331192388
Brahy.D03G0589100	0.000835008	0.000941888	0.886525938
Brahy.D03G0589400	0.000554105	0.000417311	1.32779777
Brahy.D03G0603400	0.000635466	0.000731452	0.868773282
Brahy.D03G0610000	0.000527692	0.001338917	0.394118315
Brahy.D03G0615900	0.00159482	0.004130088	0.386146756
Brahy.D03G0617000	0.00389421	0.004351826	0.894845021
Brahy.D03G0618500	0.001617671	0.002252814	0.718066905
Brahy.D03G0623200	0.010682699	0.009626738	1.109690449
Brahy.D03G0624100	0.007949262	0.012814599	0.620328542
Brahy.D03G0625900	0.002338733	0.006917928	0.338068419
Brahy.D03G0627900	0.000399077	0.000469556	0.849903308
Brahy.D03G0628800	0.004495103	0.004102596	1.095672803
Brahy.D03G0631500	0.00127998	0.001956718	0.6541465
Brahy.D03G0638700	0.002349788	0.006414497	0.36632463
Brahy.D03G0660300	0.000560571	0.0010812	0.518471509
Brahy.D03G0662100	0.000218737	0.000279086	0.783761021
Brahy.D03G0670200	0.004947507	0.006943141	0.712574714
Brahy.D03G0674200	0.001135436	0.000632692	1.79461033
Brahy.D03G0674600	0.001223721	0.000815231	1.501072913
Brahy.D03G0683800	0.000963283	0.000684757	1.406751812
Brahy.D03G0686900	0.000598846	0.001889729	0.316895002
Brahy.D03G0697700	0.000996107	0.001691395	0.588926291
Brahy.D03G0707600	0.000164541	0.001490956	0.110359609
Brahy.D03G0708900	0.003147455	0.003480845	0.904221513
Brahy.D03G0718000	0.013572133	0.005183817	2.618173304
Brahy.D03G0719000	0.000706821	0.0012721	0.555632969
Brahy.D03G0732800	0.000964651	0.002050364	0.470477782
Brahy.D03G0737500	0.002758831	0.003233803	0.853123013
Brahy.D03G0737600	0.001529278	0.008909535	0.171645062
Brahy.D03G0740300	0.001035954	0.006923191	0.149635307
Brahy.D03G0743900	0.000253259	0.000840938	0.301162791
Brahy.D03G0766500	0.00226256	0.003272748	0.691333272
Brahy.D03G0775100	0.000792222	0.000601795	1.316430838
Brahy.D03G0776400	0.001104423	0.002563525	0.430821981
Brahy.D03G0789200	0.004090622	0.009239966	0.5270924775
Brahy.D03G0793900	0.001595892	0.003534173	0.451560136
Brahy.D03G0797900	0.0017070425	0.0031806495	0.535275796
Brahy.D03G0802500	0.000405258	0.002023428	0.200282842
Brahy.D03G0805800	0.001393967	0.003319511	0.419931442
Brahy.D03G0809600	0.000439335	0.00126609	0.347001538
Brahy.D03G0818200	0.000137049	0.000222544	0.615829146
Brahy.D03G0819200	0.002280956	0.002191958	1.040601727
Brahy.D03G0825300	0.004887423	0.003200992	1.526846117
Brahy.D04G0013100	0.0006200815	0.0016277505	0.5142302165
Brahy.D04G0022900	0.001743193	0.000744948	2.340021271
Brahy.D04G0025700	0.000210671	0.002144471	0.098239142
Brahy.D04G0040000	0.002685508	0.00240537	1.116463772
Brahy.D04G0051000	0.000365772	0.000952925	0.383841234
Brahy.D04G0060200	0.003902814	0.005600712	0.69684247
Brahy.D04G0063700	0.003645634	0.006109078	0.596756811
Brahy.D04G0071600	0.009366679	0.007604932	1.231658392
Brahy.D04G0073000	0.000507472	0.001476205	0.34376774
Brahy.D04G0078000	0.012143829	0.009694629	1.252634795
Brahy.D04G0088700	0.000497994	0.002277671	0.21864177
Brahy.D04G0112600	0.000419174	0.001346783	0.311241094
Brahy.D04G0117800	0.001091087	0.000968723	1.126314872
Brahy.D04G0119000	0.000746102	0.004408199	0.169253152
Brahy.D04G0121600	0.00129951	0.003692198	0.351961054
Brahy.D04G0121800	0.002079948	0.001783529	1.166198296
Brahy.D04G0133100	0.0034191075	0.0059743665	0.8332981555000001
Brahy.D04G0137200	0.000689467	0.002110557	0.326675229
Brahy.D04G0141700	0.002082499	0.006155536	0.338313181
Brahy.D04G0141800	0.001035724	0.001470326	0.704418434
Brahy.D04G0141900	0.000494311	0.000601644	0.821598975
Brahy.D04G0143800	0.003907447	0.0014223109999999999	5.9949811775
Brahy.D04G0146200	0.000122267	0.000288177	0.424278056
Brahy.D04G0152100	0.000234208	0.000758253	0.308879058
Brahy.D04G0153000	0.002483392	0.001157884	2.144766839
Brahy.D04G0158700	0.000449328	0.000573507	0.783474562
Brahy.D04G0161700	0.002718513	0.01418343	0.191668266
Brahy.D04G0173200	0.000451898	0.001920461	0.23530728
Brahy.D04G0174800	0.000784241	0.002518475	0.311395025
Brahy.D04G0176000	0.002141486	0.00169663	1.262199724
Brahy.D04G0180200	0.001519399	0.000305818	4.96830554
Brahy.D04G0187600	0.00124552	0.00175624	0.709197097
Brahy.D04G0189300	0.000281857	0.000860434	0.37210657750000004
Brahy.D04G0191100	0.000440392	0.00145534	0.302603972
Brahy.D04G0207300	0.000388048	0.000162902	2.382088644
Brahy.D04G0213200	0.000169613	0.000771503	0.219847075
Brahy.D04G0214800	0.003030555	0.002104847	1.439797921
Brahy.D04G0219800	0.002306423	0.001169364	1.972373432
Brahy.D04G0219900	0.000267449	0.000247039	1.082618522
Brahy.D04G0234700	0.001197143	0.002372767	0.504534697
Brahy.D04G0238600	0.002376827	0.004371645	0.543691677
Brahy.D04G0246600	0.011029254	0.010427665	1.057691545
Brahy.D04G0249600	0.001273052	0.000764362	1.665509981
Brahy.D04G0250100	0.007985904	0.00866901	0.921201414
Brahy.D04G0277000	0.009174847	0.003390483	2.706058855
Brahy.D04G0291000	0.002805698	0.002282919	1.228995686
Brahy.D04G0291900	0.01525386	0.018129638	0.841376967
Brahy.D04G0298500	0.000715621	0.000725758	0.986033843
Brahy.D04G0307600	0.001528988	0.004359522	0.350723846
Brahy.D04G0309600	0.001004601	0.004313898	0.232875378
Brahy.D04G0314000	0.000430784	0.001470841	0.292882536
Brahy.D04G0323800	0.00080159	0.001199073	0.668508496
Brahy.D04G0328500	0.004269567	0.014056918	0.303734214
Brahy.D04G0331300	0.006284306	0.005915064	1.062423978
Brahy.D04G0334700	0.000187994	0.000540333	0.34792207
Brahy.D04G0335800	0.001478566	0.002686973	0.550272228
Brahy.D04G0347700	0.00042373	0.000506377	0.836787707
Brahy.D04G0352500	0.002730546	0.001721117	1.586496573
Brahy.D04G0354100	0.00016866600000000004	0.0001742060000000001	0.762564801
Brahy.D04G0356400	0.006470892	0.005723643	1.130554656
Brahy.D04G0357900	0.00025274	0.001049975	0.240710322
Brahy.D04G0361000	0.003201204	0.003552315	0.901159956
Brahy.D04G0364500	0.00172619	0.000550493	3.135716759
Brahy.D04G0372500	0.001126621	0.001926954	0.584664444
Brahy.D04G0374800	0.0032056075	0.0069468064999999996	0.4724808455
Brahy.D04G0380900	0.000725307	0.000978788	0.741025931
Brahy.D04G0381800	0.00128574	0.000774199	1.660736467
Brahy.D04G0386200	0.00038341	0.000784726	0.488591004
Brahy.D04G0387100	7.07e-05	0.00021819	0.324123458
Brahy.D04G0387800	0.00040604	0.001168239	0.347565617
Brahy.D04G0389800	0.00012398	0.000252593	0.490828316
Brahy.D04G0392700	0.000195711	0.002549542	0.076763381
Brahy.D04G0417000	0.006168733	0.004893368	1.260631345
Brahy.D04G0429100	0.000590604	0.001436569	0.411121554
Brahy.D04G0432900	0.000991216	0.0012910215	0.727873749
Brahy.D04G0434600	0.003481283	0.004460108	0.78053785
Brahy.D04G0437500	0.00278074	0.002523242	1.102050606
Brahy.D04G0442700	0.008175458	0.008246836	0.991344708
Brahy.D04G0445000	0.000280719	0.0010840469999999999	0.233510704
Brahy.D04G0454000	0.002229037	0.003778618	0.589907979
Brahy.D04G0457000	0.001215154	0.002169963	0.559988605
Brahy.D04G0478400	0.006526056	0.003584032	1.820869917
Brahy.D04G0479400	0.001441924	0.0025358905	0.748121058
Brahy.D04G0487900	0.000108054	0.000250129	0.431991068
Brahy.D04G0491000	0.000231705	0.001662844	0.139342796
Brahy.D04G0498600	0.00040985	0.000865599	0.473487167
Brahy.D04G0498700	0.000284304	0.003032505	0.093752246
Brahy.D04G0499800	0.000419258	0.001808614	0.231811741
Brahy.D04G0505500	0.000115302	0.000133115	0.866177672
Brahy.D04G0506300	0.000284404	0.00040323	0.705314143
Brahy.D04G0516600	0.005055548	0.008955176	0.564539165
Brahy.D04G0518400	0.001488389	0.002331839	0.638289834
Brahy.D04G0521600	0.000554366	0.00189436	0.292640477
Brahy.D04G0526600	0.0041054985	0.0066225799999999994	0.524930083
Brahy.D04G0529100	0.004470261	0.004792778	0.932707636
Brahy.D04G0547000	0.004077983	0.003558491	1.145986465
Brahy.D04G0553000	0.000393839	0.000439351	0.896411466
Brahy.D04G0559100	0.000743701	0.003232203	0.230091013
Brahy.D04G0560100	0.001150519	0.002137139	0.538345511
Brahy.D04G0560900	0.003484344	0.001110875	3.136574882
Brahy.D04G0566400	0.002489486	0.003890237	0.639931622
Brahy.D04G0574000	0.010757656	0.002701591	3.981970376
Brahy.D04G0574400	0.002000617	0.001971882	1.014572399
Brahy.D04G0575000	0.023767931	0.017726669	1.340800756
Brahy.D04G0575400	0.000804398	0.001720797	0.467456814
Brahy.D04G0576800	0.002320922	0.002957271	0.784818732
Brahy.D04G0578600	0.001039217	0.000800067	1.298912034
Brahy.D04G0579500	0.000114045	0.000407205	0.280066994
Brahy.D04G0584400	0.007918976	0.011555276	0.685312598
Brahy.D04G0584600	0.005212938	0.019650788	0.265278848
Brahy.D04G0586800	0.001374448	0.003374243	0.407335153
Brahy.D04G0590900	0.00038838	0.003746724	0.103658461
Brahy.D04G0603400	0.000812482	0.001030785	0.788216487
Brahy.D04G0621600	0.005676019	0.005497978	1.032383
Brahy.D04G0627700	0.001303689	0.000410961	3.172297707
