species	product	piN	piS	pin/pis	atid	group
Bh	Brahy.D02G0767700	0.002523178	0.001818894	1.387204376	AT3G07040	Plant-pathogen interaction
Bh	Brahy.D03G0014600	0.001089251	0.001845754	0.59013851	AT1G57560	stomatal related
Bh	Brahy.D03G0043800	0.000828391	0.001728936	0.479133271	AT3G07040	Plant-pathogen interaction
Bh	Brahy.D03G0069800	0.000602293	0.002379094	0.253160469	AT5G44790	stomatal related
Bh	Brahy.D03G0104300	0.003317354	0.005961151	0.556495677	AT2G26640	Plant-pathogen interaction
Bh	Brahy.D03G0112600	0.002601121	0.006749604	0.385373876	AT1G08750	stomatal related
Bh	Brahy.D03G0132700	0.000292668	0.001162029	0.251858999	AT5G53130	Plant-pathogen interaction
Bh	Brahy.D03G0215100	0.000345303	0.000883632	0.390777151	AT3G07040	Plant-pathogen interaction
Bh	Brahy.D03G0215400	0.000860813	0.001190228	0.72323403	AT3G07040	Plant-pathogen interaction
Bh	Brahy.D03G0300500	0.006750243	0.010804624	0.624754995	AT1G01120	Plant-pathogen interaction
Bh	Brahy.D03G0373700	0.002648898	0.006292065	0.420990258	AT3G44960	stomatal related
Bh	Brahy.D03G0426100	0.000300702	0.001469234	0.20466581	AT1G04110	stomatal related
Bh	Brahy.D03G0455100	0.001218958	0.00659749	0.184760902	AT4G17615	stomatal related
Bh	Brahy.D03G0463600	0.003481947	0.001930024	1.804095149	AT1G32640	stomatal related
Bh	Brahy.D03G0466300	0.001492693	0.001150527	1.297400105	AT1G32250	Plant-pathogen interaction
Bh	Brahy.D03G0474000	0.00026264	0.00056104	0.460471109	AT1G15520	stomatal related
Bh	Brahy.D03G0494200	0.001323691	0.001672036	0.791664541	AT3G14270	stomatal related
Bh	Brahy.D03G0512400	0.000377796	0.002789526	0.135433633	AT1G19230	Plant-pathogen interaction
Bh	Brahy.D03G0530100	0.018466091	0.019664021	0.939080082	AT5G10310	stomatal related
Bh	Brahy.D03G0532800	0.000271529	0.00092001	0.295136724	AT2G04030	Plant-pathogen interaction
Bh	Brahy.D03G0559800	0.010494581	0.009580608	1.095398245	AT4G12970	stomatal related
Bh	Brahy.D03G0572600	0.000547693	0.001207539	0.453561536	AT3G59350	Plant-pathogen interaction
Bh	Brahy.D03G0610000	0.000527692	0.001338917	0.394118315	AT5G13160	Plant-pathogen interaction
Bh	Brahy.D03G0740300	0.001035954	0.006923191	0.149635307	AT4G30360	Plant-pathogen interaction
Bh	Brahy.D03G0802500	0.000405258	0.002023428	0.200282842	AT5G65420	stomatal related
Bh	Brahy.D04G0013100	0.000620082	0.001627751	0.514230217	AT3G07040	Plant-pathogen interaction
Bh	Brahy.D04G0040000	0.002685508	0.00240537	1.116463772	AT3G07040	Plant-pathogen interaction
Bh	Brahy.D04G0051000	0.000365772	0.000952925	0.383841234	AT1G68530	Plant-pathogen interaction
Bh	Brahy.D04G0117800	0.001091087	0.000968723	1.126314872	AT5G03280	stomatal related
Bh	Brahy.D04G0133100	0.003419108	0.005974367	0.833298156	AT3G07040	Plant-pathogen interaction
Bh	Brahy.D04G0137200	0.000689467	0.002110557	0.326675229	AT3G07040	Plant-pathogen interaction
Bh	Brahy.D04G0141700	0.002082499	0.006155536	0.338313181	AT3G07040	Plant-pathogen interaction
Bh	Brahy.D04G0141800	0.001035724	0.001470326	0.704418434	AT3G07040	Plant-pathogen interaction
Bh	Brahy.D04G0141900	0.000494311	0.000601644	0.821598975	AT3G07040	Plant-pathogen interaction
Bh	Brahy.D04G0153000	0.002483392	0.001157884	2.144766839	AT3G07040	Plant-pathogen interaction
Bh	Brahy.D04G0158700	0.000449328	0.000573507	0.783474562	AT3G07040	Plant-pathogen interaction
Bh	Brahy.D04G0161700	0.002718513	0.01418343	0.191668266	AT3G16640	stomatal related
Bh	Brahy.D04G0173200	0.000451898	0.001920461	0.23530728	AT3G05030	stomatal related
Bh	Brahy.D04G0176000	0.002141486	0.00169663	1.262199724	AT1G04110	stomatal related
Bh	Brahy.D04G0189300	0.000281857	0.000860434	0.372106578	AT3G07040	Plant-pathogen interaction
Bh	Brahy.D04G0234700	0.001197143	0.002372767	0.504534697	AT5G20480	Plant-pathogen interaction
Bh	Brahy.D04G0250100	0.007985904	0.00866901	0.921201414	AT5G47910	Plant-pathogen interaction
Bh	Brahy.D04G0298500	0.000715621	0.000725758	0.986033843	AT1G69850	stomatal related
Bh	Brahy.D04G0314000	0.000430784	0.001470841	0.292882536	AT3G07040	Plant-pathogen interaction
Bh	Brahy.D04G0323800	0.00080159	0.001199073	0.668508496	AT1G08810	stomatal related
Bh	Brahy.D04G0328500	0.004269567	0.014056918	0.303734214	AT1G25450	Plant-pathogen interaction
Bh	Brahy.D04G0352500	0.002730546	0.001721117	1.586496573	AT3G07040	Plant-pathogen interaction
Bh	Brahy.D04G0361000	0.003201204	0.003552315	0.901159956	AT3G07040	Plant-pathogen interaction
Bh	Brahy.D04G0372500	0.001126621	0.001926954	0.584664444	AT4G14440	Plant-pathogen interaction
Bh	Brahy.D04G0380900	0.000725307	0.000978788	0.741025931	AT5G13750	stomatal related
Bh	Brahy.D04G0387800	0.00040604	0.001168239	0.347565617	AT3G11130	stomatal related
Bh	Brahy.D04G0454000	0.002229037	0.003778618	0.589907979	AT1G19230	Plant-pathogen interaction
Bh	Brahy.D04G0478400	0.006526056	0.003584032	1.820869917	AT5G08120	stomatal related
Bh	Brahy.D04G0547000	0.004077983	0.003558491	1.145986465	AT2G24610	Plant-pathogen interaction
Bh	Brahy.D04G0575400	0.000804398	0.001720797	0.467456814	AT5G12480	Plant-pathogen interaction
Bh	Brahy.D04G0584400	0.007918976	0.011555276	0.685312598	AT3G07040	Plant-pathogen interaction
Bh	Brahy.D04G0644600	0.003548411	0.002554082	1.389309813	AT3G11130	stomatal related
Bh	Brahy.D05G0006900	8.37E-05	0.000118613	0.706071405	AT1G04110	stomatal related
Bh	Brahy.D05G0019000	0.000152758	0.001349714	0.111904652	AT3G07040	Plant-pathogen interaction
Bh	Brahy.D05G0043400	0.000356109	0.002172727	0.163899467	AT3G07040	Plant-pathogen interaction
Bh	Brahy.D05G0051100	5.52E-05	0.000253189	0.22952668	AT2G47800	stomatal related
Bh	Brahy.D05G0080000	0.000113044	0.000888203	0.127273158	AT4G39090	Plant-pathogen interaction
Bh	Brahy.D05G0089000	0.000289071	0.000898467	0.321737762	AT5G58140	stomatal related
Bh	Brahy.D05G0098800	0.001872554	0.008204664	0.51710534	AT1G80460	Plant-pathogen interaction
Bh	Brahy.D05G0253800	1.93E-05	0.000559643	0.034499945	AT4G36180	stomatal related
Bh	Brahy.D05G0258900	0.000254136	0.000766754	0.331443631	AT4G35310	Plant-pathogen interaction
Bh	Brahy.D05G0320500	0.000447728	0.001432811	0.312482011	AT1G47128	stomatal related
Bh	Brahy.S01G0064100	5.26E-05	0.000530588	0.102126649	AT3G59780	stomatal related
Bh	Brahy.S01G0105400	0.004248409	0.007297106	0.5822046	AT3G51850	Plant-pathogen interaction
Bh	Brahy.S01G0120500	0.000261917	0.000580686	0.451048015	AT5G12180	Plant-pathogen interaction
Bh	Brahy.S01G0128800	0.000691569	0.002286693	0.30243212	AT4G26090	Plant-pathogen interaction
Bh	Brahy.S01G0165100	0.000202236	0.000705609	0.286612196	AT1G64060	Plant-pathogen interaction
Bh	Brahy.S01G0187100	0.000200958	0.001259312	0.159577823	AT5G46330	Plant-pathogen interaction
Bh	Brahy.S01G0217200	0.005517821	0.00139872	3.944907176	AT1G70410	stomatal related
Bh	Brahy.S01G0237100	0.000180555	0.001059843	0.170360122	AT1G15520	stomatal related
Bh	Brahy.S01G0237400	0.000478773	0.000503445	1.011683653	AT1G15520	stomatal related
Bh	Brahy.S01G0277800	0.001899532	0.002293905	0.828077746	AT5G47910	Plant-pathogen interaction
Bh	Brahy.S01G0278400	0.000967287	0.000681733	1.418864905	AT2G47800	stomatal related
Bh	Brahy.S01G0285600	0.013622757	0.006785823	2.00753221	AT1G48210	Plant-pathogen interaction
Bh	Brahy.S01G0290200	0.000637402	0.000404259	1.576717204	AT5G23720	stomatal related
Bh	Brahy.S01G0313900	0.001736806	0.00406089	0.42769094	AT1G15520	stomatal related
Bh	Brahy.S01G0332500	0.003555809	0.00261406	1.360262835	AT1G69530	stomatal related
Bh	Brahy.S01G0357400	0.000157163	0.006319516	0.02486948	AT4G18290	stomatal related
Bh	Brahy.S01G0357800	0.022556804	0.021622153	1.043226544	AT5G46220	stomatal related
Bh	Brahy.S02G0045000	0.000431517	0.001241758	0.347504888	AT5G56580	Plant-pathogen interaction
Bh	Brahy.S02G0097600	0.001582151	0.00106285	1.488593177	AT2G38620	stomatal related
Bh	Brahy.S02G0125100	0.003568827	0.005309892	1.10910958	AT3G09770	stomatal related
Bh	Brahy.S02G0139500	0.000123049	0.000418095	0.285044014	AT5G02500	stomatal related
Bh	Brahy.S02G0140000	0.001983997	0.001089191	1.821532812	AT5G02500	stomatal related
Bh	Brahy.S02G0147700	0.008126437	0.002228713	3.646246728	AT3G45640	Plant-pathogen interaction
Bh	Brahy.S02G0166400	0.006541461	0.003596943	1.818617025	AT5G49480	Plant-pathogen interaction
Bh	Brahy.S02G0175600	0.001492411	0.002767891	0.539186945	AT2G39050	stomatal related
Bh	Brahy.S02G0196400	0.0009217	0.00106972	0.861627342	AT3G56960	stomatal related
Bh	Brahy.S02G0200700	0.002394557	0.000228934	10.85584519	AT2G26770	stomatal related
Bh	Brahy.S02G0204700	0.000284376	0.001913144	0.148643173	AT1G57560	stomatal related
Bh	Brahy.S02G0213200	0.000410572	0.000821917	0.473913014	AT3G15730	stomatal related
Bh	Brahy.S02G0292300	0.000827463	0.001364447	0.606445191	AT5G03280	stomatal related
Bh	Brahy.S02G0381500	0.010328892	0.006771222	1.520971677	AT5G44460	Plant-pathogen interaction
Bh	Brahy.S02G0407100	0.000793893	0.001539435	0.409706892	AT2G31870	stomatal related
Bh	Brahy.S02G0413800	0.005736373	0.005987468	0.958063169	AT3G07040	Plant-pathogen interaction
Bh	Brahy.S02G0420300	0.00110742	0.001052816	1.051864808	AT4G22790	stomatal related
Bh	Brahy.S03G0032000	0.000118401	0.000916946	0.129125546	AT3G07040	Plant-pathogen interaction
Bh	Brahy.S03G0156800	0.00670541	0.005397515	1.242314251	AT5G22920	stomatal related
Bh	Brahy.S03G0204900	0.00071486	0.00120343	0.594018488	AT2G17290	Plant-pathogen interaction
Bh	Brahy.S03G0232000	0.001174168	0.002973517	0.394875245	AT1G32250	Plant-pathogen interaction
Bh	Brahy.S03G0269500	0.002887264	0.00533109	0.473935982	AT1G19230	Plant-pathogen interaction
Bh	Brahy.S03G0279200	0.003433583	0.001037813	3.390499247	AT4G14480	stomatal related
Bh	Brahy.S04G0006600	0.000537601	0.000857277	0.634412723	AT3G07040	Plant-pathogen interaction
Bh	Brahy.S04G0023000	0.002640881	0.002434394	1.08482055	AT3G07040	Plant-pathogen interaction
Bh	Brahy.S04G0047300	0.000908833	0.000655259	1.386982004	AT1G66400	Plant-pathogen interaction
Bh	Brahy.S04G0160600	0.000510142	0.002326359	0.250467383	AT4G20360	Plant-pathogen interaction
Bh	Brahy.S04G0169400	0.00065189	0.002308803	0.282354374	AT3G57230	stomatal related
Bh	Brahy.S04G0217300	0.00031697	0.002018227	0.157053853	AT4G39090	Plant-pathogen interaction
Bh	Brahy.S04G0238300	0.013943836	0.020853035	0.667765437	AT4G20260	stomatal related
Bh	Brahy.S04G0271000	0.001620008	0.002506126	0.770143138	AT1G08750	stomatal related
Bh	Brahy.S04G0307300	0.001527032	0.001448372	0.824036136	AT5G44790	stomatal related
Bh	Brahy.S04G0326800	0.001324418	0.004352152	0.304313451	AT3G07040	Plant-pathogen interaction
Bh	Brahy.S04G0362700	0.000773805	0.004849784	0.184272376	AT3G07040	Plant-pathogen interaction
Bh	Brahy.S05G0015400	0.000855095	0.007632482	0.11152665	AT3G11130	stomatal related
Bh	Brahy.S05G0021100	1.81E-05	0.000311988	0.073435872	AT3G07040	Plant-pathogen interaction
Bh	Brahy.S05G0027700	0.001103834	0.001202329	1.100570993	AT3G07040	Plant-pathogen interaction
Bh	Brahy.S05G0027800	0.000409887	0.003133757	0.097971547	AT1G35670	Plant-pathogen interaction
Bh	Brahy.S05G0034300	0.002938218	0.002066011	1.422169802	AT3G07040	Plant-pathogen interaction
Bh	Brahy.S05G0048600	0.011664673	0.010288463	1.110084045	AT1G68530	Plant-pathogen interaction
Bh	Brahy.S05G0051700	6.68E-05	0.000220371	0.303057287	AT1G08810	stomatal related
Bh	Brahy.S05G0060300	0.010030534	0.012445567	0.813091686	AT3G07040	Plant-pathogen interaction
Bh	Brahy.S05G0060400	0.0200968	0.027574125	0.730809592	AT3G07040	Plant-pathogen interaction
Bh	Brahy.S05G0114500	0.000401856	0.000498506	0.774659185	AT1G15520	stomatal related
Bh	Brahy.S05G0119000	0.000658122	0.00236727	0.333481474	AT1G51850	stomatal related
Bh	Brahy.S05G0174500	0.000531682	0.00137572	0.386475704	AT2G04030	Plant-pathogen interaction
Bh	Brahy.S05G0200900	0.000851052	0.00094904	0.896749086	AT3G59350	Plant-pathogen interaction
Bh	Brahy.S05G0203500	0.000980762	0.001700215	0.576845494	AT3G07040	Plant-pathogen interaction
Bh	Brahy.S05G0221000	0.001031341	0.001659285	0.621557452	AT4G35790	stomatal related
Bh	Brahy.S05G0269600	0.009611718	0.007384226	1.307569196	AT3G07040	Plant-pathogen interaction
Bh	Brahy.S05G0283900	4.86E-05	0.000204012	0.238014308	AT3G07040	Plant-pathogen interaction
Bh	Brahy.S05G0314300	0.009369055	0.011343262	0.840068223	AT3G28910	Plant-pathogen interaction
Bh	Brahy.S05G0325700	7.84E-05	4.58E-05	1.710165389	AT3G11130	stomatal related
Bh	Brahy.S06G0008200	0.003036084	0.004014842	0.75621521	AT2G41070	stomatal related
Bh	Brahy.S06G0009700	0.007301072	0.020131904	0.360304864	AT2G39050	stomatal related
Bh	Brahy.S06G0009800	0.001795272	0.002245125	1.286155493	AT2G39050	stomatal related
Bh	Brahy.S06G0088600	0.00027843	0.000993176	0.282970694	AT3G07040	Plant-pathogen interaction
Bh	Brahy.S06G0139300	0.00185783	0.002090573	0.855135946	AT3G54940	Plant-pathogen interaction
Bh	Brahy.S06G0187000	0.00221558	0.004170887	0.531201245	AT2G43290	Plant-pathogen interaction
Bh	Brahy.S06G0219200	0.000266071	0.000409612	0.649567418	AT5G20480	Plant-pathogen interaction
Bh	Brahy.S06G0246500	0.000577471	0.001257735	0.459135237	AT4G20940	stomatal related
Bh	Brahy.S07G0009300	0.014607096	0.024042032	0.607564939	AT3G07040	Plant-pathogen interaction
Bh	Brahy.S07G0040000	0.001117957	0.002772391	0.402269553	AT2G43790	Plant-pathogen interaction
Bh	Brahy.S07G0068200	0.006105149	0.007686375	0.794282038	AT1G17280	stomatal related
Bh	Brahy.S07G0103500	0.000368013	0.000810061	0.454303458	AT1G68530	Plant-pathogen interaction
Bh	Brahy.S07G0110700	0.004441504	0.006514385	0.681799508	AT5G08120	stomatal related
Bh	Brahy.S07G0151700	0.000237528	0.003467336	0.072197532	AT3G06120	stomatal related
Bh	Brahy.S07G0179100	0.002387473	0.00247858	0.993315175	AT5G11270	stomatal related
Bh	Brahy.S07G0180900	0.000318872	0.000373715	0.853248301	AT2G26670	stomatal related
Bh	Brahy.S07G0194300	0.001690292	0.001279964	1.652405349	AT1G15520	stomatal related
Bh	Brahy.S07G0235600	0.002105394	0.000889633	2.366456066	AT1G16540	stomatal related
Bh	Brahy.S07G0261100	0.001850031	0.003615902	0.531801636	AT4G24190	Plant-pathogen interaction
Bh	Brahy.S07G0270600	0.000304554	0.00176739	0.225236228	AT3G07040	Plant-pathogen interaction
Bh	Brahy.S08G0013600	0.003135319	0.004177733	0.730628804	AT4G23650	Plant-pathogen interaction
Bh	Brahy.S08G0051900	0.012528876	0.023256006	0.540205727	AT4G12540	stomatal related
Bh	Brahy.S08G0054200	0.00218693	0.008993393	0.243170693	AT1G64060	Plant-pathogen interaction
Bh	Brahy.S08G0058300	0.000194671	0.001338415	0.137206378	AT4G29130	stomatal related
Bh	Brahy.S08G0060400	0.001508692	0.001859369	0.815944556	AT1G15440	stomatal related
Bh	Brahy.S08G0073700	0.002225035	0.004063878	0.54751514	AT5G54250	Plant-pathogen interaction
Bh	Brahy.S08G0096600	0.00094304	0.000938174	1.005186722	AT3G24140	stomatal related
Bh	Brahy.S08G0107100	0.002033152	0.00397705	0.511220961	AT2G39940	stomatal related
Bh	Brahy.S08G0229900	0.003962449	0.003484738	1.137086498	AT3G07040	Plant-pathogen interaction
Bh	Brahy.S08G0233700	7.15E-05	0.000245107	0.291554623	AT1G09540	stomatal related
Bh	Brahy.S08G0239700	0.000438123	0.000419955	1.167784035	AT3G07040	Plant-pathogen interaction
Bh	Brahy.S08G0248000	0.000479809	0.000643749	0.745334329	AT3G07040	Plant-pathogen interaction
Bh	Brahy.S08G0252900	5.65E-05	0.000403191	0.140050377	AT1G48210	Plant-pathogen interaction
Bh	Brahy.S08G0257900	0.00022849	0.000455124	0.502037647	AT3G07040	Plant-pathogen interaction
Bh	Brahy.S08G0261900	0.004068874	0.004595105	0.885480196	AT3G07040	Plant-pathogen interaction
Bh	Brahy.S08G0265900	0.000183564	0.00024514	0.748814153	AT3G07040	Plant-pathogen interaction
Bh	Brahy.S08G0266400	0.000760057	0.000762117	0.872406831	AT3G07040	Plant-pathogen interaction
Bh	Brahy.S09G0011800	0.005466745	0.006661103	0.820696655	AT3G07040	Plant-pathogen interaction
Bh	Brahy.S09G0011900	0.000996888	0.002089793	0.477027149	AT3G07040	Plant-pathogen interaction
Bh	Brahy.S09G0019600	0.011715947	0.018206126	0.643516762	AT5G52640	Plant-pathogen interaction
Bh	Brahy.S09G0023700	0.000532418	0.000714872	0.798777607	AT4G26090	Plant-pathogen interaction
Bh	Brahy.S09G0035200	4.45E-05	9.43E-05	0.527325791	AT2G47800	stomatal related
Bh	Brahy.S09G0038900	0.000283046	0.002015599	0.145025429	AT3G07040	Plant-pathogen interaction
Bh	Brahy.S09G0069300	5.14E-05	0.000171337	0.299773756	AT4G26090	Plant-pathogen interaction
Bh	Brahy.S09G0083300	0.001167336	0.002113906	0.754643546	AT4G26090	Plant-pathogen interaction
Bh	Brahy.S09G0104200	0.001189691	0.001002199	1.187081334	AT3G07320	stomatal related
Bh	Brahy.S09G0145600	0.000537482	0.00071788	1.156146521	AT4G26090	Plant-pathogen interaction
Bh	Brahy.S09G0192700	0.002865128	0.002825404	0.903758185	AT3G51550	stomatal related
Bh	Brahy.S10G0000700	0.002169997	0.002698446	1.423750382	AT1G66340	stomatal related
Bh	Brahy.S10G0005500	0.000106792	0.000258316	0.413415758	AT3G07040	Plant-pathogen interaction
Bh	Brahy.S10G0025100	0.000282019	0.001741182	0.21122233	AT3G07040	Plant-pathogen interaction
Bh	Brahy.S10G0031800	3.82E-05	0.000101321	0.376586014	AT3G07040	Plant-pathogen interaction
Bh	Brahy.S10G0041400	0.000977096	0.001010396	0.94158423	AT1G68530	Plant-pathogen interaction
Bh	Brahy.S10G0047500	0.002969835	0.00322303	0.921441898	AT5G02500	stomatal related
Bh	Brahy.S10G0056200	0.004864551	0.004586359	1.060656452	AT3G07040	Plant-pathogen interaction
Bh	Brahy.S10G0056300	0.000183519	0.000200628	1.245297474	AT3G07040	Plant-pathogen interaction
Bh	Brahy.S10G0105400	0.001395669	0.002148796	0.663527785	AT2G15430	stomatal related
Bh	Brahy.S10G0106700	0.000271602	0.000314966	0.877243738	AT5G03280	stomatal related
Bh	Brahy.S10G0125000	0.005005466	0.008607469	0.658914186	AT3G26744	stomatal related
Bh	Brahy.S10G0126100	7.46E-05	0.000209012	0.356724339	AT3G07040	Plant-pathogen interaction
Bh	Brahy.S10G0132400	0.001526855	0.00230624	0.752051405	AT5G47910	Plant-pathogen interaction
Bh	Brahy.S10G0154000	0.000322032	0.000358052	0.899402032	AT3G07040	Plant-pathogen interaction
Bh	Brahy.S10G0155600	0.0076018	0.012241428	0.611868314	AT1G04220	Plant-pathogen interaction
Bh	Brahy.S10G0180000	0.000965667	0.003341888	0.288958557	AT3G07040	Plant-pathogen interaction
Bh	Brahy.S10G0184800	0.00013161	0.000304297	0.662023845	AT3G07040	Plant-pathogen interaction
Bh	Brahy.S10G0188600	0.000174042	0.001038551	0.174630946	AT3G07040	Plant-pathogen interaction
Bh	Brahy.S10G0192500	0.001383192	0.001247188	1.351460112	AT3G05030	stomatal related
Bh	Brahy.S10G0208500	0.001511638	0.001080513	1.499133969	AT3G07040	Plant-pathogen interaction
Bh	Brahy.S10G0208600	0.00342382	0.007219769	0.474228407	AT3G07040	Plant-pathogen interaction
Bh	Brahy.S10G0213400	0.000715764	0.001125487	0.652620959	AT3G07040	Plant-pathogen interaction
Bs	Brast01G027500	0.003055779	0.001449515	2.10813918	AT2G26300	stomatal related
Bs	Brast01G056400	6.85E-05	0.000331144	0.206943515	AT1G05805	stomatal related
Bs	Brast01G086400	7.06E-05	0.000982375	0.071872546	AT2G39940	stomatal related
Bs	Brast01G113700	0.002400563	0.005244282	0.457748675	AT2G26770	stomatal related
Bs	Brast01G124100	0.002209192	0.004113517	0.537056842	AT5G54250	Plant-pathogen interaction
Bs	Brast01G153500	0.002320993	0.002159175	1.388373575	AT5G40280	stomatal related
Bs	Brast01G155000	0.000445869	0.001203181	0.370575018	AT1G64060	Plant-pathogen interaction
Bs	Brast01G175900	4.79E-05	0.000244885	0.173706102	AT5G46330	Plant-pathogen interaction
Bs	Brast01G184300	0.000722658	0.001118729	0.850351601	AT4G03560	stomatal related
Bs	Brast01G203800	0.000484322	0.004800335	0.10089342	AT1G70410	stomatal related
Bs	Brast01G208400	0.000609382	0.00116624	0.522518577	AT3G56400	stomatal related
Bs	Brast01G212100	0.001427173	0.001265111	1.66535141	AT4G23650	Plant-pathogen interaction
Bs	Brast01G221700	0.00083883	0.003799813	0.201756057	AT1G15520	stomatal related
Bs	Brast01G266200	0.001749128	0.001677088	1.042955755	AT1G68530	Plant-pathogen interaction
Bs	Brast01G270700	3.73E-05	0.000125443	0.297256481	AT5G23720	stomatal related
Bs	Brast01G280900	0.000518055	0.002210742	0.23433533	AT5G23720	stomatal related
Bs	Brast01G308900	0.002646189	0.004031385	0.503159094	AT3G07040	Plant-pathogen interaction
Bs	Brast01G346800	0.001177854	0.000272628	2.78638872	AT3G07040	Plant-pathogen interaction
Bs	Brast01G414700	0.000229867	0.000462177	0.497356664	AT5G05660	stomatal related
Bs	Brast02G037500	0.002709795	0.0024155	1.085441331	AT1G04120	stomatal related
Bs	Brast02G037900	0.002440735	0.002822354	0.864786979	AT1G04110	stomatal related
Bs	Brast02G039900	0.000349658	0.001046685	0.334062896	AT5G22920	stomatal related
Bs	Brast02G042200	2.61E-05	0.000100304	0.259932422	AT5G56580	Plant-pathogen interaction
Bs	Brast02G066000	0.000852381	0.001245729	0.684242325	AT2G26250	Plant-pathogen interaction
Bs	Brast02G090900	0.000131655	0.000700273	0.18800544	AT2G38620	stomatal related
Bs	Brast02G098500	0.000270285	0.000832633	0.324614327	AT1G68530	Plant-pathogen interaction
Bs	Brast02G111200	0.000150699	0.002406157	0.062630737	AT1G25250	stomatal related
Bs	Brast02G116200	0.002088446	0.003466448	0.602474323	AT1G01120	Plant-pathogen interaction
Bs	Brast02G119000	0.003761148	0.012542769	0.299865862	AT3G09770	stomatal related
Bs	Brast02G126500	0.001076217	0.001120026	0.960885655	AT2G39940	stomatal related
Bs	Brast02G132700	0.001335805	0.001806266	0.634721025	AT5G02500	stomatal related
Bs	Brast02G156700	0.003135239	0.001525292	2.055500569	AT3G17000	stomatal related
Bs	Brast02G194500	0.003909941	0.002758058	1.417642877	AT1G57560	stomatal related
Bs	Brast02G198500	3.02E-05	0.000203487	0.148603507	AT2G28630	Plant-pathogen interaction
Bs	Brast02G202900	0.002525554	0.00287576	1.352804325	AT3G15730	stomatal related
Bs	Brast02G203200	0.00259141	0.008750994	0.254144456	AT5G65420	stomatal related
Bs	Brast02G207000	0.000478857	0.000637497	0.793022542	AT3G14270	stomatal related
Bs	Brast02G232400	0.010759652	0.007726172	1.392623987	AT4G33950	stomatal related
Bs	Brast02G245500	0.003427001	0.00463563	0.764534196	AT4G30560	Plant-pathogen interaction
Bs	Brast02G258300	0.001593601	0.002859233	0.557352739	AT4G34460	stomatal related
Bs	Brast02G262000	7.07E-05	5.12E-05	1.379151614	AT3G07040	Plant-pathogen interaction
Bs	Brast02G267000	0.000733868	0.001143748	0.641633966	AT1G74740	Plant-pathogen interaction
Bs	Brast02G273300	0.001200424	0.004749787	0.252732268	AT5G03280	stomatal related
Bs	Brast02G274500	0.003072227	0.011168217	0.275086664	AT1G66340	stomatal related
Bs	Brast02G317500	4.66E-05	0.000529946	0.087939265	AT1G20160	stomatal related
Bs	Brast02G318100	0.006105795	0.006089977	1.172871761	AT4G33950	stomatal related
Bs	Brast02G321000	0.000974542	0.006269031	0.20055714	AT3G50770	Plant-pathogen interaction
Bs	Brast02G332100	3.75E-05	0.000763585	0.049048855	AT3G11820	stomatal related
Bs	Brast02G333300	0.000460266	0.001316834	0.349524945	AT5G04870	Plant-pathogen interaction
Bs	Brast02G348000	0.000668785	0.000807485	0.828232892	AT3G58490	stomatal related
Bs	Brast03G035200	0.000125199	0.000112113	1.116722217	AT4G26090	Plant-pathogen interaction
Bs	Brast03G059500	7.58E-05	0.000342167	0.221503828	AT3G07040	Plant-pathogen interaction
Bs	Brast03G103600	0.002945461	0.005960347	0.5301526	AT3G07040	Plant-pathogen interaction
Bs	Brast03G147500	0.00152626	0.003888451	0.392511125	AT2G28630	Plant-pathogen interaction
Bs	Brast03G179400	0.001498605	0.002276244	0.658367232	AT1G04110	stomatal related
