file	product	piN	piS	pin/pis
temp_vcf4_SM_ES19.vcf	Brast03G011400.v0.1.stacei	0.000686851	0.001580003	0.434714953
temp_vcf4_SM_ES19.vcf	Brast03G037500.v0.1.stacei	0.000644598	0.000314793	2.04768926
temp_vcf4_SM_ES19.vcf	Brast03G037600.v0.1.stacei	2.95E-05	0.000135372	0.218091439
temp_vcf4_SM_ES19.vcf	Brast03G041800.v0.1.stacei	0.000923828	0.006741863	0.137028542
temp_vcf4_SM_ES19.vcf	Brast03G079400.v0.1.stacei	0.000247991	0.001422204	0.174370954
temp_vcf4_SM_ES19.vcf	Brast03G102900.v0.1.stacei	0.000472101	0.001314448	0.359163262
temp_vcf4_SM_ES19.vcf	Brast03G103600.v0.1.stacei	0.002861858	0.004326823	0.661422496
temp_vcf4_SM_ES19.vcf	Brast03G110700.v0.1.stacei	0.000808276	0.000880718	0.917746224
temp_vcf4_SM_ES19.vcf	Brast03G124400.v0.1.stacei	0.001058332	0.002456183	0.430884767
temp_vcf4_SM_ES19.vcf	Brast03G141100.v0.1.stacei	0.000906753	0.000472605	1.918626054
temp_vcf4_SM_ES19.vcf	Brast03G145400.v0.1.stacei	0.002380783	0.00195729	1.216367117
temp_vcf4_SM_ES19.vcf	Brast03G147500.v0.1.stacei	0.00152626	0.003888451	0.392511125
temp_vcf4_SM_ES19.vcf	Brast03G156800.v0.1.stacei	0.003599756	0.002951382	1.219684928
temp_vcf4_SM_ES19.vcf	Brast03G164700.v0.1.stacei	0.001149902	0.006928997	0.165955102
temp_vcf4_SM_ES19.vcf	Brast03G176900.v0.1.stacei	0.003941067	0.010701885	0.368259133
temp_vcf4_SM_ES19.vcf	Brast03G178900.v0.1.stacei	0.000420181	0.001169473	0.35929063
temp_vcf4_SM_ES19.vcf	Brast03G186700.v0.1.stacei	0.00088501	0.000270831	3.26775155
temp_vcf4_SM_ES1.vcf	Brast03G106800.v0.1.stacei	0.002867661	0.005248568	0.546370118
temp_vcf4_SM_ES1.vcf	Brast03G121200.v0.1.stacei	0.000854094	0.001643416	0.519706633
temp_vcf4_SM_ES1.vcf	Brast03G141200.v0.1.stacei	0.000229194	0.000854683	0.268162406
temp_vcf4_SM_ES1.vcf	Brast03G144100.v0.1.stacei	0.000943941	0.000277476	3.401884777
temp_vcf4_SM_ES1.vcf	Brast03G153800.v0.1.stacei	0.001046182	0.000693523	1.508504266
temp_vcf4_SM_ES1.vcf	Brast03G164300.v0.1.stacei	0.006445902	0.00570656	1.129559914
temp_vcf4_SM_ES1.vcf	Brast03G200400.v0.1.stacei	0.001133676	0.000151433	7.486332471
temp_vcf4_SM_ES1.vcf	Brast03G202500.v0.1.stacei	0.002745419	0.002502852	1.096916042
temp_vcf4_SM_ES1.vcf	Brast03G209600.v0.1.stacei	0.000617781	0.000136343	4.531069093
temp_vcf4_SM_ES1.vcf	Brast03G258900.v0.1.stacei	0.00035232	0.002181435	0.161508364
temp_vcf4_SM_ES1.vcf	Brast03G269200.v0.1.stacei	0.00152696	0.003123662	0.488836487
temp_vcf4_SM_ES1.vcf	Brast03G296500.v0.1.stacei	9.32E-05	0.000234509	0.397606443
temp_vcf4_SM_ES1.vcf	Brast03G297500.v0.1.stacei	4.76E-05	5.91E-05	0.805562836
temp_vcf4_SM_ES21.vcf	Brast03G005500.v0.1.stacei	0.000262787	0.000151037	1.739886756
temp_vcf4_SM_ES21.vcf	Brast03G032400.v0.1.stacei	1.64E-05	8.60E-05	0.190846431
temp_vcf4_SM_ES21.vcf	Brast03G061600.v0.1.stacei	0.000443434	0.000520349	0.852186865
temp_vcf4_SM_ES21.vcf	Brast03G106800.v0.1.stacei	0.003057362	0.005434561	0.562577579
temp_vcf4_SM_ES21.vcf	Brast03G121200.v0.1.stacei	0.005558389	0.004718871	1.177906626
temp_vcf4_SM_ES21.vcf	Brast03G164300.v0.1.stacei	0.005499178	0.001089711	5.046454524
temp_vcf4_SM_ES21.vcf	Brast03G192800.v0.1.stacei	0.000242053	0.000218654	1.107016247
temp_vcf4_SM_ES21.vcf	Brast03G200400.v0.1.stacei	0.001200852	9.14E-05	13.1398518
temp_vcf4_SM_ES21.vcf	Brast03G202500.v0.1.stacei	0.003454666	0.0056729	0.608977041
temp_vcf4_SM_ES21.vcf	Brast03G205100.v0.1.stacei	0.000260892	0.000375216	0.69531005
temp_vcf4_SM_ES21.vcf	Brast03G209600.v0.1.stacei	8.27E-05	0.000139375	0.593720629
temp_vcf4_SM_ES21.vcf	Brast03G264300.v0.1.stacei	0.000175295	0.000297437	0.589350389
temp_vcf4_SM_ES11.vcf	Brast02G000200.v0.1.stacei	0.00341801	0.001138669	3.001760231
temp_vcf4_SM_ES11.vcf	Brast02G029000.v0.1.stacei	0.00036785	0.001285624	0.286125705
temp_vcf4_SM_ES11.vcf	Brast02G033300.v0.1.stacei	1.78E-05	0.000259439	0.068700601
temp_vcf4_SM_ES11.vcf	Brast02G036300.v0.1.stacei	0.000357313	0.001502705	0.237779895
temp_vcf4_SM_ES11.vcf	Brast02G036800.v0.1.stacei	0.000572871	0.000202549	2.828305865
temp_vcf4_SM_ES11.vcf	Brast02G037500.v0.1.stacei	0.004151796	0.003643945	1.139368654
temp_vcf4_SM_ES11.vcf	Brast02G047700.v0.1.stacei	0.000763861	0.000795613	0.960091385
temp_vcf4_SM_ES11.vcf	Brast02G070600.v0.1.stacei	0.000159926	0.000454036	0.352231711
temp_vcf4_SM_ES11.vcf	Brast02G104300.v0.1.stacei	0.000887425	0.001386882	0.639870603
temp_vcf4_SM_ES11.vcf	Brast02G112500.v0.1.stacei	0.003486531	0.002861339	1.218496609
temp_vcf4_SM_ES11.vcf	Brast02G136200.v0.1.stacei	7.25E-05	0.000308965	0.234732565
temp_vcf4_SM_ES11.vcf	Brast02G156700.v0.1.stacei	0.003135239	0.001525292	2.055500569
temp_vcf4_SM_ES11.vcf	Brast02G176900.v0.1.stacei	0.007617914	0.01428525	0.533271332
temp_vcf4_SM_ES11.vcf	Brast02G190800.v0.1.stacei	0.002016532	0.005661791	0.356165062
temp_vcf4_SM_ES11.vcf	Brast02G198500.v0.1.stacei	3.02E-05	0.000203487	0.148603507
temp_vcf4_SM_ES11.vcf	Brast02G223900.v0.1.stacei	0.000211466	0.002113492	0.10005524
temp_vcf4_SM_ES11.vcf	Brast02G227300.v0.1.stacei	0.001182631	0.002769549	0.427012049
temp_vcf4_SM_ES11.vcf	Brast02G228800.v0.1.stacei	0.000341997	0.000900437	0.37981239
temp_vcf4_SM_ES11.vcf	Brast02G228900.v0.1.stacei	0.001106595	0.001818334	0.608576121
temp_vcf4_SM_ES11.vcf	Brast02G232600.v0.1.stacei	0.001132987	0.002210236	0.512609104
temp_vcf4_SM_ES11.vcf	Brast02G237500.v0.1.stacei	0.008721808	0.012959291	0.673015824
temp_vcf4_SM_ES11.vcf	Brast02G240000.v0.1.stacei	0.001742632	0.005344156	0.32608189
temp_vcf4_SM_ES11.vcf	Brast02G240100.v0.1.stacei	5.26E-05	0.000241819	0.217640326
temp_vcf4_SM_ES11.vcf	Brast02G241400.v0.1.stacei	0.000547968	0.00078877	0.694711664
temp_vcf4_SM_ES11.vcf	Brast02G245500.v0.1.stacei	0.002213134	0.002684096	0.824536227
temp_vcf4_SM_ES11.vcf	Brast02G252800.v0.1.stacei	0.000794133	0.000277009	2.866814573
temp_vcf4_SM_ES11.vcf	Brast02G253000.v0.1.stacei	0.002964097	0.002291947	1.2932664
temp_vcf4_SM_ES11.vcf	Brast02G254400.v0.1.stacei	0.002226974	0.003094512	0.719652752
temp_vcf4_SM_ES11.vcf	Brast02G254700.v0.1.stacei	0.001260399	0.000716014	1.760300331
temp_vcf4_SM_ES11.vcf	Brast02G267000.v0.1.stacei	0.000733868	0.001143748	0.641633966
temp_vcf4_SM_ES11.vcf	Brast02G267100.v0.1.stacei	0.000761567	0.000385509	1.975481275
temp_vcf4_SM_ES11.vcf	Brast02G267300.v0.1.stacei	0.000146896	0.000386392	0.380174728
temp_vcf4_SM_ES11.vcf	Brast02G284400.v0.1.stacei	0.001519693	0.00151117	1.005640517
temp_vcf4_SM_ES11.vcf	Brast02G286000.v0.1.stacei	0.000503025	0.000767474	0.655429188
temp_vcf4_SM_ES11.vcf	Brast02G287800.v0.1.stacei	0.001006149	0.000837021	1.202060358
temp_vcf4_SM_ES11.vcf	Brast02G289700.v0.1.stacei	0.001010896	0.000388281	2.603517041
temp_vcf4_SM_ES11.vcf	Brast02G292000.v0.1.stacei	0.000402801	0.001135224	0.354820692
temp_vcf4_SM_ES11.vcf	Brast02G292200.v0.1.stacei	0.00184167	0.000578735	3.182232885
temp_vcf4_SM_ES11.vcf	Brast02G311700.v0.1.stacei	0.000565364	0.000695061	0.813401796
temp_vcf4_SM_ES11.vcf	Brast02G313100.v0.1.stacei	0.003200391	0.005460412	0.586108002
temp_vcf4_SM_ES11.vcf	Brast02G318100.v0.1.stacei	0.006393027	0.003888785	1.643965244
temp_vcf4_SM_ES11.vcf	Brast02G323100.v0.1.stacei	0.001898965	0.002377676	0.798664189
temp_vcf4_SM_ES11.vcf	Brast02G325400.v0.1.stacei	0.000431811	0.000958508	0.450503675
temp_vcf4_SM_ES11.vcf	Brast02G332100.v0.1.stacei	3.75E-05	0.000763585	0.049048855
temp_vcf4_SM_ES11.vcf	Brast02G343700.v0.1.stacei	0.000322881	0.000719373	0.448836632
temp_vcf4_SM_ES11.vcf	Brast02G359400.v0.1.stacei	0.001433218	0.002836211	0.505328355
temp_vcf4_SM_ES11.vcf	Brast02G362900.v0.1.stacei	0.000131189	0.000442234	0.296651382
temp_vcf4_SM_ES11.vcf	Brast02G379300.v0.1.stacei	0.001538667	0.001569815	0.98015836
temp_vcf4_SM_ES13.vcf	Brast02G004700.v0.1.stacei	0.000740969	0.001887089	0.392652053
temp_vcf4_SM_ES13.vcf	Brast02G027300.v0.1.stacei	0.00126332	0.001040717	1.213894169
temp_vcf4_SM_ES13.vcf	Brast02G069600.v0.1.stacei	0.000918107	0.000555368	1.653149701
temp_vcf4_SM_ES13.vcf	Brast02G072400.v0.1.stacei	0.001319224	0.00111912	1.178805068
temp_vcf4_SM_ES13.vcf	Brast02G086200.v0.1.stacei	0.004099553	0.001719252	2.384498518
temp_vcf4_SM_ES13.vcf	Brast02G097100.v0.1.stacei	2.13E-05	0.000464654	0.045836661
temp_vcf4_SM_ES13.vcf	Brast02G145300.v0.1.stacei	0.000574341	0.001853672	0.309839747
temp_vcf4_SM_ES13.vcf	Brast02G157600.v0.1.stacei	0.000199534	0.00070908	0.28139771
temp_vcf4_SM_ES13.vcf	Brast02G189200.v0.1.stacei	4.40E-05	8.13E-05	0.541754387
temp_vcf4_SM_ES13.vcf	Brast02G191000.v0.1.stacei	0.000740919	0.003768045	0.196632168
temp_vcf4_SM_ES13.vcf	Brast02G202900.v0.1.stacei	0.001838088	0.000899523	2.043403177
temp_vcf4_SM_ES13.vcf	Brast02G209300.v0.1.stacei	0.00541056	0.001559777	3.468802532
temp_vcf4_SM_ES13.vcf	Brast02G223900.v0.1.stacei	6.03E-05	0.000142602	0.423000362
temp_vcf4_SM_ES13.vcf	Brast02G241400.v0.1.stacei	0.000612836	0.000901174	0.68004249
temp_vcf4_SM_ES13.vcf	Brast02G252800.v0.1.stacei	0.002637475	0.000482775	5.463158405
temp_vcf4_SM_ES13.vcf	Brast02G268800.v0.1.stacei	5.86E-05	0.000182718	0.320703342
temp_vcf4_SM_ES13.vcf	Brast02G284400.v0.1.stacei	1.25E-05	9.85E-05	0.127358395
temp_vcf4_SM_ES13.vcf	Brast02G313100.v0.1.stacei	0.000781468	0.000729546	1.071171397
temp_vcf4_SM_ES13.vcf	Brast02G318100.v0.1.stacei	0.005818562	0.008291169	0.701778277
temp_vcf4_SM_ES13.vcf	Brast02G334400.v0.1.stacei	1.87E-05	1.13E-05	1.648607991
temp_vcf4_SM_ES14.vcf	Brast02G016700.v0.1.stacei	0.004320886	0.014545843	0.297052995
temp_vcf4_SM_ES14.vcf	Brast02G017700.v0.1.stacei	0.010550001	0.020037769	0.526505786
temp_vcf4_SM_ES14.vcf	Brast02G037500.v0.1.stacei	0.000767499	0.001663649	0.461334674
temp_vcf4_SM_ES14.vcf	Brast02G039900.v0.1.stacei	0.000349658	0.001046685	0.334062896
temp_vcf4_SM_ES14.vcf	Brast02G044300.v0.1.stacei	0.000180526	0.000123267	1.464507306
temp_vcf4_SM_ES14.vcf	Brast02G066000.v0.1.stacei	0.000852381	0.001245729	0.684242325
temp_vcf4_SM_ES14.vcf	Brast02G066700.v0.1.stacei	0.000279732	0.000604619	0.462658277
temp_vcf4_SM_ES14.vcf	Brast02G068000.v0.1.stacei	0.001807239	0.003286128	0.549960119
temp_vcf4_SM_ES14.vcf	Brast02G071900.v0.1.stacei	0.003108796	0.004509392	0.689404735
temp_vcf4_SM_ES14.vcf	Brast02G072400.v0.1.stacei	0.002235806	0.001372092	1.629486435
temp_vcf4_SM_ES14.vcf	Brast02G077500.v0.1.stacei	0.000363509	0.000335946	1.082044824
temp_vcf4_SM_ES14.vcf	Brast02G079500.v0.1.stacei	0.005637267	0.012767084	0.441546939
temp_vcf4_SM_ES14.vcf	Brast02G084300.v0.1.stacei	0.000155853	0.00047287	0.329590491
temp_vcf4_SM_ES14.vcf	Brast02G091500.v0.1.stacei	0.003053904	0.005635192	0.541934287
temp_vcf4_SM_ES14.vcf	Brast02G110200.v0.1.stacei	0.002346778	0.001122665	2.090364036
temp_vcf4_SM_ES14.vcf	Brast02G114900.v0.1.stacei	0.002996296	0.002946845	1.016780764
temp_vcf4_SM_ES14.vcf	Brast02G125200.v0.1.stacei	0.003536426	0.003169827	1.115652508
temp_vcf4_SM_ES14.vcf	Brast02G126500.v0.1.stacei	0.001076217	0.001120026	0.960885655
temp_vcf4_SM_ES14.vcf	Brast02G128200.v0.1.stacei	0.001624132	0.004963353	0.327224698
temp_vcf4_SM_ES14.vcf	Brast02G129300.v0.1.stacei	0.003714348	0.002074726	1.790283875
temp_vcf4_SM_ES14.vcf	Brast02G132700.v0.1.stacei	0.00263291	0.003538832	0.744005187
temp_vcf4_SM_ES14.vcf	Brast02G139500.v0.1.stacei	0.002929006	0.010072232	0.290800099
temp_vcf4_SM_ES14.vcf	Brast02G147100.v0.1.stacei	0.000755255	0.002170106	0.348026779
temp_vcf4_SM_ES14.vcf	Brast02G150500.v0.1.stacei	0.000427214	0.004025191	0.106135052
temp_vcf4_SM_ES14.vcf	Brast02G157600.v0.1.stacei	0.000215	0.001854155	0.115955681
temp_vcf4_SM_ES14.vcf	Brast02G199400.v0.1.stacei	0.003265252	0.006381723	0.511656856
temp_vcf4_SM_ES14.vcf	Brast02G202900.v0.1.stacei	0.003213019	0.004851997	0.662205473
temp_vcf4_SM_ES14.vcf	Brast02G245500.v0.1.stacei	0.004640868	0.006587163	0.704532165
temp_vcf4_SM_ES14.vcf	Brast02G273300.v0.1.stacei	0.001200424	0.004749787	0.252732268
temp_vcf4_SM_ES14.vcf	Brast02G286300.v0.1.stacei	0.005425261	0.001544002	3.513765844
temp_vcf4_SM_ES19.vcf	Brast02G017600.v0.1.stacei	0.001928805	0.00161636	1.193301139
temp_vcf4_SM_ES19.vcf	Brast02G027300.v0.1.stacei	0.005486879	0.007541181	0.727588815
temp_vcf4_SM_ES19.vcf	Brast02G037500.v0.1.stacei	0.00321009	0.001938905	1.655620665
temp_vcf4_SM_ES19.vcf	Brast02G037900.v0.1.stacei	0.002440735	0.002822354	0.864786979
temp_vcf4_SM_ES19.vcf	Brast02G040900.v0.1.stacei	0.000549386	0.000246612	2.227736357
temp_vcf4_SM_ES19.vcf	Brast02G044300.v0.1.stacei	0.005983065	0.010781112	0.554958067
temp_vcf4_SM_ES19.vcf	Brast02G068000.v0.1.stacei	0.013206374	0.021365891	0.618105459
temp_vcf4_SM_ES19.vcf	Brast02G068300.v0.1.stacei	0.005956174	0.003017955	1.973579398
temp_vcf4_SM_ES19.vcf	Brast02G072400.v0.1.stacei	0.002597725	0.00756794	0.343253937
temp_vcf4_SM_ES19.vcf	Brast02G083900.v0.1.stacei	0.000630774	0.004340517	0.145322416
temp_vcf4_SM_ES19.vcf	Brast02G084300.v0.1.stacei	0.000823515	0.002110298	0.390236276
temp_vcf4_SM_ES19.vcf	Brast02G090900.v0.1.stacei	0.000131655	0.000700273	0.18800544
temp_vcf4_SM_ES19.vcf	Brast02G102100.v0.1.stacei	0.000403818	0.001080138	0.373857232
temp_vcf4_SM_ES19.vcf	Brast02G102400.v0.1.stacei	0.000920434	0.003382288	0.272133392
temp_vcf4_SM_ES19.vcf	Brast02G107500.v0.1.stacei	7.05E-05	0.000466414	0.151212969
temp_vcf4_SM_ES19.vcf	Brast02G118700.v0.1.stacei	0.000278641	0.000129419	2.153023685
temp_vcf4_SM_ES19.vcf	Brast02G129300.v0.1.stacei	0.001681229	0.003645751	0.461147566
temp_vcf4_SM_ES19.vcf	Brast02G131300.v0.1.stacei	0.001606279	0.012236532	0.131269171
temp_vcf4_SM_ES19.vcf	Brast02G136200.v0.1.stacei	0.001768753	0.009866533	0.179267885
temp_vcf4_SM_ES19.vcf	Brast02G148700.v0.1.stacei	0.003080784	0.003449434	0.893127581
temp_vcf4_SM_ES19.vcf	Brast02G159100.v0.1.stacei	0.002096769	0.002506504	0.836530957
temp_vcf4_SM_ES19.vcf	Brast02G170400.v0.1.stacei	0.000211205	0.00089734	0.235367722
temp_vcf4_SM_ES19.vcf	Brast02G190800.v0.1.stacei	0.004925599	0.009527486	0.516988326
temp_vcf4_SM_ES19.vcf	Brast02G199800.v0.1.stacei	0.002574302	0.005543972	0.464342542
temp_vcf4_SM_ES1.vcf	Brast02G112500.v0.1.stacei	3.68E-05	6.02E-05	0.610975241
temp_vcf4_SM_ES1.vcf	Brast02G125600.v0.1.stacei	0.000406075	0.001193693	0.340183824
temp_vcf4_SM_ES1.vcf	Brast02G128000.v0.1.stacei	0.000532919	0.00167729	0.317726424
temp_vcf4_SM_ES1.vcf	Brast02G129400.v0.1.stacei	0.001081972	0.003054374	0.354237048
temp_vcf4_SM_ES1.vcf	Brast02G132700.v0.1.stacei	3.87E-05	7.37E-05	0.525436863
temp_vcf4_SM_ES1.vcf	Brast02G151600.v0.1.stacei	0.000940583	0.005243194	0.179391284
temp_vcf4_SM_ES1.vcf	Brast02G165200.v0.1.stacei	0.004945349	0.005273813	0.937718079
temp_vcf4_SM_ES1.vcf	Brast02G172100.v0.1.stacei	0.000718515	0.002557694	0.280922774
temp_vcf4_SM_ES1.vcf	Brast02G300400.v0.1.stacei	0.010384766	0.014070497	0.738052546
temp_vcf4_SM_ES21.vcf	Brast02G125600.v0.1.stacei	0.000825507	0.001575113	0.524094154
temp_vcf4_SM_ES21.vcf	Brast02G151600.v0.1.stacei	0.001408141	0.007333827	0.192006303
temp_vcf4_SM_ES21.vcf	Brast02G165200.v0.1.stacei	0.005901903	0.004361247	1.353260395
temp_vcf4_SM_ES21.vcf	Brast02G166500.v0.1.stacei	2.12E-05	2.64E-05	0.802043252
temp_vcf4_SM_ES21.vcf	Brast02G172100.v0.1.stacei	0.001033014	0.002460352	0.419864236
temp_vcf4_SM_ES21.vcf	Brast02G177200.v0.1.stacei	0.000140662	0.006260824	0.022467002
temp_vcf4_SM_ES21.vcf	Brast02G286600.v0.1.stacei	0.000134472	0.000465678	0.288766958
temp_vcf4_SM_ES11.vcf	Brast05G005400.v0.1.stacei	0.000249569	0.000397276	0.628202091
temp_vcf4_SM_ES11.vcf	Brast05G006100.v0.1.stacei	0.000445791	0.001389552	0.320816337
temp_vcf4_SM_ES11.vcf	Brast05G007200.v0.1.stacei	0.000442031	0.000595801	0.741910347
temp_vcf4_SM_ES11.vcf	Brast05G008900.v0.1.stacei	0.003073186	0.001789543	1.717302218
temp_vcf4_SM_ES11.vcf	Brast05G011400.v0.1.stacei	8.59E-05	0.000251494	0.341402381
temp_vcf4_SM_ES11.vcf	Brast05G015200.v0.1.stacei	0.00060571	0.001818469	0.333087802
temp_vcf4_SM_ES11.vcf	Brast05G016100.v0.1.stacei	0.000780876	0.000806218	0.968566989
