atid	group													
AT3G01830	Plant-pathogen interaction													
AT3G51920	Plant-pathogen interaction													
AT3G47480	Plant-pathogen interaction													
AT3G03430	Plant-pathogen interaction													
AT1G18530	Plant-pathogen interaction													
AT3G24110	Plant-pathogen interaction													
AT2G41100	Plant-pathogen interaction													
AT1G21550	Plant-pathogen interaction													
AT4G20780	Plant-pathogen interaction													
AT1G66400	Plant-pathogen interaction													
AT1G62820	Plant-pathogen interaction													
AT4G03290	Plant-pathogen interaction													
AT1G32250	Plant-pathogen interaction													
AT2G15680	Plant-pathogen interaction													
AT3G47450	Plant-pathogen interaction													
AT4G01370	Plant-pathogen interaction													
AT5G46330	Plant-pathogen interaction													
AT4G33430	Plant-pathogen interaction													
AT2G13790	Plant-pathogen interaction													
AT4G20360	Plant-pathogen interaction													
AT4G02930	Plant-pathogen interaction													
AT5G20480	Plant-pathogen interaction													
AT4G08500	Plant-pathogen interaction													
AT5G56580	Plant-pathogen interaction													
AT1G51660	Plant-pathogen interaction													
AT3G21220	Plant-pathogen interaction													
AT3G45640	Plant-pathogen interaction													
AT2G43790	Plant-pathogen interaction													
AT3G59790	Plant-pathogen interaction													
AT2G30250	Plant-pathogen interaction													
AT2G38470	Plant-pathogen interaction													
AT4G01250	Plant-pathogen interaction													
AT4G23550	Plant-pathogen interaction													
AT2G19190	Plant-pathogen interaction													
AT1G80460	Plant-pathogen interaction													
AT2G14610	Plant-pathogen interaction													
AT4G33720	Plant-pathogen interaction													
AT1G50060	Plant-pathogen interaction													
AT2G14580	Plant-pathogen interaction													
AT3G19690	Plant-pathogen interaction													
AT2G19990	Plant-pathogen interaction													
AT4G33730	Plant-pathogen interaction													
AT4G33710	Plant-pathogen interaction													
AT1G06700	Plant-pathogen interaction													
AT3G62220	Plant-pathogen interaction													
AT3G59350	Plant-pathogen interaction													
AT2G30730	Plant-pathogen interaction													
AT2G30740	Plant-pathogen interaction													
AT2G47060	Plant-pathogen interaction													
AT3G17410	Plant-pathogen interaction													
AT1G48210	Plant-pathogen interaction													
AT2G43230	Plant-pathogen interaction													
AT3G25070	Plant-pathogen interaction													
AT3G07040	Plant-pathogen interaction													
AT5G51700	Plant-pathogen interaction													
AT4G11260	Plant-pathogen interaction													
AT4G23570	Plant-pathogen interaction													
AT3G07770	Plant-pathogen interaction													
AT2G04030	Plant-pathogen interaction													
AT4G24190	Plant-pathogen interaction													
AT5G52640	Plant-pathogen interaction													
AT5G56030	Plant-pathogen interaction													
AT5G56000	Plant-pathogen interaction													
AT5G56010	Plant-pathogen interaction													
AT4G26090	Plant-pathogen interaction													
AT5G13160	Plant-pathogen interaction													
AT1G12220	Plant-pathogen interaction													
AT5G45250	Plant-pathogen interaction													
AT3G48080	Plant-pathogen interaction													
AT3G48090	Plant-pathogen interaction													
AT4G39090	Plant-pathogen interaction													
AT2G21430	Plant-pathogen interaction													
AT4G16190	Plant-pathogen interaction													
AT3G54940	Plant-pathogen interaction													
AT5G45260	Plant-pathogen interaction													
AT3G28910	Plant-pathogen interaction													
AT2G46720	Plant-pathogen interaction													
AT1G01120	Plant-pathogen interaction													
AT2G26640	Plant-pathogen interaction													
AT3G10280	Plant-pathogen interaction													
AT4G34510	Plant-pathogen interaction													
AT1G04220	Plant-pathogen interaction													
AT1G19440	Plant-pathogen interaction													
AT1G25450	Plant-pathogen interaction													
AT1G68530	Plant-pathogen interaction													
AT1G71160	Plant-pathogen interaction													
AT2G15090	Plant-pathogen interaction													
AT2G16280	Plant-pathogen interaction													
AT2G26250	Plant-pathogen interaction													
AT4G34250	Plant-pathogen interaction													
AT4G34520	Plant-pathogen interaction													
AT5G43760	Plant-pathogen interaction													
AT3G52160	Plant-pathogen interaction													
AT2G28630	Plant-pathogen interaction													
AT5G04530	Plant-pathogen interaction													
AT1G07720	Plant-pathogen interaction													
AT5G49070	Plant-pathogen interaction													
AT4G14440	Plant-pathogen interaction													
AT2G04880	Plant-pathogen interaction													
AT5G56270	Plant-pathogen interaction													
AT3G21630	Plant-pathogen interaction													
AT1G04110	stomatal related													
AT1G04120	stomatal related													
AT1G05100	stomatal related													
AT1G05805	stomatal related													
AT1G07000	stomatal related													
AT1G08750	stomatal related													
AT1G08810	stomatal related													
AT1G08860	stomatal related													
AT1G09470	stomatal related													
AT1G09540	stomatal related													
AT1G09780	stomatal related													
AT1G10300	stomatal related													
AT1G10560	stomatal related													
AT1G11960	stomatal related													
AT1G12480	stomatal related													
AT1G14350	stomatal related													
AT1G15440	stomatal related													
AT1G15520	stomatal related													
AT1G15570	stomatal related													
AT1G16540	stomatal related													
AT1G17280	stomatal related													
AT1G20090	stomatal related													
AT1G20160	stomatal related													
AT1G23030	stomatal related													
AT1G25250	stomatal related													
AT1G25480	stomatal related													
AT1G25490	stomatal related													
AT1G30270	stomatal related													
AT1G32080	stomatal related													
AT1G32640	stomatal related													
AT1G33240	stomatal related													
AT1G34245	stomatal related													
AT1G47128	stomatal related													
AT1G51140	stomatal related													
AT1G51850	stomatal related													
AT1G52400	stomatal related													
AT1G55660	stomatal related													
AT1G57560	stomatal related													
AT1G62400	stomatal related													
AT1G62580	stomatal related													
AT1G63700	stomatal related													
AT1G66340	stomatal related													
AT1G67040	stomatal related													
AT1G69530	stomatal related													
AT1G69850	stomatal related													
AT1G70410	stomatal related													
AT1G71010	stomatal related													
AT1G71866	stomatal related													
AT1G74710	stomatal related													
AT1G75380	stomatal related													
AT1G75640	stomatal related													
AT1G80080	stomatal related													
AT1G80133	stomatal related													
AT1G80180	stomatal related													
AT1G80370	stomatal related													
AT2G02820	stomatal related													
AT2G05070	stomatal related													
AT2G05100	stomatal related													
AT2G05760	stomatal related													
AT2G15430	stomatal related													
AT2G16630	stomatal related													
AT2G17260	stomatal related													
AT2G17820	stomatal related													
AT2G18960	stomatal related													
AT2G19690	stomatal related													
AT2G20875	stomatal related													
AT2G20890	stomatal related													
AT2G21660	stomatal related													
AT2G26300	stomatal related													
AT2G26330	stomatal related													
AT2G26650	stomatal related													
AT2G26670	stomatal related													
AT2G26770	stomatal related													
AT2G28930	stomatal related													
AT2G30370	stomatal related													
AT2G31470	stomatal related													
AT2G31650	stomatal related													
AT2G31870	stomatal related													
AT2G33380	stomatal related													
AT2G38160	stomatal related													
AT2G38620	stomatal related													
AT2G39050	stomatal related													
AT2G39660	stomatal related													
AT2G39940	stomatal related													
AT2G40180	stomatal related													
AT2G40220	stomatal related													
AT2G40750	stomatal related													
AT2G40820	stomatal related													
AT2G41070	stomatal related													
AT2G42610	stomatal related													
AT2G46070	stomatal related													
AT2G46370	stomatal related													
AT2G46410	stomatal related													
AT2G47800	stomatal related													
AT3G01500	stomatal related													
AT3G02120	stomatal related													
AT3G05010	stomatal related													
AT3G05030	stomatal related													
AT3G06120	stomatal related													
AT3G07320	stomatal related													
AT3G08590	stomatal related													
AT3G09770	stomatal related													
AT3G11130	stomatal related													
AT3G11410	stomatal related													
AT3G11820	stomatal related													
AT3G14270	stomatal related													
AT3G15730	stomatal related													
AT3G16640	stomatal related													
AT3G17000	stomatal related													
AT3G20940	stomatal related													
AT3G22760	stomatal related													
AT3G22820	stomatal related													
AT3G24140	stomatal related													
AT3G26744	stomatal related													
AT3G27690	stomatal related													
AT3G44960	stomatal related													
AT3G45780	stomatal related													
AT3G46060	stomatal related													
AT3G49220	stomatal related													
AT3G49260	stomatal related													
AT3G50310	stomatal related													
AT3G51550	stomatal related													
AT3G51780	stomatal related													
AT3G52110	stomatal related													
AT3G54180	stomatal related													
AT3G56400	stomatal related													
AT3G56480	stomatal related													
AT3G56960	stomatal related													
AT3G57230	stomatal related													
AT3G58490	stomatal related													
AT3G59700	stomatal related													
AT3G59780	stomatal related													
AT3G61610	stomatal related													
AT3G61650	stomatal related													
AT3G63440	stomatal related													
AT4G01680	stomatal related													
AT4G03560	stomatal related													
AT4G12290	stomatal related													
AT4G12540	stomatal related													
AT4G12970	stomatal related													
AT4G14480	stomatal related													
AT4G14723	stomatal related													
AT4G14770	stomatal related													
AT4G16110	stomatal related													
AT4G17615	stomatal related													
AT4G17880	stomatal related													
AT4G17970	stomatal related													
AT4G18290	stomatal related													
AT4G18950	stomatal related													
AT4G20260	stomatal related													
AT4G20940	stomatal related													
AT4G22330	stomatal related													
AT4G22790	stomatal related													
AT4G24020	stomatal related													
AT4G26080	stomatal related													
AT4G29130	stomatal related													
AT4G32150	stomatal related													
AT4G33050	stomatal related													
AT4G33950	stomatal related													
AT4G34460	stomatal related													
AT4G35790	stomatal related													
AT4G36180	stomatal related													
AT4G37810	stomatal related													
AT4G40100	stomatal related													
AT5G01910	stomatal related													
AT5G02500	stomatal related													
AT5G02800	stomatal related													
AT5G03280	stomatal related													
AT5G04310	stomatal related													
AT5G05620	stomatal related													
AT5G05660	stomatal related													
AT5G05860	stomatal related													
AT5G06970	stomatal related													
AT5G07180	stomatal related													
AT5G08120	stomatal related													
AT5G10310	stomatal related													
AT5G10440	stomatal related													
AT5G10720	stomatal related													
AT5G11270	stomatal related													
AT5G11300	stomatal related													
AT5G13740	stomatal related													
AT5G13750	stomatal related													
AT5G20090	stomatal related													
AT5G22920	stomatal related													
AT5G23060	stomatal related													
AT5G23720	stomatal related													
AT5G25980	stomatal related													
AT5G26000	stomatal related													
AT5G26660	stomatal related													
AT5G27150	stomatal related													
AT5G27620	stomatal related													
AT5G40280	stomatal related													
AT5G43410	stomatal related													
AT5G44790	stomatal related													
AT5G46220	stomatal related													
AT5G46760	stomatal related													
AT5G46860	stomatal related													
AT5G47100	stomatal related													
AT5G48650	stomatal related													
AT5G49760	stomatal related													
AT5G50430	stomatal related													
AT5G52440	stomatal related													
AT5G53210	stomatal related													
AT5G54270	stomatal related													
AT5G55630	stomatal related													
AT5G57050	stomatal related													
AT5G58140	stomatal related													
AT5G58430	stomatal related													
AT5G59220	stomatal related													
AT5G60880	stomatal related													
AT5G62230	stomatal related													
AT5G62710	stomatal related													
AT5G64010	stomatal related													
AT5G65420	stomatal related													
AT5G65590	stomatal related													
AT5G66230	stomatal related													
AT1G07240	drought													
AT1G70670	drought													
AT2G37040	drought													
AT2G42540	drought													
AT3G10500	drought													
AT3G16800	drought													
AT3G20250	drought													
AT4G03260	drought													
AT5G07690	drought													
AT5G25620	drought													
AT5G27930	drought													
AT1G01040	immune response													
AT1G01440	immune response													
AT1G02230	immune response													
AT1G03730	immune response													
AT1G03970	immune response													
AT1G04300	immune response													
AT1G04330	immune response													
AT1G05340	immune response													
AT1G05460	immune response													
AT1G06137	immune response													
AT1G06225	immune response													
AT1G07135	immune response													
AT1G07620	immune response													
AT1G08030	immune response													
AT1G08500	immune response													
AT1G09415	immune response													
AT1G09970	immune response													
AT1G11280	immune response													
AT1G11330	immune response													
AT1G12530	immune response													
AT1G12750	immune response													
AT1G13110	immune response													
AT1G13360	immune response													
AT1G13520	immune response													
AT1G16110	immune response													
AT1G17147	immune response													
AT1G17250	immune response													
AT1G17330	immune response													
AT1G17600	immune response													
AT1G17980	immune response													
AT1G18300	immune response													
AT1G18720	immune response													
AT1G20310	immune response													
AT1G20580	immune response													
AT1G20900	immune response													
AT1G21240	immune response													
AT1G21310	immune response													
AT1G21326	immune response													
AT1G21880	immune response													
AT1G22180	immune response													
AT1G22610	immune response													
AT1G23710	immune response													
AT1G24170	immune response													
AT1G24530	immune response													
AT1G25390	immune response													
AT1G25400	immune response													
AT1G26420	immune response													
AT1G27100	immune response													
AT1G27130	immune response													
AT1G27770	immune response													
AT1G28380	immune response													
AT1G28600	immune response													
AT1G29690	immune response													
AT1G30700	immune response													
AT1G30755	immune response													
AT1G30757	immune response													
AT1G31130	immune response													
AT1G32127	immune response													
AT1G33110	immune response													
AT1G33520	immune response													
AT1G33760	immune response													
AT1G34420	immune response													
AT1G36622	immune response													
AT1G36640	immune response													
AT1G42540	immune response													
AT1G44830	immune response													
AT1G47130	immune response													
AT1G48410	immune response													
AT1G49000	immune response													
AT1G49040	immune response													
AT1G49800	immune response													
AT1G49900	immune response													
AT1G51790	immune response													
AT1G51820	immune response													
AT1G51920	immune response													
AT1G51940	immune response													
AT1G52565	immune response													
AT1G53110	immune response													
AT1G53430	immune response													
AT1G53440	immune response													
AT1G53625	immune response													
AT1G54320	immune response													
AT1G54953	immune response													
AT1G55250	immune response													
AT1G55450	immune response													
AT1G56120	immune response													
AT1G56240	immune response													
AT1G56250	immune response													
AT1G56540	immune response													
AT1G58225	immune response													
AT1G58400	immune response													
AT1G59590	immune response													
AT1G59910	immune response													
AT1G61360	immune response													
AT1G61370	immune response													
AT1G61380	immune response													
AT1G61390	immune response													
AT1G61400	immune response													
AT1G61420	immune response													
AT1G61430	immune response													
AT1G61440	immune response													
AT1G61460	immune response													
AT1G61470	immune response													
AT1G61480	immune response													
AT1G61490	immune response													
AT1G61500	immune response													
AT1G61550	immune response													
AT1G61610	immune response													
AT1G62200	immune response													
AT1G62305	immune response													
AT1G62422	immune response													
AT1G63750	immune response													
AT1G63830	immune response													
AT1G63860	immune response													
AT1G64790	immune response													
AT1G65483	immune response													
AT1G65820	immune response													
AT1G66780	immune response													
AT1G66830	immune response													
AT1G66880	immune response													
AT1G66920	immune response													
AT1G67060	immune response													
AT1G67470	immune response													
AT1G67520	immune response													
AT1G67920	immune response													
AT1G68440	immune response													
AT1G68620	immune response													
AT1G68690	immune response													
AT1G69440	immune response													
AT1G69790	immune response													
AT1G70090	immune response													
AT1G70250	immune response													
AT1G70530	immune response													
AT1G70920	immune response													
AT1G73080	immune response													
AT1G73540	immune response													
AT1G75020	immune response													
AT1G76070	immune response													
AT1G76360	immune response													
AT1G76970	immune response													
AT1G77630	immune response													
AT1G78830	immune response													
AT1G79090	immune response													
AT1G80300	immune response													
AT1G80610	immune response													
AT1G80680	immune response													
AT2G02220	immune response													
AT2G02800	immune response													
AT2G04495	immune response													
AT2G04515	immune response													
AT2G05380	immune response													
AT2G11520	immune response													
AT2G12400	immune response													
AT2G13800	immune response													
AT2G17120	immune response													
AT2G18090	immune response													
AT2G18300	immune response													
AT2G18670	immune response													
AT2G18690	immune response													
AT2G19130	immune response													
AT2G20350	immune response													
AT2G20580	immune response													
AT2G20950	immune response													
AT2G22000	immune response													
AT2G23200	immune response													
AT2G23270	immune response													
AT2G23321	immune response													
AT2G23450	immune response													
AT2G23770	immune response													
AT2G24240	immune response													
AT2G25250	immune response													
AT2G25735	immune response													
AT2G27250	immune response													
AT2G27310	immune response													
AT2G27500	immune response													
AT2G27880	immune response													
AT2G28500	immune response													
AT2G28550	immune response													
AT2G28830	immune response													
AT2G28940	immune response													
AT2G29720	immune response													
AT2G30550	immune response													
AT2G32140	immune response													
AT2G32680	immune response													
AT2G33550	immune response													
AT2G33580	immune response													
AT2G34730	immune response													
AT2G35935	immune response													
AT2G36410	immune response													
AT2G36430	immune response													
AT2G37220	immune response													
AT2G37630	immune response													
AT2G37980	immune response													
AT2G39360	immune response													
AT2G39400	immune response													
AT2G40270	immune response													
AT2G42760	immune response													
AT2G42980	immune response													
AT2G43620	immune response													
AT2G43850	immune response													
AT2G44070	immune response													
AT2G44480	immune response													
AT2G44600	immune response													
AT2G44950	immune response													
AT2G45180	immune response													
AT2G46150	immune response													
AT2G46160	immune response													
AT2G46620	immune response													
AT3G01310	immune response													
AT3G01475	immune response													
AT3G02800	immune response													
AT3G03970	immune response													
AT3G04210	immune response													
AT3G04570	immune response													
AT3G07195	immune response													
AT3G07350	immune response													
AT3G09980	immune response													
AT3G11320	immune response													
AT3G12830	immune response													
AT3G12833	immune response													
AT3G13432	immune response													
AT3G13433	immune response													
AT3G13950	immune response													
AT3G14225	immune response													
AT3G14840	immune response													
AT3G15518	immune response													
AT3G15530	immune response													
AT3G16030	immune response													
AT3G16510	immune response													
AT3G16860	immune response													
AT3G18250	immune response													
AT3G18690	immune response													
AT3G18950	immune response													
AT3G19010	immune response													
AT3G21650	immune response													
AT3G21690	immune response													
AT3G23780	immune response													
AT3G25240	immune response													
AT3G25597	immune response													
AT3G25882	immune response													
AT3G25890	immune response													
AT3G26210	immune response													
AT3G26220	immune response													
AT3G26350	immune response													
AT3G26600	immune response													
AT3G26910	immune response													
AT3G28850	immune response													
AT3G28940	immune response													
AT3G29000	immune response													
AT3G29400	immune response													
AT3G30720	immune response													
AT3G42790	immune response													
AT3G43300	immune response													
AT3G45290	immune response													
AT3G46280	immune response													
AT3G46510	immune response													
AT3G46690	immune response													
AT3G47090	immune response													
AT3G48640	immune response													
AT3G48890	immune response													
AT3G49500	immune response													
AT3G49780	immune response													
AT3G49940	immune response													
AT3G50190	immune response													
AT3G50950	immune response													
AT3G51660	immune response													
AT3G52710	immune response													
AT3G52870	immune response													
AT3G53160	immune response													
AT3G53590	immune response													
AT3G54200	immune response													
AT3G55430	immune response													
AT3G55470	immune response													
AT3G55560	immune response													
AT3G55950	immune response													
AT3G56880	immune response													
AT3G57120	immune response													
AT3G57450	immune response													
AT3G57640	immune response													
AT3G57750	immune response													
AT3G59080	immune response													
AT3G59090	immune response													
AT3G60200	immune response													
AT3G61440	immune response													
AT3G62570	immune response													
AT3G62800	immune response													
AT3G63380	immune response													
AT4G00830	immune response													
AT4G01090	immune response													
AT4G01720	immune response													
AT4G01740	immune response													
AT4G01870	immune response													
AT4G03450	immune response													
AT4G03460	immune response													
AT4G03550	immune response													
AT4G05010	immune response													
AT4G11000	immune response													
AT4G11070	immune response													
AT4G11300	immune response													
AT4G11521	immune response													
AT4G11850	immune response													
AT4G12500	immune response													
AT4G12720	immune response													
AT4G13340	immune response													
AT4G14365	immune response													
AT4G14370	immune response													
AT4G14450	immune response													
AT4G14465	immune response													
AT4G15233	immune response													
AT4G15800	immune response													
AT4G16355	immune response													
AT4G16820	immune response													
AT4G16840	immune response													
AT4G18205	immune response													
AT4G18253	immune response													
AT4G19530	immune response													
AT4G20000	immune response													
AT4G20010	immune response													
AT4G20880	immune response													
AT4G20910	immune response													
AT4G21390	immune response													
AT4G21840	immune response													
AT4G21850	immune response													
AT4G21903	immune response													
AT4G22030	immune response													
AT4G22690	immune response													
AT4G22710	immune response													
AT4G22780	immune response													
AT4G22980	immune response													
AT4G23015	immune response													
AT4G23030	immune response													
AT4G23220	immune response													
AT4G23610	immune response													
AT4G24240	immune response													
AT4G24770	immune response													
AT4G25900	immune response													
AT4G27652	immune response													
AT4G28400	immune response													
AT4G28420	immune response													
AT4G28460	immune response													
AT4G28703	immune response													
AT4G29040	immune response													
AT4G29780	immune response													
AT4G30780	immune response													
AT4G32030	immune response													
AT4G33920	immune response													
AT4G34480	immune response													
AT4G34530	immune response													
AT4G34950	immune response													
AT4G35180	immune response													
AT4G36030	immune response													
AT4G36150	immune response													
AT4G36500	immune response													
AT4G36540	immune response													
AT4G36550	immune response													
AT4G36670	immune response													
AT4G37290	immune response													
AT4G37310	immune response													
AT4G38550	immune response													
AT4G39030	immune response													
AT4G39260	immune response													
AT4G39360	immune response													
AT4G39580	immune response													
AT4G39820	immune response													
AT5G02290	immune response													
AT5G03380	immune response													
AT5G03390	immune response													
AT5G04550	immune response													
AT5G05140	immune response													
AT5G05300	immune response													
AT5G05680	immune response													
AT5G05780	immune response													
AT5G06750	immune response													
AT5G08240	immune response													
AT5G08660	immune response													
AT5G09976	immune response													
AT5G09978	immune response													
AT5G09980	immune response													
AT5G09990	immune response													
AT5G11000	immune response													
AT5G11410	immune response													
AT5G11650	immune response													
AT5G12120	immune response													
AT5G12880	immune response													
AT5G12930	immune response													
AT5G13340	immune response													
AT5G18150	immune response													
AT5G18270	immune response													
AT5G18300	immune response													
AT5G18310	immune response													
AT5G18610	immune response													
AT5G20050	immune response													
AT5G20320	immune response													
AT5G21960	immune response													
AT5G22380	immune response													
AT5G22520	immune response													
AT5G23510	immune response													
AT5G23570	immune response													
AT5G25050	immune response													
AT5G25280	immune response													
AT5G25440	immune response													
AT5G25930	immune response													
AT5G26240	immune response													
AT5G28630	immune response													
AT5G35580	immune response													
AT5G35735	immune response													
AT5G36930	immune response													
AT5G37540	immune response													
AT5G39050	immune response													
AT5G39785	immune response													
AT5G40690	immune response													
AT5G40910	immune response													
AT5G41100	immune response													
AT5G41180	immune response													
AT5G41680	immune response													
AT5G41740	immune response													
AT5G41750	immune response													
AT5G41810	immune response													
AT5G42440	immune response													
AT5G43420	immune response													
AT5G43560	immune response													
AT5G44390	immune response													
AT5G44572	immune response													
AT5G44575	immune response													
AT5G44580	immune response													
AT5G44585	immune response													
AT5G44910	immune response													
AT5G45050	immune response													
AT5G45060	immune response													
AT5G46080	immune response													
AT5G46260	immune response													
AT5G46295	immune response													
AT5G46510	immune response													
AT5G46780	immune response													
AT5G47070	immune response													
AT5G47850	immune response													
AT5G47960	immune response													
AT5G50250	immune response													
AT5G50440	immune response													
AT5G50520	immune response													
AT5G52750	immune response													
AT5G52760	immune response													
AT5G53830	immune response													
AT5G54610	immune response													
AT5G54720	immune response													
AT5G54850	immune response													
AT5G56870	immune response													
AT5G56985	immune response													
AT5G57035	immune response													
AT5G58720	immune response													
AT5G58750	immune response													
AT5G59890	immune response													
AT5G60120	immune response													
AT5G60900	immune response													
AT5G61010	immune response													
AT5G61560	immune response													
AT5G62770	immune response													
AT5G63130	immune response													
AT5G63930	immune response													
AT5G64260	immune response													
AT5G64310	immune response													
AT5G64890	immune response													
AT5G64900	immune response													
AT5G64905	immune response													
AT5G65240	immune response													
AT5G66480	immune response													
AT5G66600	immune response													
AT5G66640	immune response													
AT5G66790	immune response													
AT5G66850	immune response													
AT5G67080	immune response													
AT5G67310	immune response													
AT5G67350	immune response													
