bhdid	ns_bh	bsid	ns_bs	atid	description
Brahy.D02G0733500	0.226114728	Brast01G089500	0.219248457	AT3G55610	P5CS2
Brahy.D02G0733600	0.733166016	Brast01G089400	0.11949249	AT3G46790	CRR2
Brahy.D02G0764700	0.747612619	Brast01G062300	0.536415254	AT1G49900	
Brahy.D03G0016700	1.212184716	Brast04G329300	0.658109908	AT2G02220	ATPSKR1
Brahy.D03G0069800	0.253160469	Brast04G284500	1.081825949	AT5G44790	HMA7
Brahy.S04G0307300	0.824036136	Brast04G284500	1.081825949	AT5G44790	HMA7
Brahy.D03G0112600	0.385373876	Brast04G250900	0.587115243	AT1G08750	ATGPI8
Brahy.S04G0271000	0.770143138	Brast04G250900	0.587115243	AT1G08750	ATGPI8
Brahy.D03G0115200	0.429845654	Brast04G248800	0.415523136	AT5G25930	
Brahy.D03G0119300	0.533517341	Brast04G246000	1.867340811	AT5G25930	
Brahy.S04G0265400	0.645942601	Brast04G245700	0.256487965	AT5G25930	
Brahy.D03G0119900	1.880085769	Brast04G244700	0.448103099	AT4G35300	TMT2
Brahy.D03G0127300	0.951760835	Brast04G238300	0.689380186	AT3G14940	ATPPC3
Brahy.S04G0257500	0.299137595	Brast04G238300	0.689380186	AT3G14940	ATPPC3
Brahy.D03G0132700	0.251858999	Brast04G232700	0.386594451	AT5G53130	ATCNGC1
Brahy.D03G0148600	0.557961609	Brast04G220200	0.450364766	AT3G47570	
Brahy.S04G0236900	3.363270723	Brast04G220200	0.450364766	AT3G47570	
Brahy.D03G0674200	1.79461033	Brast04G137600	0.99673872	AT3G47570	
Brahy.S10G0199200	0.639804572	Brast10G178900	0.33439288	AT3G47570	
Brahy.D03G0312900	0.332865415	Brast03G096000	6.754627901	AT5G24080	
Brahy.D03G0357600	0.576620629	Brast03G128600	0.364237144	AT2G38820	
Brahy.D03G0373200	0.645262582	Brast03G139200	1.17913964	AT1G67120	AtMDN1
Brahy.D03G0402700	0.306636637	Brast03G161400	0.616384702	AT5G08380	AGAL1
Brahy.S03G0180200	0.511563643	Brast03G161400	0.616384702	AT5G08380	AGAL1
Brahy.D03G0405500	1.587830832	Brast03G164300	3.088007219	AT1G28100	
Brahy.D03G0408900	0.378228931	Brast03G166800	0.731160336	AT5G17540	
Brahy.D03G0426100	0.20466581	Brast03G179400	0.658367232	AT1G04110	AtSDD1
Brahy.D04G0176000	1.262199724	Brast10G171800	1.248614552	AT1G04110	AtSDD1
Brahy.D03G0443900	0.824491909	Brast03G192800	0.891250095	AT5G38710	PDH2
Brahy.D03G0453100	0.307926829	Brast03G200400	7.021674264	AT4G16970	
Brahy.D03G0455100	0.184760902	Brast03G202400	0.094507657	AT4G17615	ATCBL1
Brahy.D03G0461600	0.656700805	Brast03G206700	0.104587097	AT5G46800	BOU
Brahy.D03G0463600	1.804095149	Brast03G208300	1.646631342	AT1G32640	ATMYC2
Brahy.D03G0466300	1.297400105	Brast03G210400	3.030075084	AT1G32250	
Brahy.S03G0232000	0.394875245	Brast03G210400	3.030075084	AT1G32250	
Brahy.D03G0502300	0.048173295	Brast03G239700	1.387246591	AT4G30950	FAD6
Brahy.S03G0262700	1.250687973	Brast03G239700	1.387246591	AT4G30950	FAD6
Brahy.D03G0506800	1.202219903	Brast03G243200	0.541829665	AT1G73080	ATPEPR1
Brahy.D03G0512400	0.135433633	Brast03G246500	0.32619357	AT1G19230	AtRbohE
Brahy.S03G0269500	0.473935982	Brast03G246500	0.32619357	AT1G19230	AtRbohE
Brahy.D04G0454000	0.589907979	Brast05G135600	0.681350023	AT1G19230	AtRbohE
Brahy.D03G0518300	0.640845431	Brast03G251700	1.914932192	AT1G37130	ATNR2
Brahy.D03G0521700	0.972351141	Brast03G253900	0.298616857	AT3G19270	CYP707A4
Brahy.D03G0529900	2.751869319	Brast03G260300	0.414599437	AT5G64260	EXL2
Brahy.D03G0542300	0.502742043	Brast03G270000	1.387762941	AT1G21240	WAK3
Brahy.S04G0156000	1.801816577	Brast04G146200	1.136742507	AT1G21240	WAK3
Brahy.S05G0180900	0.867457667	Brast05G161700	0.268885774	AT1G21240	WAK3
Brahy.D03G0610000	0.394118315	Brast04G189900	1.472956494	AT5G13160	PBS1
Brahy.D03G0708900	0.904221513	Brast04G108800	2.205899276	AT5G03555	AtNCS1
Brahy.D03G0719000	0.555632969	Brast04G099900	0.858277964	AT2G44600	
Brahy.D03G0766500	0.691333272	Brast04G057700	0.053396992	AT3G57120	
Brahy.D03G0805800	0.419931442	Brast04G023600	2.303988852	AT5G09420	AtmtOM64
Brahy.D04G0013100	0.514230217	Brast10G010000	0.953369179	AT3G07040	RPM1
Brahy.D04G0040000	1.116463772	Brast10G030300	0.325472953	AT3G07040	RPM1
Brahy.S10G0031800	0.376586014	Brast10G030300	0.325472953	AT3G07040	RPM1
Brahy.D04G0141700	0.338313181	Brast10G188300	1.193681644	AT3G07040	RPM1
Brahy.S10G0208600	0.474228407	Brast10G188300	1.193681644	AT3G07040	RPM1
Brahy.D05G0043400	0.163899467	Brast09G028900	2.215055227	AT3G07040	RPM1
Brahy.S04G0006600	0.634412723	Brast04G005100	0.155161169	AT3G07040	RPM1
Brahy.S05G0027700	1.100570993	Brast05G025400	0.305078506	AT3G07040	RPM1
Brahy.S05G0034300	1.422169802	Brast05G031700	4.115549856	AT3G07040	RPM1
Brahy.S05G0203500	0.576845494	Brast05G182900	0.32366815	AT3G07040	RPM1
Brahy.S08G0266400	0.872406831	Brast08G244600	2.754820776	AT3G07040	RPM1
Brahy.S09G0038900	0.145025429	Brast09G035700	0.672208548	AT3G07040	RPM1
Brahy.S10G0005500	0.413415758	Brast10G005000	0.847801615	AT3G07040	RPM1
Brahy.S10G0184800	0.662023845	Brast10G165800	0.100803282	AT3G07040	RPM1
Brahy.S10G0188600	0.174630946	Brast10G169300	0.887110835	AT3G07040	RPM1
Brahy.S10G0213400	0.652620959	Brast10G191800	0.500223329	AT3G07040	RPM1
Brahy.D04G0117800	1.126314872	Brast10G098400	0.630199939	AT5G03280	ATEIN2
Brahy.S10G0106700	0.877243738	Brast10G098400	0.630199939	AT5G03280	ATEIN2
Brahy.D04G0213200	0.219847075	Brast10G150100	0.226665797	AT3G53700	MEE40
Brahy.D04G0214800	1.439797921	Brast10G148200	0.535138177	AT1G74520	ATHVA22A
Brahy.D04G0307600	0.350723846	Brast05G059500	0.973947713	AT4G10120	ATSPS4F
Brahy.D04G0361000	0.901159956	Brast05G019600	2.052891561	AT3G50950	ZAR1
Brahy.S04G0280000	0.514730822	Brast04G258400	1.796562971	AT3G50950	ZAR1
Brahy.D04G0374800	0.472480846	Brast05G011400	0.341402381	AT2G30520	RPT2
Brahy.D04G0380900	0.741025931	Brast05G006400	0.172507111	AT5G13750	ZIFL1
Brahy.D04G0381800	1.660736467	Brast05G007600	0.014792986	AT1G34300	
Brahy.S09G0028900	0.31468836	Brast09G027500	0.937674884	AT1G34300	
Brahy.D04G0487900	0.431991068	Brast05G164600	0.288291703	AT2G42280	AKS3
Brahy.D04G0506300	0.705314143	Brast05G179500	0.935519289	AT3G03310	ATLCAT3
Brahy.D04G0521600	0.292640477	Brast05G192200	0.196594375	AT5G24470	APRR5
Brahy.D04G0560900	3.136574882	Brast05G224400	0.860405624	AT2G36690	GAS2
Brahy.S05G0247100	0.270029488	Brast05G224400	0.860405624	AT2G36690	GAS2
Brahy.D04G0574400	1.014572399	Brast05G237100	0.337017277	AT1G65480	FT
Brahy.S05G0200600	0.381919512	Brast05G179900	0.163072279	AT1G65480	FT
Brahy.D04G0575400	0.467456814	Brast05G237900	0.983332454	AT5G12480	CPK7
Brahy.D04G0633200	1.587785925	Brast05G289100	0.802868167	AT2G38670	PECT1
Brahy.D04G0644600	1.389309813	Brast05G297900	0.436811278	AT3G11130	AtCHC1
Brahy.S05G0325700	1.710165389	Brast05G297900	0.436811278	AT3G11130	AtCHC1
Brahy.D05G0008500	0.847701424	Brast09G006700	0.992846792	AT5G05260	CYP79A2
Brahy.D05G0032700	0.665398934	Brast09G021300	0.205167287	AT5G64460	
Brahy.D05G0050600	0.851178033	Brast09G032900	0.63191805	AT3G62700	ABCC14
Brahy.D05G0051900	0.500787503	Brast09G033700	0.262779426	AT1G21210	WAK4
Brahy.D05G0089000	0.321737762	Brast09G048300	0.319763055	AT5G58140	AtPHOT2
Brahy.D05G0114900	0.499800124	Brast09G070700	0.72390716	AT5G22510	A/N-InvE
Brahy.D05G0143900	0.198742632	Brast09G094400	0.228817618	AT5G49740	ATFRO7
Brahy.D05G0155800	0.871990199	Brast09G102700	0.380950064	AT4G39730	ATPLAT1
Brahy.D05G0244000	0.692375566	Brast09G170900	0.97042006	AT1G76140	
Brahy.S09G0176500	0.320052305	Brast09G170900	0.97042006	AT1G76140	
Brahy.D05G0247500	0.563354484	Brast09G173700	0.145422407	AT1G48410	AGO1
Brahy.S09G0179500	1.62169389	Brast09G173700	0.145422407	AT1G48410	AGO1
Brahy.S06G0144700	0.284891704	Brast06G129200	0.857800723	AT1G48410	AGO1
Brahy.D05G0253800	0.034499945	Brast09G179200	1.121712694	AT4G36180	
Brahy.D05G0255800	1.054657815	Brast09G181200	0.455868846	AT5G52510	SCL8
Brahy.D05G0258900	0.331443631	Brast09G184000	0.688303055	AT4G35310	ATCPK5
Brahy.D05G0305700	0.915048024	Brast09G221400	0.068927073	AT3G20660	AtOCT4
Brahy.D05G0307900	1.269930018	Brast09G222700	0.130895378	AT4G21390	B120
Brahy.S01G0131500	3.318773504	Brast01G123200	0.641728914	AT4G21390	B120
Brahy.S06G0104000	1.15669921	Brast06G098900	0.118036991	AT4G21390	B120
Brahy.D05G0315300	0.365950142	Brast09G229800	1.073508874	AT3G28860	ABCB19
Brahy.D05G0332600	0.933728647	Brast09G244800	0.30762184	AT5G05780	AE3
Brahy.D05G0334300	1.02016899	Brast09G246400	0.483443006	AT3G47090	
Brahy.D05G0346300	0.552043224	Brast09G256200	0.347987874	AT5G23240	AtDjC17
Brahy.D05G0348500	0.45871351	Brast09G258400	0.721030247	AT5G54190	PORA
Brahy.D05G0365500	0.842007904	Brast09G269600	1.042682929	AT1G22610	MCTP6
Brahy.S01G0002000	0.270098768	Brast01G001200	0.113544904	AT2G37050	
Brahy.S01G0008700	0.359173651	Brast01G007800	0.411894032	AT1G71090	PILS2
Brahy.S01G0048000	0.614848838	Brast01G044300	0.995773667	AT1G04920	ATSPS3F
Brahy.S01G0049800	0.319479892	Brast01G045800	1.301021224	AT5G57520	ATZFP2
Brahy.S01G0092900	3.90920073	Brast01G087400	0.62187016	AT3G46970	ATPHS2
Brahy.S01G0112300	0.479131342	Brast01G105500	4.104230372	AT4G11070	AtWRKY41
Brahy.S01G0134900	0.434875644	Brast01G126500	0.42290634	AT5G15070	ATVIP2
Brahy.S01G0142000	0.139145384	Brast01G133300	0.095836781	AT2G34780	EMB1611
Brahy.S01G0165100	0.286612196	Brast01G155000	0.370575018	AT1G64060	ATRBOH
Brahy.S01G0187200	0.334711956	Brast01G175900	0.173706102	AT5G46330	FLS2
Brahy.S01G0212300	0.124767494	Brast01G199300	0.445599425	AT1G28600	
Brahy.S01G0217200	3.944907176	Brast01G203800	0.10089342	AT1G70410	ATBCA4
Brahy.S01G0231500	0.945797922	Brast01G216300	1.692034461	AT1G53300	TTL1
Brahy.S01G0237100	0.170360122	Brast01G221700	0.201756057	AT1G15520	ABCG40
Brahy.S05G0114500	0.774659185	Brast05G101200	1.855586051	AT1G15520	ABCG40
Brahy.S07G0194300	1.652405349	Brast07G173800	0.309776497	AT1G15520	ABCG40
Brahy.S01G0251800	0.229274108	Brast01G234900	0.441349924	AT5G20490	ATXIK
Brahy.S01G0290200	1.576717204	Brast01G280900	0.23433533	AT5G23720	PHS1
Brahy.S01G0297500	0.221991331	Brast01G287500	0.252804712	AT2G47070	SPL1
Brahy.S01G0411500	1.106714736	Brast01G392400	0.463301809	AT1G53540	HSP17.6C
Brahy.S01G0429300	0.1652565	Brast01G409600	0.480379384	AT4G20970	
Brahy.S01G0441100	1.013992568	Brast01G247700	0.642004028	AT4G32940	AEP3
Brahy.S02G0039900	0.043781359	Brast02G036800	2.828305865	AT3G23920	AtBAM1
Brahy.S02G0045000	0.347504888	Brast02G042200	0.259932422	AT5G56580	ANQ1
Brahy.S02G0076900	1.462573023	Brast02G072400	1.050515147	AT5G65380	
Brahy.S03G0280800	0.789204513	Brast03G257000	0.275216631	AT5G65380	
Brahy.S02G0097600	1.488593177	Brast02G090900	0.18800544	AT2G38620	CDKB1;2
Brahy.S02G0125100	1.10910958	Brast02G119000	0.299865862	AT3G09770	AIRP3
Brahy.S02G0146300	0.260742034	Brast02G139500	0.290800099	AT3G55020	
Brahy.S02G0153000	0.364268095	Brast02G146100	0.27979139	AT4G18640	MDIS2
Brahy.S02G0189900	0.028967606	Brast02G180500	0.278820335	AT5G23960	ATTPS21
Brahy.S02G0204700	0.148643173	Brast02G194500	1.417642877	AT1G57560	AtMYB50
Brahy.S02G0213200	0.473913014	Brast02G202900	1.352804325	AT3G15730	PLD
Brahy.S02G0216600	0.315029933	Brast02G206300	0.102030839	AT3G14350	SRF7
Brahy.S02G0237600	0.616931551	Brast02G223900	0.261527801	AT3G02870	VTC4
Brahy.S02G0241100	0.373513738	Brast02G227300	0.427012049	AT1G69040	ACR4
Brahy.S02G0246900	0.364781002	Brast02G232600	0.512609104	AT1G04420	
Brahy.S02G0269100	0.263534523	Brast02G252800	4.164986489	AT5G17860	CAX7
Brahy.S02G0285500	1.084056193	Brast02G267300	0.380174728	AT5G62670	AHA11
Brahy.S02G0287300	1.470946256	Brast02G268800	0.320703342	AT1G74790	
Brahy.S02G0304800	0.727200501	Brast02G284400	0.566499456	AT2G01830	AHK4
Brahy.S02G0322400	0.519311253	Brast02G300400	0.738052546	AT4G19390	
Brahy.S03G0029200	0.834814648	Brast03G026500	4.269267187	AT3G23780	DMS2
Brahy.S10G0147600	0.370926485	Brast10G130900	0.695847617	AT3G23780	DMS2
Brahy.S03G0108000	1.626193706	Brast03G098000	1.281588233	AT2G43120	PRN2
Brahy.S03G0122100	0.628674708	Brast03G110700	1.652876064	AT1G44800	SIAR1
Brahy.S03G0158800	0.589752079	Brast03G141100	1.258783057	AT3G04260	PDE324
Brahy.S03G0219000	0.428564698	Brast03G198000	0.983255789	AT2G44940	ERF34
Brahy.S03G0223800	0.63507386	Brast03G202800	0.468238951	AT4G17090	AtBAM3
Brahy.S03G0226200	0.387844648	Brast03G205100	0.43408854	AT5G52920	PKP-BETA1
Brahy.S03G0263500	0.920550164	Brast03G240400	1.00632822	AT5G11000	
Brahy.S03G0279200	3.390499247	Brast03G255600	0.447089752	AT4G14480	BLUS1
Brahy.S03G0288300	0.331041066	Brast03G263700	0.189243046	AT2G02040	AtNPF8.3
Brahy.S03G0289900	0.237619035	Brast03G265100	0.16708019	AT1G49540	AtELP2
Brahy.S03G0290400	2.073538923	Brast03G265600	0.626562588	AT1G55760	SIBP1
Brahy.S04G0028200	0.712470351	Brast04G027000	1.054632726	AT4G24610	
Brahy.S04G0035100	0.387577402	Brast04G033100	0.608637516	AT1G21880	LYM1
Brahy.S04G0036000	0.628923033	Brast04G033900	3.498223029	AT1G77760	GNR1
Brahy.S04G0076400	0.861930054	Brast04G072300	0.446461973	AT5G20410	ATMGD2
Brahy.S04G0084700	0.630650371	Brast04G080000	1.109362475	AT2G18700	ATTPS11
Brahy.S04G0094000	0.683065335	Brast04G089000	0.037323878	AT5G61560	
Brahy.S04G0113700	0.832256616	Brast04G107200	0.535238074	AT2G27230	LHW
Brahy.S04G0116600	0.249234624	Brast04G109900	0.542960629	AT3G14810	MSL5
Brahy.S04G0160600	0.250467383	Brast04G150200	0.282539824	AT4G20360	ATRAB8D
Brahy.S04G0262000	5.154708017	Brast04G242300	0.339962765	AT1G53440	
Brahy.S04G0287000	1.670861389	Brast04G264900	0.623512529	AT3G45140	ATLOX2
Brahy.S04G0293400	0.176706657	Brast04G270900	0.315470177	AT3G19450	ATCAD4
Brahy.S04G0330200	1.000283617	Brast04G305500	0.425512953	AT4G16130	ARA1
Brahy.S04G0331500	1.697097069	Brast04G306500	0.390251486	AT2G07050	CAS1
Brahy.S04G0355300	1.907287958	Brast04G330600	1.475832285	AT5G23730	EFO2
Brahy.S05G0017600	0.211765837	Brast05G016100	0.968566989	AT2G44950	HUB1
Brahy.S05G0089800	0.17918729	Brast05G069700	2.801044359	AT1G78060	
Brahy.S05G0092900	0.128738152	Brast05G068700	0.420362295	AT1G47550	SEC3A
Brahy.S05G0111700	0.558942289	Brast05G098600	0.375424648	AT5G13930	ATCHS
Brahy.S06G0113500	0.907359822	Brast06G107700	0.466445414	AT5G13930	ATCHS
Brahy.S05G0113500	0.063288107	Brast05G100400	0.27676996	AT2G11520	CRCK3
Brahy.S05G0137500	0.817850971	Brast05G121500	0.310724253	AT1G18470	
Brahy.S05G0161200	0.580039026	Brast05G143300	2.137372727	AT1G14690	MAP65-7
Brahy.S05G0174500	0.386475704	Brast05G155600	0.353537701	AT2G04030	AtHsp90.5
Brahy.S05G0184700	0.244501123	Brast05G165200	0.299681179	AT1G73730	AtEIL3
Brahy.S05G0190600	1.405764585	Brast05G170300	0.021582269	AT2G24580	
Brahy.S05G0202500	0.296470815	Brast05G181600	0.419874776	AT2G30695	
Brahy.S05G0221000	0.621557452	Brast05G200100	0.247067644	AT4G35790	ATPLDDELTA
Brahy.S05G0230600	0.736174459	Brast05G209100	1.161531527	AT5G65980	PILS7
Brahy.S05G0241300	0.268565201	Brast05G218900	1.524978334	AT1G13110	CYP71B7
Brahy.S05G0270000	0.255177866	Brast05G246000	0.988965896	AT5G23570	ATSGS3
Brahy.S07G0213200	7.215264274	Brast07G191700	1.403128829	AT5G23570	ATSGS3
Brahy.S05G0295700	0.476441757	Brast05G269400	1.973833731	AT3G52780	ATPAP20
Brahy.S05G0302000	0.486333777	Brast05G275300	0.260407338	AT5G27600	ATLACS7
Brahy.S05G0308200	0.498635665	Brast05G281100	0.535920767	AT5G66540	
Brahy.S05G0319600	0.92973974	Brast05G292200	0.936350983	AT3G51630	ATWNK5
Brahy.S05G0324100	0.760676012	Brast05G296200	0.717440745	AT5G45275	
Brahy.S06G0007600	0.660009695	Brast06G007200	0.900754553	AT5G02290	NAK
Brahy.S06G0009700	0.360304864	Brast06G009300	0.662187188	AT2G39050	ArathEULS3
Brahy.S06G0012600	0.183116228	Brast06G012300	0.999925721	AT3G56310	AGAL3
Brahy.S06G0055100	0.446121519	Brast06G053000	1.884385419	AT5G09430	
Brahy.S06G0063700	1.259071255	Brast06G061400	0.5997213	AT1G13700	PGL1
Brahy.S06G0124800	1.006674089	Brast06G118600	0.487108372	AT3G16520	UGT88A1
Brahy.S06G0128600	0.189235597	Brast06G122400	0.307888606	AT4G25120	ATSRS2
Brahy.S06G0179700	0.451445534	Brast06G156000	0.440696833	AT3G11340	UGT76B1
Brahy.S06G0199300	0.35785457	Brast06G183000	0.982840855	AT4G03460	
Brahy.S06G0222900	0.403358621	Brast06G205300	0.828798545	AT3G03710	PDE326
Brahy.S06G0235300	3.853682097	Brast06G216100	2.986718905	AT3G52380	CP33
Brahy.S06G0237400	1.992725667	Brast06G218300	0.205354565	AT5G66600	
Brahy.S06G0246500	0.459135237	Brast06G227200	0.955755801	AT4G20940	GHR1
Brahy.S06G0247800	0.58984936	Brast06G228400	0.355805114	AT1G30360	ERD4
Brahy.S06G0254200	0.547627073	Brast06G233700	0.234576418	AT5G66850	MAPKKK5
Brahy.S06G0264300	1.398866554	Brast06G242700	0.496182672	AT4G11800	
Brahy.S07G0028000	0.379878261	Brast07G026100	0.269269193	AT2G27500	
Brahy.S07G0040000	0.402269553	Brast07G037400	0.527838208	AT2G43790	ATMAPK6
Brahy.S07G0080500	0.545319729	Brast07G074400	0.105998154	AT1G76680	ATOPR1
Brahy.S07G0082600	0.353734572	Brast07G076200	1.002132417	AT5G27420	ATL31
Brahy.S07G0100900	1.803365093	Brast07G093200	0.169975765	AT2G28290	CHR3
Brahy.S07G0115000	0.203567839	Brast07G106300	0.206287784	AT3G07650	BBX7
Brahy.S07G0166000	0.146734732	Brast07G148900	1.667777584	AT1G10970	ATZIP4
Brahy.S07G0166700	0.816297469	Brast07G149600	2.649213866	AT5G21100	
Brahy.S07G0179100	0.993315175	Brast07G160300	0.739605489	AT5G11270	OCP3
Brahy.S07G0214700	0.71872449	Brast07G192900	1.003774033	AT2G20580	ATRPN1A
Brahy.S07G0216400	0.133332011	Brast07G194600	0.571216896	AT4G31750	WIN2
Brahy.S07G0219300	0.214011083	Brast07G197300	2.507995132	AT5G57360	ADO1
Brahy.S07G0228000	0.731780008	Brast07G205000	2.157729852	AT4G10850	AtSWEET7
Brahy.S07G0231400	0.21589563	Brast07G207900	0.581733782	AT1G58230	BCHB
Brahy.S07G0270800	1.412111943	Brast07G244900	0.108801748	AT5G17400	ER-ANT1
Brahy.S07G0272300	1.478399472	Brast07G246300	0.455115344	AT3G09920	PIP5K9
Brahy.S08G0019500	0.65194921	Brast08G018800	0.422725709	AT4G22220	ATISU1
Brahy.S08G0043000	0.210534265	Brast08G041000	0.212497367	AT5G53050	
Brahy.S08G0115500	0.546730882	Brast08G108000	0.330342316	AT5G17210	
Brahy.S08G0132000	0.623323758	Brast08G124400	0.400452336	AT5G20050	
Brahy.S08G0154000	1.485074992	Brast08G144800	0.440325558	AT3G16510	
Brahy.S08G0218900	0.19350325	Brast08G201100	0.766988393	AT3G14360	AtOBL1
Brahy.S08G0233700	0.291554623	Brast08G214600	0.915982682	AT1G09540	ATMYB61
Brahy.S08G0252900	0.140050377	Brast08G233400	0.758527035	AT1G48210	
Brahy.S09G0023700	0.798777607	Brast09G021900	0.649339355	AT4G26090	RPS2
Brahy.S09G0069300	0.299773756	Brast09G069500	0.690421773	AT4G26090	RPS2
Brahy.S09G0083300	0.754643546	Brast09G082700	0.396960459	AT4G26090	RPS2
Brahy.S09G0145600	1.156146521	Brast09G142300	3.51020216	AT4G26090	RPS2
Brahy.S09G0060300	0.204069204	Brast09G062000	1.385497492	AT3G02040	AtGDPD1
Brahy.S09G0061300	0.138388947	Brast09G062900	0.211781062	AT5G23690	
Brahy.S09G0094700	0.073502655	Brast09G093600	0.398696451	AT1G26230	Cpn60beta4
Brahy.S09G0103200	0.25208065	Brast09G102000	0.560169633	AT1G34580	
Brahy.S09G0104200	1.187081334	Brast09G102900	0.958320595	AT3G07320	
Brahy.S09G0118000	0.44678409	Brast09G115700	3.860231408	AT5G06940	
Brahy.S09G0142300	0.306471125	Brast09G139200	0.489533559	AT2G38970	
Brahy.S09G0142900	0.334011421	Brast09G139900	0.206463254	AT5G20320	ATDCL4
Brahy.S09G0238000	0.265802973	Brast09G228100	0.298277238	AT5G64570	ATBXL4
Brahy.S09G0239100	0.760265448	Brast09G229000	0.658859201	AT5G27870	
Brahy.S09G0253600	0.64980711	Brast09G243100	0.79609922	AT5G09220	AAP2
Brahy.S10G0000700	1.423750382	Brast10G000400	0.280287465	AT1G66340	AtETR1
Brahy.S10G0000900	0.781257343	Brast10G000500	1.137968246	AT5G19260	FAF3
Brahy.S10G0029000	0.600926496	Brast10G027900	0.55297084	AT2G23450	
Brahy.S10G0040900	1.102039057	Brast10G038500	1.587370631	AT4G00830	LIF2
Brahy.S10G0047500	0.921441898	Brast10G042300	0.964644546	AT5G02500	AT-HSC70-1
Brahy.S10G0061300	0.905258485	Brast10G057100	0.631837689	AT5G27920	
Brahy.S10G0105400	0.663527785	Brast10G099400	0.521576121	AT2G15430	NRPB3
Brahy.S10G0125000	0.658914186	Brast10G110600	0.226246384	AT3G26744	ATICE1
Brahy.S10G0152500	0.064639243	Brast10G136100	1.516891472	AT5G45160	RL2
Brahy.S10G0175400	0.820389493	Brast10G156800	3.024304844	AT4G37900	AtGRDP2
Brahy.S10G0183600	2.109585476	Brast10G164700	0.979731289	AT2G03200	ASPR1
