bsid	atid
Brast10G137400	AT4G23240
Brast10G163500	AT5G48160
Brast10G199700	AT2G29125
Brast10G189700	AT5G60615
Brast10G148900	AT3G59100
Brast10G187400	AT3G14470
Brast10G166000	AT3G57550
Brast10G074000	AT4G33865
Brast10G037800	AT3G29230
Brast10G128400	AT5G46330
Brast10G194000	AT4G31360
Brast10G145500	AT3G47890
Brast10G183600	AT4G05050
Brast10G048600	AT1G21270
Brast10G196500	AT2G06530
Brast10G121700	AT5G08710
Brast10G130600	AT5G06600
Brast10G089000	AT1G08500
Brast10G066800	AT1G54690
Brast10G015200	AT1G21270
Brast10G171800	AT1G04110
Brast10G196400	AT3G03550
Brast10G191700	AT3G07040
Brast10G200200	AT2G29150
Brast10G025600	AT5G37850
Brast10G121000	AT1G10890
Brast10G170200	AT3G12840
Brast10G013500	AT1G73260
Brast10G154200	AT5G44250
Brast10G196800	AT3G55350
Brast10G065600	AT4G03115
Brast10G179800	AT1G73350
Brast10G191900	AT5G48620
Brast10G155400	AT3G07040
Brast10G047100	AT4G34340
Brast10G140100	AT3G23070
Brast10G179600	AT5G17210
Brast10G072100	AT1G76940
Brast10G132300	AT2G35880
Brast10G187500	AT4G36690
Brast10G178700	AT2G47600
Brast10G044500	AT4G13420
Brast10G098500	AT3G47680
Brast10G188400	AT4G38830
Brast10G030400	AT4G03500
Brast10G124100	AT1G65950
Brast10G031800	AT2G03500
Brast10G021300	AT4G20760
Brast10G077100	AT5G64180
Brast10G115800	AT4G07350
Brast10G065900	AT3G03800
Brast10G012500	AT3G05690
Brast10G065500	AT1G80570
Brast10G175700	AT3G62910
Brast10G156500	AT4G35300
Brast10G165700	AT3G09390
Brast10G186200	AT3G14470
Brast10G183000	AT5G15300
Brast10G072800	AT1G10200
Brast10G155200	AT3G07040
Brast10G010400	AT1G54385
Brast10G118700	AT4G36760
Brast10G119700	AT3G50170
Brast10G058700	AT4G12770
Brast10G126400	AT3G14460
Brast10G188100	AT3G46530
Brast10G160300	AT2G39760
Brast10G136400	AT4G14746
Brast10G020100	AT2G18900
Brast10G126300	AT1G59540
Brast10G150300	AT2G22120
Brast10G150200	AT5G66410
Brast10G127400	AT4G34360
Brast10G131300	AT5G19040
Brast10G193000	AT3G55350
Brast10G067500	AT5G27380
Brast10G184300	AT2G47500
Brast10G000300	AT5G35370
Brast10G078000	AT3G07040
Brast10G072200	AT1G76940
Brast10G121100	AT3G53500
Brast10G089400	AT2G16370
Brast10G023100	AT1G04190
Brast10G003700	AT1G48320
Brast10G113000	AT5G47800
Brast10G156300	AT1G53530
Brast10G066500	AT3G55980
Brast10G066600	AT3G21570
Brast10G077900	AT1G11880
Brast10G140000	AT1G06780
Brast10G117600	AT3G26935
Brast10G000600	AT3G25840
Brast10G178900	AT3G47570
Brast10G032300	AT2G05790
Brast10G104000	AT1G52520
Brast10G108000	AT2G04350
Brast10G015100	AT1G21230
Brast10G114800	AT5G21090
Brast10G182100	AT3G55950
Brast10G130500	AT3G43590
Brast10G094300	AT1G17840
Brast10G138600	AT3G22950
Brast10G093300	AT3G18080
Brast10G024000	AT4G27220
Brast10G181600	AT4G23240
Brast10G122200	AT5G47910
Brast10G071500	AT2G22590
Brast10G092300	AT3G02890
Brast10G065000	AT3G05020
Brast10G035900	AT4G33920
Brast10G125400	AT4G31920
Brast10G095000	AT3G19440
Brast10G138900	AT3G16610
Brast10G162000	AT3G46710
Brast10G125700	AT5G53970
Brast10G195500	AT1G51880
Brast10G158900	AT3G06190
Brast10G016000	AT5G19000
Brast10G075600	ATCG00710
Brast10G054800	AT1G31950
Brast10G014100	AT1G30210
Brast10G186100	AT3G47680
Brast10G082500	AT2G16710
Brast10G175200	AT1G58400
Brast10G090700	AT4G40042
Brast10G121800	AT4G19210
Brast10G081400	AT5G06560
Brast10G057600	AT2G47710
Brast10G094900	AT2G40650
Brast10G114200	AT4G32110
Brast10G001300	AT1G29700
Brast10G114100	AT4G32090
Brast10G053500	AT1G56420
Brast10G073200	AT4G29090
Brast10G076700	AT4G08790
Brast10G150000	AT5G65110
Brast10G016600	AT1G49950
Brast10G058100	AT3G06210
Brast10G174700	AT2G29290
Brast10G040700	AT4G29990
Brast10G165900	AT1G51350
Brast10G118000	AT5G07360
Brast10G150600	AT4G19890
Brast10G120300	AT5G47900
Brast10G186300	AT5G12290
Brast10G016200	AT5G62990
Brast10G070300	AT5G12860
Brast10G033100	AT4G33950
Brast10G066700	AT3G04710
Brast10G104100	AT5G07660
Brast10G039900	AT3G09470
Brast10G034200	AT4G37370
Brast10G106700	AT3G25800
Brast10G014000	AT3G17630
Brast10G062700	AT4G15680
Brast10G049800	AT1G33540
Brast10G194300	AT3G07040
Brast10G197900	AT2G29060
Brast10G023800	AT3G46530
Brast10G140700	AT5G57960
Brast10G021400	AT5G10530
Brast10G077800	AT5G17540
Brast10G194400	AT3G50950
Brast10G002200	AT2G40110
Brast10G199900	AT2G29200
Brast10G069400	AT4G08850
Brast10G024900	AT5G28770
Brast10G087200	AT5G50600
Brast10G024200	AT1G50180
Brast10G187000	AT3G06400
Brast10G184200	AT1G46984
Brast10G174300	AT5G06060
Brast10G192300	AT3G14470
Brast10G095200	AT5G20480
Brast10G079100	AT1G60720
Brast10G200000	AT2G39730
Brast10G142400	AT4G17565
Brast10G035500	AT3G24820
Brast10G013300	AT5G48890
Brast10G056800	AT5G20680
Brast10G030500	AT3G63470
Brast10G080900	AT3G04620
Brast10G051600	AT1G48000
Brast10G077400	AT5G53530
Brast10G172400	AT1G04420
Brast10G081300	AT5G62950
Brast10G115400	ATCG01040
Brast10G034600	AT2G03200
Brast10G051800	AT4G15510
Brast10G034400	AT5G19790
Brast10G100200	AT2G25290
Brast10G043300	AT3G46510
Brast10G020800	AT1G67000
Brast10G195800	AT2G14680
Brast10G096900	AT3G47680
Brast10G031600	AT1G27770
Brast10G168800	AT3G09220
Brast10G106500	AT4G19050
Brast10G006400	AT1G15420
Brast10G069000	AT1G80570
Brast10G125600	AT4G37740
Brast10G048100	AT1G09430
Brast10G187200	AT3G14470
Brast10G090600	AT3G27120
Brast10G000500	AT5G19260
Brast10G081900	AT4G31180
Brast10G030100	AT4G33280
Brast10G086100	AT3G48740
Brast10G183400	AT4G23240
Brast10G112200	AT4G00690
Brast10G002700	AT1G04760
Brast10G137000	AT2G20060
Brast10G071400	AT1G27330
Brast10G052300	AT3G07040
Brast10G078500	AT5G20850
Brast10G198100	AT5G24318
Brast10G162400	AT2G14760
Brast10G039000	AT1G13750
Brast10G096100	AT5G04560
Brast10G120600	AT5G24060
Brast10G074400	AT3G19550
Brast10G144500	AT3G23400
Brast10G017700	AT5G45540
Brast10G063400	AT4G32300
Brast10G146900	AT5G39670
Brast10G029000	AT3G47520
Brast10G025900	AT1G09530
Brast10G047800	AT3G62270
Brast10G118400	AT5G61750
Brast10G192400	AT3G14470
Brast10G016700	AT1G30440
Brast10G152400	AT4G00340
Brast10G102000	AT4G35160
Brast10G023400	AT4G14750
Brast10G060600	AT3G10240
Brast10G135600	AT1G03103
Brast10G168600	AT3G09220
Brast10G062000	AT3G62950
Brast10G115500	ATCG01050
Brast10G054600	AT3G47200
Brast10G137500	AT3G06170
Brast10G196000	AT5G24090
Brast10G043200	AT3G55370
Brast10G179700	AT3G51710
Brast10G197200	AT3G07040
Brast10G019900	AT1G56020
Brast10G022400	AT1G10570
Brast10G164000	AT3G42140
Brast10G139400	AT1G04220
Brast10G056400	AT5G19000
Brast10G022000	AT5G10530
Brast10G004000	AT1G18900
Brast10G054300	AT4G02120
Brast10G005300	AT3G51000
Brast10G062200	AT4G15700
Brast10G101600	AT3G26780
Brast10G181200	AT1G58410
Brast10G198900	AT1G07530
Brast10G101500	AT3G48860
Brast10G195900	AT5G24090
Brast10G141000	AT2G40020
Brast10G067800	AT3G52170
Brast10G181400	AT1G79620
Brast10G119100	AT3G12920
Brast10G009700	AT1G06590
Brast10G021600	AT4G29960
Brast10G194200	AT4G31360
Brast10G119900	AT3G50170
Brast10G071100	AT5G65180
Brast10G097400	AT2G32800
Brast10G091600	AT3G14470
Brast10G075900	AT3G24255
Brast10G046000	AT5G28850
Brast10G061400	AT2G20690
Brast10G147700	AT3G14470
Brast10G190600	AT2G43610
Brast10G141900	AT2G33200
Brast10G199500	AT2G29060
Brast10G174200	AT4G15630
Brast10G005900	AT1G19310
Brast10G106600	AT1G47490
Brast10G124300	AT5G42770
Brast10G059400	AT2G47500
Brast10G101200	AT1G28110
Brast10G113800	AT1G05835
Brast10G186000	AT3G14470
Brast10G023300	AT5G45160
Brast10G027700	AT3G18930
Brast10G067900	AT4G02820
Brast10G007300	AT2G21660
Brast10G157400	AT3G06190
Brast10G100800	AT4G32090
Brast10G041500	AT2G28790
Brast10G116200	AT1G49610
Brast10G099000	AT1G65680
Brast10G131600	AT5G22000
Brast10G180000	AT4G12770
Brast10G051000	AT1G09280
Brast10G167400	AT5G46890
Brast10G021800	AT5G10530
Brast10G152200	AT5G03450
Brast10G025800	AT3G04710
Brast10G188300	AT3G07040
Brast10G145200	AT3G47890
Brast10G200500	AT2G39890
Brast10G063600	AT2G39420
Brast10G048400	AT5G03345
Brast10G043900	AT3G46560
Brast10G119500	AT3G12920
Brast10G054100	AT3G62580
Brast10G003900	AT5G39940
Brast10G181000	AT4G05200
Brast10G186400	AT3G36659
Brast10G014900	AT1G30300
Brast10G171100	AT3G07870
Brast10G016400	AT5G57120
Brast10G059800	AT4G11650
Brast10G135700	AT5G45470
Brast10G127600	AT1G08810
Brast10G130800	AT5G04670
Brast10G005400	AT5G27660
Brast10G084100	AT3G12760
Brast10G026500	AT3G04670
Brast10G149900	AT2G46290
Brast10G034500	AT2G40190
Brast10G040200	AT5G59780
Brast10G031200	AT5G02910
Brast10G137800	AT3G45860
Brast10G023200	AT3G04810
Brast10G029600	AT4G33280
Brast10G003100	AT5G40010
Brast10G164700	AT2G03200
Brast10G078400	AT1G53900
Brast10G137300	AT3G63340
Brast10G170000	AT3G09220
Brast10G063200	AT5G11980
Brast10G190500	AT2G43610
Brast10G070700	AT3G57650
Brast10G074100	AT2G14825
Brast10G035700	AT3G19540
Brast10G019100	AT3G22310
Brast10G081000	AT5G06600
Brast10G019200	AT5G11860
Brast10G136100	AT5G45160
Brast10G058500	AT5G18980
Brast10G155100	AT2G39760
Brast10G100100	AT3G19490
Brast10G020300	AT4G14350
Brast10G167300	AT4G12500
Brast10G093000	AT4G12800
Brast10G015000	AT3G63410
Brast10G145100	AT3G47890
Brast10G041000	AT4G29990
Brast10G020200	AT4G02750
Brast10G027900	AT2G23450
Brast10G045200	AT2G37630
Brast10G034900	AT3G19580
Brast10G137600	AT3G07040
Brast10G038200	AT1G74330
Brast10G018300	AT2G34730
Brast10G026400	AT3G04670
Brast10G086300	AT1G32583
Brast10G009400	AT2G34770
Brast10G109000	AT3G19340
Brast10G051900	AT5G49930
Brast10G076000	AT1G76810
Brast10G107700	AT3G25800
Brast10G117500	AT5G13890
Brast10G158600	AT5G48830
Brast10G174600	AT2G29150
Brast10G200400	AT5G59140
Brast10G105900	AT1G15950
Brast10G154000	AT2G03220
Brast10G081500	AT1G74790
Brast10G184900	AT3G04710
Brast10G138800	AT1G33710
Brast10G032600	AT5G63230
Brast10G019800	AT1G16650
Brast10G052900	AT1G56460
Brast10G165600	AT3G14470
Brast10G113400	AT5G47710
Brast10G091700	AT3G14460
Brast10G140600	AT5G49610
Brast10G001100	AT3G13670
Brast10G005800	AT3G04710
Brast10G038800	AT1G68530
Brast10G147600	AT4G05200
Brast10G031500	AT4G37630
Brast10G048200	AT3G17210
Brast10G044400	AT5G67150
Brast10G046500	AT3G57030
Brast10G146100	AT4G01070
Brast10G054900	AT1G13080
Brast10G134400	AT1G54385
Brast10G182600	AT5G03610
Brast10G126900	AT3G49780
Brast10G103900	AT5G13550
Brast10G037500	AT5G15470
Brast10G037300	AT3G47570
Brast10G048900	AT5G15720
Brast10G082400	AT1G47670
Brast10G027000	AT4G26570
Brast10G048700	AT1G07795
Brast10G139900	AT3G57030
Brast10G194100	AT3G14470
Brast10G083100	AT4G39220
Brast10G175000	AT2G29150
Brast10G082300	AT5G04870
Brast10G021900	AT5G06740
Brast10G092600	AT1G08530
Brast10G101100	AT3G26760
Brast10G096300	AT1G67090
Brast10G059700	AT4G11650
Brast10G122900	AT3G02520
Brast10G116400	AT3G14470
Brast10G196600	AT5G59350
Brast10G137900	AT4G23180
Brast10G197000	AT1G07615
Brast10G110600	AT3G26744
Brast10G006900	AT3G24130
Brast10G060700	AT4G15800
Brast10G105000	AT2G04570
Brast10G035400	AT2G14910
Brast10G164300	AT3G12080
Brast10G057900	AT2G32300
Brast10G014800	AT1G30290
Brast10G136300	AT1G79350
Brast10G133200	AT5G12410
Brast10G153100	AT3G63390
Brast10G154700	AT2G26560
Brast10G106100	AT1G55840
Brast10G163200	AT4G36690
Brast10G071200	AT5G48160
Brast10G135400	AT1G47710
Brast10G028600	AT5G35730
Brast10G150100	AT3G53700
Brast10G153000	AT1G53860
Brast10G137200	AT4G02680
Brast10G075300	AT3G12180
Brast10G027200	AT4G36860
Brast10G053100	AT3G62420
Brast10G125200	AT5G17870
Brast10G088800	AT5G06410
Brast10G118200	AT4G29090
Brast10G077300	AT2G03720
Brast10G199400	AT2G29060
Brast10G142100	AT4G04510
Brast10G084000	AT3G50150
Brast10G080100	AT5G39850
Brast10G070000	AT3G57550
Brast10G033900	AT1G75050
Brast10G193900	AT3G14470
Brast10G165800	AT3G07040
Brast10G145800	AT1G64940
Brast10G059900	AT4G39230
Brast10G151900	AT5G19000
Brast10G118300	AT1G44960
Brast10G033800	AT1G22900
Brast10G019600	AT5G44550
Brast10G182800	AT3G05740
Brast10G010900	AT1G58030
Brast10G015400	AT1G21230
Brast10G037000	AT3G47570
Brast10G026200	AT3G52320
Brast10G085800	AT3G48770
Brast10G134000	AT4G14820
Brast10G051500	AT5G61680
Brast10G032900	AT1G08510
Brast10G198200	AT2G29050
Brast10G119800	AT3G50170
Brast10G014300	AT5G46160
Brast10G128300	AT3G60300
Brast10G068700	AT5G27395
Brast10G114700	AT5G14020
Brast10G161300	AT1G07930
Brast10G057700	AT2G47710
Brast10G102400	AT5G45910
Brast10G173800	AT1G06570
Brast10G198300	AT1G07530
Brast10G029100	AT1G58390
Brast10G172900	AT3G05030
Brast10G005000	AT3G07040
Brast10G034300	AT3G01100
Brast10G159700	ATCG01100
Brast10G096500	AT1G15320
Brast10G173500	AT1G11800
Brast10G157500	AT1G17455
Brast10G011500	AT2G27180
Brast10G071000	AT3G07770
Brast10G198600	AT2G29060
Brast10G149700	AT1G58602
Brast10G078100	AT5G21430
Brast10G077600	AT5G35870
Brast10G067400	AT3G62020
Brast10G001800	AT3G63520
Brast10G013400	AT2G34590
Brast10G140800	AT4G36390
Brast10G036400	AT3G19553
Brast10G105300	AT4G31830
Brast10G081800	AT5G39970
Brast10G072000	AT1G80190
Brast10G026000	AT1G09530
Brast10G011700	AT2G26580
Brast10G017900	AT2G34710
Brast10G112600	AT5G61910
Brast10G007200	AT4G25780
Brast10G056900	AT5G27860
Brast10G075100	AT3G24255
Brast10G010600	AT5G17920
Brast10G099300	AT5G67260
Brast10G197700	AT3G09310
Brast10G002100	AT1G65680
Brast10G185400	AT3G62630
Brast10G180900	AT3G25270
Brast10G086700	AT2G47010
Brast10G153800	AT5G42870
Brast10G192600	AT1G33110
Brast10G061300	AT5G17250
Brast10G134100	AT1G47710
Brast10G153700	AT3G13940
Brast10G141100	AT2G39800
Brast10G053700	AT4G16265
Brast10G129300	AT1G04860
Brast10G139800	AT3G04720
Brast10G168700	AT3G09220
Brast10G146400	AT5G02700
Brast10G170300	AT3G47570
Brast10G094000	AT4G13930
Brast10G038400	AT5G61340
Brast10G152100	AT5G03610
Brast10G116100	AT5G15700
Brast10G004200	AT5G62670
Brast10G043700	AT5G02390
