"y","MEblue","MEpink","MEpurple","MEblack","MEbrown","MEmagenta","MEgreen","MEred","MEturquoise","MEyellow","MEgrey"
"AS8C","745.83676970","  0.07367559"," -0.06880201","  0.05737191"," -0.15153051"," -0.02552446"," -0.06249049"," -0.10618764"," -0.11606967"," -0.15899457"," -0.17246716"," -0.07550171"
"AS8T","597.43247640","  0.12639268","  0.33204646","  0.82902379"," -0.11553777","  0.02991302"," -0.03141624"," -0.05199198"," -0.06929070"," -0.14221033"," -0.13198449","  0.12926886"
"141C"," 1.634548e+03","-1.319750e-01","-9.917251e-02","-9.029912e-02"," 4.375285e-03","-8.998771e-02","-2.248556e-02","-1.886633e-02","-1.588319e-02"," 1.155891e-01"," 2.677595e-02","-7.622853e-02"
"141T","1724.11375600","  -0.12699189","  -0.07606820","  -0.07165148","   0.06217521","  -0.07243679","  -0.02746295","  -0.03965438","   0.37527335","   0.14633260","   0.05222680","  -0.01856827"
"142C","1762.53226100","  -0.12609269","  -0.09745713","  -0.09771556","   0.01008826","  -0.09603341","  -0.02810571","   0.03373398","  -0.02097985","   0.13219765","   0.09927802","  -0.00679621"
"142T","790.79489820"," -0.10411288"," -0.06735239"," -0.08117756","  0.08089633"," -0.07369114"," -0.03636594","  0.05879009","  0.71338728","  0.18467767","  0.21827640","  0.07952269"
"143C","1364.28299300","  -0.13367525","  -0.10970337","  -0.08394298","   0.01530557","  -0.09981979","  -0.02193036","  -0.01942081","  -0.02288151","   0.14427774","   0.03716110","  -0.01587575"
"143T","832.92966920"," -0.13577451"," -0.08819257"," -0.07692056","  0.05218375"," -0.08641804"," -0.05251404","  0.01197744","  0.26415688","  0.14150720","  0.03673237"," -0.04257899"
"144C","1692.67133000","  -0.11240386","  -0.10018727","  -0.08769485","   0.04579412","  -0.09895885","  -0.03387655","   0.01824121","  -0.01880062","   0.16478021","   0.14817252","   0.04209692"
"144T","745.56706920"," -0.12915181"," -0.10167865"," -0.08154083","  0.04994485"," -0.09232286"," -0.05065248"," -0.02805764","  0.11337642","  0.14010727","  0.03412621"," -0.02109449"
"145C"," 1.850591e+03","-1.272438e-01","-9.912430e-02","-9.791784e-02"," 7.851825e-03","-9.733886e-02","-2.864807e-02"," 2.530819e-02","-3.416712e-02"," 1.246027e-01"," 6.735353e-02","-2.371213e-02"
"145T"," 1.001992e+03","-1.254415e-01","-8.483875e-02","-8.116323e-02"," 5.379721e-02","-8.706215e-02","-4.617327e-02","-4.792591e-02"," 1.700745e-01"," 1.374264e-01"," 7.315985e-02","-6.876294e-03"
"146C","1775.10669500","  -0.08004449","  -0.08556065","  -0.08085894","   0.08728189","  -0.09245169","  -0.01435733","  -0.01664623","   0.01885852","   0.20777809","   0.36951819","   0.10992362"
"146T","1064.35384000","  -0.11411161","  -0.10343251","  -0.06740257","   0.06086462","  -0.09199710","  -0.04067427","  -0.03870369","   0.10807144","   0.14842940","   0.12016868","   0.02643851"
"147C","1074.65090300","  -0.13865054","  -0.10503388","  -0.09147472","   0.01086600","  -0.09741335","  -0.03618864","   0.03879273","  -0.02092083","   0.12778463","   0.01073071","  -0.02767120"
"147T","621.08212080"," -0.10279006"," -0.08543249"," -0.07145176","  0.06896774"," -0.09117033"," -0.02797449"," -0.04941528","  0.09675564","  0.17991147","  0.23682051","  0.04272857"
"148C"," 1.482908e+03","-9.165263e-02","-8.696190e-02","-7.609207e-02"," 5.763899e-02","-8.736575e-02","-1.320471e-03"," 6.761650e-01"," 2.245992e-02"," 2.043888e-01"," 3.023860e-01"," 1.481623e-01"
"148T"," 1.273573e+03","-1.503379e-01","-8.873759e-02","-7.761115e-02","-9.967583e-04","-8.680641e-02","-2.588565e-02"," 3.617643e-01"," 7.600739e-02"," 1.186686e-01","-6.778093e-02","-2.497906e-02"
"149C","650.12069560"," -0.14463139"," -0.10141783"," -0.08000062","  0.02849118"," -0.09595364"," -0.02118363","  0.21233946","  0.03273664","  0.15595512"," -0.02740239","  0.01412401"
"149T"," 1.134248e+03","-1.456271e-01","-6.136109e-02","-8.042142e-02"," 4.217845e-03","-9.188619e-02","-2.136535e-02"," 8.420633e-02"," 7.042796e-02"," 1.118220e-01","-5.337742e-02","-6.146306e-02"
"150C","1374.05306000","  -0.12035556","  -0.10197512","  -0.08136536","   0.04262421","  -0.09084031","  -0.01881945","   0.12777732","   0.03036076","   0.17046786","   0.11330215","   0.03440497"
"150T"," 9.405027e+02","-1.316493e-01","-8.810227e-02","-8.348851e-02"," 1.955534e-02","-9.375836e-02","-3.591499e-02","-7.956845e-03"," 1.957040e-02"," 1.394607e-01"," 4.114695e-02","-9.133049e-04"
"181C","985.91976310"," -0.10876895"," -0.09210356"," -0.06966877","  0.06232671"," -0.09289224"," -0.02752288","  0.40912966","  0.06108013","  0.18856214","  0.16079872","  0.09839495"
"181T","628.75063720"," -0.10380814"," -0.08734588"," -0.06387667","  0.05864020"," -0.09403340"," -0.04092403","  0.08571859","  0.04212032","  0.17160986","  0.19873562","  0.05976508"
