"y","MEpink","MEgreen","MEblue","MEred","MEturquoise","MEyellow","MEbrown","MEblack","MEgrey"
"ES11T"," 4.226763e+03","-4.805963e-02","-6.338426e-02","-7.332466e-02","-6.985007e-03"," 1.833280e-01","-1.852561e-02","-2.797277e-02","-3.715041e-02","-6.355885e-02"
"ES13C","2781.70100000","  -0.04909806","  -0.07838295","  -0.08418096","  -0.05898926","   0.14673437","  -0.04644136","  -0.03426142","  -0.06093299","  -0.04313322"
"ES13T","3521.03761200","  -0.05065817","  -0.06470090","  -0.08949577","  -0.07368599","   0.14581175","  -0.04537606","  -0.03868706","  -0.04739151","  -0.08117686"
"ES14C"," 4.000105e+03","-2.998130e-02","-6.044615e-02","-4.343864e-02","-1.896647e-02"," 2.466499e-01","-4.684729e-03","-1.236445e-02","-3.981784e-02"," 7.044583e-04"
"ES14T","2721.32044200","  -0.04805839","  -0.03582620","  -0.08748360","  -0.07446421","   0.15616738","  -0.03101112","  -0.04198387","  -0.05567398","  -0.09566437"
"ES19C","3071.78900000","  -0.04076507","  -0.06796931","  -0.04637496","   0.03483272","   0.23819721","  -0.01393831","  -0.01614890","  -0.05959417","   0.06058074"
"ES19T"," 3.309371e+03","-3.407736e-02","-6.059016e-02","-4.116073e-02","-5.020588e-02"," 2.505517e-01"," 3.512810e-04","-1.029507e-02","-4.518917e-02"," 8.388038e-03"
"ES1C","2647.67200000","  -0.04676284","  -0.07532394","  -0.07558242","  -0.02071269","   0.17101328","  -0.02295766","  -0.02764121","  -0.05896304","  -0.05428425"
"ES1T","1907.08435600","  -0.03633491","  -0.05495702","  -0.06869796","  -0.04027360","   0.19258253","  -0.01066542","  -0.02995503","  -0.04273433","  -0.09110832"
"ES21C"," 2.948689e+03","-4.831315e-02","-7.871914e-02","-5.183401e-02","-4.971687e-02"," 2.333866e-01","-2.301148e-02","-2.031828e-02","-5.042000e-02"," 7.477945e-03"
"ES21T","2398.91520100","  -0.05845301","  -0.04857652","  -0.08366353","  -0.05795011","   0.16173568","  -0.03135512","  -0.03173752","  -0.04645496","  -0.07587126"
"ES23C","2993.60000000","  -0.05518669","  -0.08508263","  -0.09396665","  -0.06710099","   0.13161310","  -0.05353297","  -0.03760574","  -0.06765906","  -0.05418159"
"ES23T","2251.91106700","  -0.05056190","   0.00472272","  -0.07828487","  -0.05603954","   0.15768763","  -0.01841818","  -0.02763127","  -0.01819435","  -0.09755523"
"ES6C","2609.22600000","  -0.03745042","  -0.06276908","  -0.05440719","  -0.05341057","   0.23359765","  -0.02277792","  -0.02161469","  -0.04805559","  -0.02389705"
"ES6T"," 2.744982e+03","-4.944269e-02","-6.834142e-02","-6.304498e-02","-6.420360e-02"," 1.975832e-01","-3.141353e-02","-2.264709e-02","-6.362643e-02"," 4.597645e-03"
"ES9C","3353.67600000","  -0.04480710","  -0.08447030","  -0.07758527","  -0.05957709","   0.16838655","  -0.02716713","  -0.02702337","  -0.06321087","  -0.02635336"
"ES9T","3200.00646200","  -0.03564598","  -0.02644791","  -0.08212527","  -0.05766246","   0.16364990","  -0.02062268","  -0.03431825","  -0.03060818","  -0.09389535"
"WS10C","2983.22421000","  -0.04259617","  -0.05121414","  -0.14058390","  -0.06352562","  -0.10172191","   0.20666285","   0.18740561","   0.07324878","   0.07187766"
"WS10T"," 3.389516e+03"," 2.523829e-02"," 9.240029e-03","-1.338845e-01","-1.559277e-02","-1.042480e-01"," 9.483007e-01"," 1.410124e-01"," 1.847123e-01"," 1.075876e-01"
"WS1C","2963.98348400","  -0.05871196","  -0.08861885","  -0.16507886","  -0.08626042","  -0.12646593","  -0.02256028","   0.19802385","  -0.02393479","   0.04905483"
"WS1T"," 3.148626e+03","-5.952435e-02","-6.076172e-02","-1.472522e-01","-8.530042e-02","-1.076777e-01"," 9.854248e-03"," 1.925395e-01"," 1.858567e-01"," 9.833742e-02"
"WS3C","2851.23563100","  -0.06084676","  -0.08530050","  -0.16143158","  -0.09037981","  -0.12049811","  -0.01370022","   0.24395716","  -0.02683273","   0.01697308"
"WS3T"," 3.806752e+03","-7.288950e-02","-8.734890e-02","-1.626942e-01","-1.039474e-01","-1.222559e-01","-4.622448e-03"," 2.004112e-01","-1.444184e-02"," 1.273674e-02"
"WS4C","3193.75726000","  -0.08055765","  -0.10510862","  -0.15224547","  -0.10483017","  -0.11255800","  -0.05902684","   0.27553747","  -0.06980771","   0.06082233"
"WS4T"," 3.029607e+03","-5.773685e-02","-3.333583e-02","-1.509621e-01","-9.817623e-02","-1.105267e-01"," 3.861603e-03"," 2.202459e-01"," 3.562471e-01"," 9.132327e-02"
"WS6C"," 1.805138e+03","-6.857063e-02","-7.894052e-02","-1.535983e-01","-9.166891e-02","-1.133787e-01","-8.111592e-03"," 3.145252e-01"," 4.725270e-03"," 3.786365e-02"
"WS6T"," 3.204348e+03","-5.782494e-02","-4.823120e-02","-1.685556e-01","-9.873545e-02","-1.294939e-01","-2.543959e-02"," 1.969455e-01"," 1.884647e-01","-8.555411e-03"
"WS8C","3122.72493600","  -0.06711051","  -0.09101287","  -0.16056211","  -0.09317019","  -0.12236902","  -0.02462838","   0.26404804","  -0.03334823","   0.03043552"
"WS8T","3557.95236900","  -0.04061315","   0.01247826","  -0.14799672","  -0.08225719","  -0.10727280","   0.03795781","   0.22345544","   0.70460542","   0.08417208"
"WS9C","2544.72565000","  -0.06312393","  -0.08681530","  -0.15917507","  -0.09170263","  -0.12020999","   0.02127524","   0.19455428","  -0.02361981","   0.10451642"
"WS9T","2936.24328700","  -0.04918734","  -0.02584450","  -0.15569385","  -0.07599745","  -0.11864755","   0.02496324","   0.18860327","   0.37951504","   0.06722205"
