"y","MEpink","MEgreen","MEblue","MEred","MEturquoise","MEyellow","MEbrown","MEblack","MEgrey"
"ES19T","23.230552670","-0.034077360","-0.060590161","-0.041160730","-0.050205877"," 0.250551679"," 0.000351281","-0.010295069","-0.045189175"," 0.008388038"
"ES1C","23.21603000","-0.04676284","-0.07532394","-0.07558242","-0.02071269"," 0.17101328","-0.02295766","-0.02764121","-0.05896304","-0.05428425"
"ES1T","22.61520052","-0.03633491","-0.05495702","-0.06869796","-0.04027360"," 0.19258253","-0.01066542","-0.02995503","-0.04273433","-0.09110832"
"ES21C","23.817800000","-0.048313153","-0.078719141","-0.051834010","-0.049716871"," 0.233386635","-0.023011475","-0.020318276","-0.050420001"," 0.007477945"
"ES21T","23.57962799","-0.05845301","-0.04857652","-0.08366353","-0.05795011"," 0.16173568","-0.03135512","-0.03173752","-0.04645496","-0.07587126"
"ES23C","21.77271000","-0.05518669","-0.08508263","-0.09396665","-0.06710099"," 0.13161310","-0.05353297","-0.03760574","-0.06765906","-0.05418159"
"ES23T","21.64760462","-0.05056190"," 0.00472272","-0.07828487","-0.05603954"," 0.15768763","-0.01841818","-0.02763127","-0.01819435","-0.09755523"
"ES6C","22.37354000","-0.03745042","-0.06276908","-0.05440719","-0.05341057"," 0.23359765","-0.02277792","-0.02161469","-0.04805559","-0.02389705"
"ES6T","21.968048100","-0.049442685","-0.068341420","-0.063044982","-0.064203597"," 0.197583211","-0.031413534","-0.022647092","-0.063626432"," 0.004597645"
"ES9C","23.11082000","-0.04480710","-0.08447030","-0.07758527","-0.05957709"," 0.16838655","-0.02716713","-0.02702337","-0.06321087","-0.02635336"
"ES9T","23.17871366","-0.03564598","-0.02644791","-0.08212527","-0.05766246"," 0.16364990","-0.02062268","-0.03431825","-0.03060818","-0.09389535"
"WS10C","17.97985040","-0.04259617","-0.05121414","-0.14058390","-0.06352562","-0.10172191"," 0.20666285"," 0.18740561"," 0.07324878"," 0.07187766"
"WS10T","18.399068200"," 0.025238287"," 0.009240029","-0.133884520","-0.015592771","-0.104248033"," 0.948300683"," 0.141012365"," 0.184712334"," 0.107587624"
"WS1C","19.81663677","-0.05871196","-0.08861885","-0.16507886","-0.08626042","-0.12646593","-0.02256028"," 0.19802385","-0.02393479"," 0.04905483"
"WS1T","16.951479910","-0.059524347","-0.060761719","-0.147252238","-0.085300423","-0.107677705"," 0.009854248"," 0.192539532"," 0.185856747"," 0.098337416"
"WS3C","17.75865691","-0.06084676","-0.08530050","-0.16143158","-0.09037981","-0.12049811","-0.01370022"," 0.24395716","-0.02683273"," 0.01697308"
"WS3T","17.056032180","-0.072889497","-0.087348901","-0.162694216","-0.103947450","-0.122255941","-0.004622448"," 0.200411186","-0.014441841"," 0.012736738"
"WS4C","14.89316218","-0.08055765","-0.10510862","-0.15224547","-0.10483017","-0.11255800","-0.05902684"," 0.27553747","-0.06980771"," 0.06082233"
"WS4T","14.649259410","-0.057736849","-0.033335833","-0.150962094","-0.098176227","-0.110526705"," 0.003861603"," 0.220245878"," 0.356247076"," 0.091323268"
"WS6C","19.025634770","-0.068570626","-0.078940524","-0.153598347","-0.091668915","-0.113378726","-0.008111592"," 0.314525220"," 0.004725270"," 0.037863645"
"WS6T","15.652937890","-0.057824938","-0.048231203","-0.168555577","-0.098735450","-0.129493942","-0.025439591"," 0.196945523"," 0.188464681","-0.008555411"
"WS8C","18.68391582","-0.06711051","-0.09101287","-0.16056211","-0.09317019","-0.12236902","-0.02462838"," 0.26404804","-0.03334823"," 0.03043552"
"WS8T","19.79484336","-0.04061315"," 0.01247826","-0.14799672","-0.08225719","-0.10727280"," 0.03795781"," 0.22345544"," 0.70460542"," 0.08417208"
"WS9C","19.65536993","-0.06312393","-0.08681530","-0.15917507","-0.09170263","-0.12020999"," 0.02127524"," 0.19455428","-0.02361981"," 0.10451642"
"WS9T","20.11067700","-0.04918734","-0.02584450","-0.15569385","-0.07599745","-0.11864755"," 0.02496324"," 0.18860327"," 0.37951504"," 0.06722205"
