tdid	chr	start	end
TRIDC2BG006490	chr2B	29000001	31000000
TRIDC2BG006310	chr2B	29000001	31000000
TRIDC2BG006360	chr2B	29000001	31000000
TRIDC2BG006430	chr2B	29000001	31000000
TRIDC2BG006340	chr2B	29000001	31000000
TRIDC2BG006440	chr2B	29000001	31000000
TRIDC2BG006320	chr2B	29000001	31000000
TRIDC2BG006370	chr2B	29000001	31000000
TRIDC2BG006330	chr2B	29000001	31000000
TRIDC2BG006380	chr2B	29000001	31000000
TRIDC2BG006400	chr2B	29000001	31000000
TRIDC2BG006460	chr2B	29000001	31000000
TRIDC2BG043660	chr2B	419000001	421000000
TRIDC2BG043740	chr2B	419000001	421000000
TRIDC2BG043730	chr2B	419000001	421000000
TRIDC2BG043690	chr2B	419000001	421000000
TRIDC2BG043700	chr2B	419000001	421000000
TRIDC2BG043650	chr2B	419000001	421000000
TRIDC2BG043710	chr2B	419000001	421000000
TRIDC2BG043640	chr2B	419000001	421000000
TRIDC2BG043720	chr2B	419000001	421000000
TRIDC2BG043670	chr2B	419000001	421000000
TRIDC2BG044600	chr2B	434000001	436000000
TRIDC2BG044580	chr2B	434000001	436000000
TRIDC2BG044570	chr2B	434000001	436000000
TRIDC2BG044560	chr2B	434000001	436000000
TRIDC2BG044640	chr2B	434000001	436000000
TRIDC2BG044680	chr2B	434000001	436000000
TRIDC2BG044590	chr2B	434000001	436000000
TRIDC2BG044620	chr2B	434000001	436000000
TRIDC2BG068160	chr2B	660500001	662500000
TRIDC2BG068150	chr2B	660500001	662500000
TRIDC2BG068230	chr2B	660500001	662500000
TRIDC2BG068220	chr2B	660500001	662500000
TRIDC2BG068140	chr2B	660500001	662500000
TRIDC2BG068130	chr2B	660500001	662500000
TRIDC2BG068120	chr2B	660500001	662500000
TRIDC2BG068260	chr2B	660500001	662500000
TRIDC2BG068250	chr2B	660500001	662500000
TRIDC2BG068170	chr2B	660500001	662500000
TRIDC3BG002240	chr3B	6000001	8000000
TRIDC3BG002390	chr3B	6000001	8000000
TRIDC3BG002130	chr3B	6000001	8000000
TRIDC3BG002270	chr3B	6000001	8000000
TRIDC3BG002360	chr3B	6000001	8000000
TRIDC3BG001640	chr3B	6000001	8000000
TRIDC3BG001900	chr3B	6000001	8000000
TRIDC3BG002190	chr3B	6000001	8000000
TRIDC3BG001970	chr3B	6000001	8000000
TRIDC3BG001880	chr3B	6000001	8000000
TRIDC3BG001810	chr3B	6000001	8000000
TRIDC3BG002450	chr3B	6000001	8000000
TRIDC3BG002470	chr3B	6000001	8000000
TRIDC3BG002180	chr3B	6000001	8000000
TRIDC3BG001730	chr3B	6000001	8000000
TRIDC3BG001920	chr3B	6000001	8000000
TRIDC3BG001650	chr3B	6000001	8000000
TRIDC3BG002490	chr3B	6000001	8000000
TRIDC3BG001790	chr3B	6000001	8000000
TRIDC3BG001770	chr3B	6000001	8000000
TRIDC3BG001950	chr3B	6000001	8000000
TRIDC3BG001960	chr3B	6000001	8000000
TRIDC3BG001750	chr3B	6000001	8000000
TRIDC3BG002170	chr3B	6000001	8000000
TRIDC3BG001910	chr3B	6000001	8000000
TRIDC3BG002400	chr3B	6000001	8000000
TRIDC3BG001720	chr3B	6000001	8000000
TRIDC3BG002280	chr3B	6000001	8000000
TRIDC3BG002460	chr3B	6000001	8000000
TRIDC3BG001780	chr3B	6000001	8000000
TRIDC3BG002370	chr3B	6000001	8000000
TRIDC3BG002090	chr3B	6000001	8000000
TRIDC3BG001890	chr3B	6000001	8000000
TRIDC3BG002330	chr3B	6000001	8000000
TRIDC3BG002100	chr3B	6000001	8000000
TRIDC3BG002250	chr3B	6000001	8000000
TRIDC3BG002070	chr3B	6000001	8000000
TRIDC3BG002030	chr3B	6000001	8000000
TRIDC3BG002080	chr3B	6000001	8000000
TRIDC3BG002480	chr3B	6000001	8000000
TRIDC3BG001980	chr3B	6000001	8000000
TRIDC3BG001710	chr3B	6000001	8000000
TRIDC3BG001740	chr3B	6000001	8000000
TRIDC3BG002160	chr3B	6000001	8000000
TRIDC3BG002260	chr3B	6000001	8000000
TRIDC3BG001990	chr3B	6000001	8000000
TRIDC3BG002320	chr3B	6000001	8000000
TRIDC3BG001930	chr3B	6000001	8000000
TRIDC3BG085950	chr3B	829500001	831500000
TRIDC3BG085760	chr3B	829500001	831500000
TRIDC3BG085710	chr3B	829500001	831500000
TRIDC3BG085670	chr3B	829500001	831500000
TRIDC3BG085960	chr3B	829500001	831500000
TRIDC3BG085820	chr3B	829500001	831500000
TRIDC3BG085920	chr3B	829500001	831500000
TRIDC3BG085790	chr3B	829500001	831500000
TRIDC3BG085890	chr3B	829500001	831500000
TRIDC3BG085660	chr3B	829500001	831500000
TRIDC3BG085930	chr3B	829500001	831500000
TRIDC3BG085690	chr3B	829500001	831500000
TRIDC3BG085870	chr3B	829500001	831500000
TRIDC3BG085750	chr3B	829500001	831500000
TRIDC3BG085700	chr3B	829500001	831500000
TRIDC3BG085720	chr3B	829500001	831500000
TRIDC3BG085940	chr3B	829500001	831500000
TRIDC3BG085780	chr3B	829500001	831500000
TRIDC4BG031570	chr4B	388500001	390500000
TRIDC4BG031580	chr4B	388500001	390500000
TRIDC4BG031620	chr4B	388500001	390500000
TRIDC4BG031600	chr4B	388500001	390500000
TRIDC4BG031630	chr4B	388500001	390500000
TRIDC4BG010340	chr4B	56500001	58500000
TRIDC4BG010310	chr4B	56500001	58500000
TRIDC4BG010480	chr4B	56500001	58500000
TRIDC4BG010190	chr4B	56500001	58500000
TRIDC4BG010200	chr4B	56500001	58500000
TRIDC4BG010290	chr4B	56500001	58500000
TRIDC4BG010410	chr4B	56500001	58500000
TRIDC4BG010430	chr4B	56500001	58500000
TRIDC4BG010440	chr4B	56500001	58500000
TRIDC4BG010320	chr4B	56500001	58500000
TRIDC4BG010180	chr4B	56500001	58500000
TRIDC4BG010390	chr4B	56500001	58500000
TRIDC4BG010450	chr4B	56500001	58500000
TRIDC4BG010360	chr4B	56500001	58500000
TRIDC4BG010380	chr4B	56500001	58500000
TRIDC4BG010270	chr4B	56500001	58500000
TRIDC4BG010350	chr4B	56500001	58500000
TRIDC4BG010460	chr4B	56500001	58500000
TRIDC4BG010250	chr4B	56500001	58500000
TRIDC4BG010280	chr4B	56500001	58500000
TRIDC4BG010220	chr4B	56500001	58500000
TRIDC4BG010400	chr4B	56500001	58500000
TRIDC4BG010240	chr4B	56500001	58500000
TRIDC4BG010300	chr4B	56500001	58500000
TRIDC4BG010260	chr4B	56500001	58500000
TRIDC4BG010330	chr4B	56500001	58500000
TRIDC5BG000840	chr5B	5000001	7000000
TRIDC5BG001140	chr5B	5000001	7000000
TRIDC5BG001030	chr5B	5000001	7000000
TRIDC5BG001150	chr5B	5000001	7000000
TRIDC5BG000930	chr5B	5000001	7000000
TRIDC5BG001240	chr5B	5000001	7000000
TRIDC5BG001260	chr5B	5000001	7000000
TRIDC5BG001100	chr5B	5000001	7000000
TRIDC5BG000940	chr5B	5000001	7000000
TRIDC5BG001220	chr5B	5000001	7000000
TRIDC5BG001290	chr5B	5000001	7000000
TRIDC5BG001210	chr5B	5000001	7000000
TRIDC5BG001190	chr5B	5000001	7000000
TRIDC5BG001160	chr5B	5000001	7000000
TRIDC5BG000990	chr5B	5000001	7000000
TRIDC5BG000850	chr5B	5000001	7000000
TRIDC5BG001200	chr5B	5000001	7000000
TRIDC5BG001080	chr5B	5000001	7000000
TRIDC5BG000920	chr5B	5000001	7000000
TRIDC5BG001180	chr5B	5000001	7000000
TRIDC5BG001090	chr5B	5000001	7000000
TRIDC5BG000870	chr5B	5000001	7000000
TRIDC5BG000910	chr5B	5000001	7000000
TRIDC5BG001040	chr5B	5000001	7000000
TRIDC5BG000890	chr5B	5000001	7000000
TRIDC5BG000830	chr5B	5000001	7000000
TRIDC5BG001070	chr5B	5000001	7000000
TRIDC5BG000880	chr5B	5000001	7000000
TRIDC5BG000860	chr5B	5000001	7000000
TRIDC5BG000900	chr5B	5000001	7000000
TRIDC5BG003960	chr5B	21000001	23000000
TRIDC5BG003760	chr5B	21000001	23000000
TRIDC5BG003990	chr5B	21000001	23000000
TRIDC5BG003900	chr5B	21000001	23000000
TRIDC5BG003890	chr5B	21000001	23000000
TRIDC5BG003820	chr5B	21000001	23000000
TRIDC5BG003670	chr5B	21000001	23000000
TRIDC5BG003940	chr5B	21000001	23000000
TRIDC5BG003790	chr5B	21000001	23000000
TRIDC5BG003650	chr5B	21000001	23000000
TRIDC5BG003700	chr5B	21000001	23000000
TRIDC5BG003910	chr5B	21000001	23000000
TRIDC5BG003970	chr5B	21000001	23000000
TRIDC5BG003950	chr5B	21000001	23000000
TRIDC5BG029460	chr5B	318500001	320500000
TRIDC5BG029410	chr5B	318500001	320500000
TRIDC5BG037490	chr5B	405500001	407500000
TRIDC5BG037580	chr5B	405500001	407500000
TRIDC5BG037520	chr5B	405500001	407500000
TRIDC5BG037460	chr5B	405500001	407500000
TRIDC5BG037470	chr5B	405500001	407500000
TRIDC5BG037510	chr5B	405500001	407500000
TRIDC5BG037540	chr5B	405500001	407500000
TRIDC5BG037560	chr5B	405500001	407500000
TRIDC5BG037590	chr5B	405500001	407500000
TRIDC6AG045010	chr6A	529000001	531000000
TRIDC6AG045140	chr6A	529000001	531000000
TRIDC6AG044920	chr6A	529000001	531000000
TRIDC6AG045050	chr6A	529000001	531000000
TRIDC6AG044970	chr6A	529000001	531000000
TRIDC6AG044990	chr6A	529000001	531000000
TRIDC6AG045090	chr6A	529000001	531000000
TRIDC6AG044980	chr6A	529000001	531000000
TRIDC6AG045080	chr6A	529000001	531000000
TRIDC6AG045150	chr6A	529000001	531000000
TRIDC6AG044960	chr6A	529000001	531000000
TRIDC7BG053740	chr7B	598500001	600500000
TRIDC7BG053770	chr7B	598500001	600500000
TRIDC7BG053810	chr7B	598500001	600500000
TRIDC7BG053850	chr7B	598500001	600500000
TRIDC7BG053690	chr7B	598500001	600500000
TRIDC7BG053800	chr7B	598500001	600500000
TRIDC7BG053900	chr7B	598500001	600500000
TRIDC7BG053880	chr7B	598500001	600500000
TRIDC7BG053860	chr7B	598500001	600500000
TRIDC7BG053780	chr7B	598500001	600500000
TRIDC7BG053720	chr7B	598500001	600500000
TRIDC7BG053890	chr7B	598500001	600500000
TRIDC7BG053830	chr7B	598500001	600500000
TRIDC7BG053840	chr7B	598500001	600500000
TRIDC7BG053870	chr7B	598500001	600500000
TRIDC7BG053700	chr7B	598500001	600500000
TRIDC7BG053710	chr7B	598500001	600500000
