tdid	atid	chr	start	end
TRIDC5BG003790	AT4G33760	chr5B	21000001	23000000
TRIDC5BG037470	AT4G30825	chr5B	405500001	407500000
TRIDC2BG068140	AT5G16750	chr2B	660500001	662500000
TRIDC2BG044600	AT2G33550	chr2B	434000001	436000000
TRIDC5BG000850	AT3G26330	chr5B	5000001	7000000
TRIDC7BG053780	AT5G44750	chr7B	598500001	600500000
TRIDC2BG068120	AT5G16770	chr2B	660500001	662500000
TRIDC2BG068260	AT3G56640	chr2B	660500001	662500000
TRIDC5BG029410	AT5G50260	chr5B	318500001	320500000
TRIDC2AG040580	AT1G08550	chr2A	463500001	465500000
TRIDC2BG044580	AT5G50920	chr2B	434000001	436000000
TRIDC7BG053720	AT1G44350	chr7B	598500001	600500000
TRIDC2AG014940	AT1G10050	chr2A	75000001	77000000
TRIDC7BG053890	AT5G59870	chr7B	598500001	600500000
TRIDC2AG015210	AT3G07040	chr2A	75000001	77000000
TRIDC2AG040630	AT1G67480	chr2A	463500001	465500000
TRIDC2AG040560	AT1G43722	chr2A	463500001	465500000
TRIDC2BG068250	AT4G17880	chr2B	660500001	662500000
TRIDC2AG015100	AT3G26770	chr2A	75000001	77000000
TRIDC2BG044570	AT1G22990	chr2B	434000001	436000000
TRIDC2BG068170	AT5G16730	chr2B	660500001	662500000
TRIDC2AG015190	AT4G20860	chr2A	75000001	77000000
TRIDC2AG015140	AT3G26760	chr2A	75000001	77000000
TRIDC2AG015270	AT4G27270	chr2A	75000001	77000000
TRIDC2AG015280	AT4G27270	chr2A	75000001	77000000
TRIDC4BG031570	AT1G08570	chr4B	388500001	390500000
TRIDC2AG015260	AT4G21065	chr2A	75000001	77000000
TRIDC2AG015120	AT3G26770	chr2A	75000001	77000000
TRIDC2AG015310	AT2G33847	chr2A	75000001	77000000
TRIDC2AG015160	AT3G26760	chr2A	75000001	77000000
TRIDC4BG031580	AT5G04930	chr4B	388500001	390500000
TRIDC5BG037510	AT4G30710	chr5B	405500001	407500000
TRIDC5BG037540	AT5G48930	chr5B	405500001	407500000
TRIDC4BG031620	AT3G04030	chr4B	388500001	390500000
TRIDC4BG031600	AT3G03660	chr4B	388500001	390500000
TRIDC5BG037560	AT1G26840	chr5B	405500001	407500000
TRIDC4BG010310	AT5G49720	chr4B	56500001	58500000
TRIDC7BG053840	AT1G80570	chr7B	598500001	600500000
TRIDC4BG010480	AT1G17980	chr4B	56500001	58500000
TRIDC7BG053870	AT5G59870	chr7B	598500001	600500000
TRIDC6AG045010	AT1G70680	chr6A	529000001	531000000
TRIDC4BG010190	AT1G07910	chr4B	56500001	58500000
TRIDC7BG053700	AT1G18210	chr7B	598500001	600500000
TRIDC4BG010200	AT3G07030	chr4B	56500001	58500000
TRIDC7BG053710	AT4G24770	chr7B	598500001	600500000
TRIDC4BG010290	AT2G38110	chr4B	56500001	58500000
TRIDC4BG010410	AT5G10860	chr4B	56500001	58500000
TRIDC4BG010430	AT2G39810	chr4B	56500001	58500000
TRIDC4BG010440	AT2G14110	chr4B	56500001	58500000
TRIDC2BG044560	AT1G28110	chr2B	434000001	436000000
TRIDC4BG010320	AT3G28460	chr4B	56500001	58500000
TRIDC6AG045140	AT5G17190	chr6A	529000001	531000000
TRIDC4BG010180	AT3G11400	chr4B	56500001	58500000
TRIDC6AG044920	AT1G24610	chr6A	529000001	531000000
TRIDC4BG010390	AT1G28200	chr4B	56500001	58500000
TRIDC6AG045050	AT5G17640	chr6A	529000001	531000000
TRIDC6AG044970	AT1G70680	chr6A	529000001	531000000
TRIDC2BG044640	AT5G61960	chr2B	434000001	436000000
TRIDC2BG044590	AT5G13970	chr2B	434000001	436000000
TRIDC2BG043710	AT5G14170	chr2B	419000001	421000000
TRIDC6AG044990	AT1G70670	chr6A	529000001	531000000
TRIDC2BG043640	AT3G01860	chr2B	419000001	421000000
TRIDC2BG044620	AT5G50930	chr2B	434000001	436000000
TRIDC2BG043720	AT5G50380	chr2B	419000001	421000000
TRIDC2BG043670	AT5G38360	chr2B	419000001	421000000
TRIDC6AG045090	AT2G01660	chr6A	529000001	531000000
TRIDC6AG044980	AT2G01670	chr6A	529000001	531000000
TRIDC6AG045080	AT1G52820	chr6A	529000001	531000000
TRIDC6AG045150	AT2G32300	chr6A	529000001	531000000
TRIDC6AG044960	AT1G67920	chr6A	529000001	531000000
TRIDC3BG001910	AT1G66910	chr3B	6000001	8000000
TRIDC3BG002400	AT5G38260	chr3B	6000001	8000000
TRIDC3BG001720	AT2G27490	chr3B	6000001	8000000
TRIDC3BG002280	AT5G38260	chr3B	6000001	8000000
TRIDC3BG002460	AT1G70250	chr3B	6000001	8000000
TRIDC3BG001780	AT1G65680	chr3B	6000001	8000000
TRIDC3BG002370	AT5G38260	chr3B	6000001	8000000
TRIDC3BG002090	AT3G07040	chr3B	6000001	8000000
TRIDC3BG001890	AT1G52360	chr3B	6000001	8000000
TRIDC3BG002330	AT5G38260	chr3B	6000001	8000000
TRIDC3BG002100	AT4G32300	chr3B	6000001	8000000
TRIDC3BG002250	AT1G70250	chr3B	6000001	8000000
TRIDC3BG002070	AT3G14470	chr3B	6000001	8000000
TRIDC1BG006970	AT3G04710	chr1B	40500001	42500000
TRIDC3BG002030	AT3G44550	chr3B	6000001	8000000
TRIDC3BG002080	AT3G07040	chr3B	6000001	8000000
TRIDC3BG002480	AT2G37600	chr3B	6000001	8000000
TRIDC3BG001980	AT5G53390	chr3B	6000001	8000000
TRIDC1BG006930	AT5G22770	chr1B	40500001	42500000
TRIDC3BG001710	AT4G01070	chr3B	6000001	8000000
TRIDC3BG001740	AT5G47320	chr3B	6000001	8000000
TRIDC3BG002160	AT5G61750	chr3B	6000001	8000000
TRIDC3BG001990	AT5G53390	chr3B	6000001	8000000
TRIDC3BG002320	AT1G66920	chr3B	6000001	8000000
TRIDC3BG001930	AT1G65480	chr3B	6000001	8000000
TRIDC1BG007160	AT3G13060	chr1B	40500001	42500000
TRIDC1BG006890	AT1G25682	chr1B	40500001	42500000
TRIDC1BG007230	AT5G59740	chr1B	40500001	42500000
TRIDC1BG007030	AT2G42780	chr1B	40500001	42500000
TRIDC1BG007110	AT3G60410	chr1B	40500001	42500000
TRIDC1BG007170	AT5G62980	chr1B	40500001	42500000
TRIDC1BG007240	AT5G51860	chr1B	40500001	42500000
TRIDC1BG006880	AT4G13460	chr1B	40500001	42500000
TRIDC3BG085890	AT4G24770	chr3B	829500001	831500000
TRIDC1BG007010	AT5G20030	chr1B	40500001	42500000
TRIDC1BG006950	AT1G73965	chr1B	40500001	42500000
TRIDC3BG085660	AT1G55170	chr3B	829500001	831500000
TRIDC3BG085930	AT3G46620	chr3B	829500001	831500000
TRIDC3BG085690	AT3G07040	chr3B	829500001	831500000
TRIDC3BG085870	AT2G29200	chr3B	829500001	831500000
TRIDC2BG006430	AT4G20820	chr2B	29000001	31000000
TRIDC3BG085750	AT2G28680	chr3B	829500001	831500000
TRIDC2BG006340	AT5G54160	chr2B	29000001	31000000
TRIDC2BG006440	AT5G44440	chr2B	29000001	31000000
TRIDC2BG006320	AT4G21410	chr2B	29000001	31000000
TRIDC2BG006370	AT5G54160	chr2B	29000001	31000000
TRIDC3BG085700	AT2G11520	chr3B	829500001	831500000
TRIDC2BG006330	AT3G46730	chr2B	29000001	31000000
TRIDC3BG085720	AT5G02600	chr3B	829500001	831500000
TRIDC2BG006380	AT5G54160	chr2B	29000001	31000000
TRIDC2BG006400	AT5G44440	chr2B	29000001	31000000
TRIDC2BG006460	AT2G18040	chr2B	29000001	31000000
TRIDC3BG085940	AT5G20890	chr3B	829500001	831500000
TRIDC4BG010450	AT5G27620	chr4B	56500001	58500000
TRIDC4BG010360	AT1G08560	chr4B	56500001	58500000
TRIDC4BG010380	AT4G09650	chr4B	56500001	58500000
TRIDC4BG010270	AT5G13750	chr4B	56500001	58500000
TRIDC4BG010350	AT2G36230	chr4B	56500001	58500000
TRIDC4BG010460	AT5G52200	chr4B	56500001	58500000
TRIDC4BG010250	AT3G50150	chr4B	56500001	58500000
TRIDC4BG010280	AT5G14780	chr4B	56500001	58500000
TRIDC4BG010400	AT5G05250	chr4B	56500001	58500000
TRIDC4BG010240	AT3G52600	chr4B	56500001	58500000
TRIDC4BG010300	AT1G77405	chr4B	56500001	58500000
TRIDC4BG010260	AT2G23170	chr4B	56500001	58500000
TRIDC5BG001080	AT1G61390	chr5B	5000001	7000000
TRIDC5BG000920	AT5G27660	chr5B	5000001	7000000
TRIDC5BG001090	AT3G14460	chr5B	5000001	7000000
TRIDC5BG000870	AT3G56630	chr5B	5000001	7000000
TRIDC5BG000910	AT1G45050	chr5B	5000001	7000000
TRIDC5BG001040	AT4G00960	chr5B	5000001	7000000
TRIDC5BG003910	AT4G26090	chr5B	21000001	23000000
TRIDC5BG000890	AT1G11680	chr5B	5000001	7000000
TRIDC5BG003970	AT5G13390	chr5B	21000001	23000000
TRIDC5BG001070	AT4G23310	chr5B	5000001	7000000
TRIDC5BG000880	AT2G07050	chr5B	5000001	7000000
TRIDC5BG000860	AT1G11680	chr5B	5000001	7000000
TRIDC5BG000900	AT4G10620	chr5B	5000001	7000000
