atid	symbol	hvid	chr	start	end
AT3G63310	AtLFG2	HORVU4Hr1G015460	chr4H	58750001	59750000
AT5G49900		HORVU4Hr1G015450	chr4H	58750001	59750000
AT4G39300		HORVU4Hr1G035120	chr4H	255000001	256000000
AT1G09160		HORVU4Hr1G054610	chr4H	456500001	457500000
AT2G47500		HORVU4Hr1G054600	chr4H	456500001	457500000
AT4G25800		HORVU4Hr1G054630	chr4H	456500001	457500000
AT5G50990		HORVU4Hr1G054650	chr4H	456500001	457500000
AT3G03990	D14	HORVU4Hr1G070070	chr4H	573500001	574500000
AT4G30150		HORVU4Hr1G070090	chr4H	573500001	574500000
AT4G37640	ACA2	HORVU4Hr1G069990	chr4H	573500001	574500000
AT5G27660	AtPARK13	HORVU4Hr1G070120	chr4H	573500001	574500000
AT1G14020	RRT4	HORVU4Hr1G074960	chr4H	595750001	596750000
AT1G14205		HORVU4Hr1G075010	chr4H	595750001	596750000
AT1G14345		HORVU4Hr1G075160	chr4H	595750001	596750000
AT1G16820		HORVU4Hr1G075100	chr4H	595750001	596750000
AT1G26740		HORVU4Hr1G074800	chr4H	595750001	596750000
AT1G26760	ATXR1	HORVU4Hr1G074850	chr4H	595750001	596750000
AT1G69500	CYP704B1	HORVU4Hr1G074840	chr4H	595750001	596750000
AT1G74630		HORVU4Hr1G075000	chr4H	595750001	596750000
AT2G02800	APK2B	HORVU4Hr1G075150	chr4H	595750001	596750000
AT2G26560	PLA	HORVU4Hr1G075070	chr4H	595750001	596750000
AT2G26560	PLA	HORVU4Hr1G074970	chr4H	595750001	596750000
AT2G35290	SAUR79	HORVU4Hr1G075090	chr4H	595750001	596750000
AT2G40690	GLY1	HORVU4Hr1G075040	chr4H	595750001	596750000
AT3G28760		HORVU4Hr1G075140	chr4H	595750001	596750000
AT3G47490		HORVU4Hr1G074980	chr4H	595750001	596750000
AT5G15300		HORVU4Hr1G074830	chr4H	595750001	596750000
AT5G39660	CDF2	HORVU4Hr1G074990	chr4H	595750001	596750000
AT5G61410	EMB2728	HORVU4Hr1G074810	chr4H	595750001	596750000
AT1G67730	ATKCR1	HORVU5Hr1G045880	chr5H	355250001	356250000
AT2G29420	ATGSTU7	HORVU5Hr1G045850	chr5H	355250001	356250000
AT3G51950		HORVU5Hr1G045860	chr5H	355250001	356250000
AT4G38690		HORVU5Hr1G045890	chr5H	355250001	356250000
AT3G14470		HORVU6Hr1G020670	chr6H	58750001	59750000
AT3G20500	ATPAP18	HORVU6Hr1G020720	chr6H	58750001	59750000
AT3G47570		HORVU6Hr1G020690	chr6H	58750001	59750000
AT3G54960	ATPDI1	HORVU6Hr1G020610	chr6H	58750001	59750000
AT4G16760	ACX1	HORVU6Hr1G020600	chr6H	58750001	59750000
AT5G23950		HORVU6Hr1G020740	chr6H	58750001	59750000
AT5G43175		HORVU6Hr1G020710	chr6H	58750001	59750000
AT5G54880		HORVU6Hr1G020730	chr6H	58750001	59750000
AT1G72030		HORVU6Hr1G023720	chr6H	80750001	81750000
AT1G72300	PSY1R	HORVU6Hr1G023770	chr6H	80750001	81750000
AT1G72300	PSY1R	HORVU6Hr1G023730	chr6H	80750001	81750000
AT3G12340		HORVU6Hr1G023790	chr6H	80750001	81750000
AT1G47380		HORVU6Hr1G048180	chr6H	290250001	291250000
AT3G59710		HORVU6Hr1G055660	chr6H	354000001	355000000
AT1G20370		HORVU6Hr1G064480	chr6H	436750001	437750000
AT3G14810	MSL5	HORVU6Hr1G064470	chr6H	436750001	437750000
AT4G35750		HORVU6Hr1G064500	chr6H	436750001	437750000
AT4G37880		HORVU6Hr1G064450	chr6H	436750001	437750000
AT4G38460	AtSSU	HORVU6Hr1G064460	chr6H	436750001	437750000
AT1G05010	ACO4	HORVU6Hr1G079600	chr6H	537250001	538250000
AT1G14630		HORVU6Hr1G079320	chr6H	537250001	538250000
AT1G18335		HORVU6Hr1G079450	chr6H	537250001	538250000
AT1G73360	AtEDT1	HORVU6Hr1G079410	chr6H	537250001	538250000
AT2G05790		HORVU6Hr1G079630	chr6H	537250001	538250000
AT3G17740		HORVU6Hr1G079360	chr6H	537250001	538250000
AT5G14050		HORVU6Hr1G079430	chr6H	537250001	538250000
AT5G54840	ATSGP1	HORVU6Hr1G079270	chr6H	537250001	538250000
AT1G13000		HORVU7Hr1G029310	chr7H	54500001	55500000
AT1G15760		HORVU7Hr1G029260	chr7H	54500001	55500000
AT1G80530		HORVU7Hr1G029200	chr7H	54500001	55500000
AT2G13100	AtG3Pp5	HORVU7Hr1G029420	chr7H	54500001	55500000
AT2G25620	AtDBP1	HORVU7Hr1G029330	chr7H	54500001	55500000
AT3G02645		HORVU7Hr1G029290	chr7H	54500001	55500000
AT3G27360	H3.1	HORVU7Hr1G029190	chr7H	54500001	55500000
AT3G47680		HORVU7Hr1G029440	chr7H	54500001	55500000
AT3G53240	AtRLP45	HORVU7Hr1G029350	chr7H	54500001	55500000
AT4G35130		HORVU7Hr1G029280	chr7H	54500001	55500000
AT5G25265	HPAT1	HORVU7Hr1G029400	chr7H	54500001	55500000
AT5G59190		HORVU7Hr1G029160	chr7H	54500001	55500000
AT5G60370		HORVU7Hr1G029170	chr7H	54500001	55500000
AT1G51700	ADOF1	HORVU7Hr1G043250	chr7H	129750001	130750000
AT5G08120	MPB2C	HORVU7Hr1G043280	chr7H	129750001	130750000
AT5G55730	FLA1	HORVU7Hr1G043320	chr7H	129750001	130750000
AT5G59970		HORVU7Hr1G043300	chr7H	129750001	130750000
AT3G54670	ATSMC1	HORVU7Hr1G066300	chr7H	336000001	337000000
