hvid	atid	chr	start	end
HORVU3Hr1G068600	AT5G25880	chr3H	519250001	520250000
HORVU3Hr1G068540	AT1G51870	chr3H	519250001	520250000
HORVU3Hr1G068650	AT3G28345	chr3H	519250001	520250000
HORVU3Hr1G024650	AT2G19130	chr3H	95750001	96750000
HORVU3Hr1G032740	AT2G31580	chr3H	169000001	170000000
HORVU4Hr1G075070	AT2G26560	chr4H	595750001	596750000
HORVU4Hr1G075140	AT3G28760	chr4H	595750001	596750000
HORVU6Hr1G079600	AT1G05010	chr6H	537250001	538250000
HORVU2Hr1G116670	AT2G45560	chr2H	737750001	738750000
HORVU6Hr1G079630	AT2G05790	chr6H	537250001	538250000
HORVU1Hr1G022840	AT1G52870	chr1H	98750001	99750000
HORVU4Hr1G074970	AT2G26560	chr4H	595750001	596750000
HORVU2Hr1G002650	AT2G46950	chr2H	5250001	6250000
HORVU4Hr1G070070	AT3G03990	chr4H	573500001	574500000
HORVU5Hr1G045890	AT4G38690	chr5H	355250001	356250000
HORVU3Hr1G068520	AT4G29540	chr3H	519250001	520250000
HORVU7Hr1G029290	AT3G02645	chr7H	54500001	55500000
HORVU7Hr1G029330	AT2G25620	chr7H	54500001	55500000
HORVU7Hr1G029310	AT1G13000	chr7H	54500001	55500000
HORVU2Hr1G002640	AT5G13930	chr2H	5250001	6250000
HORVU7Hr1G029350	AT3G53240	chr7H	54500001	55500000
HORVU4Hr1G074810	AT5G61410	chr4H	595750001	596750000
HORVU6Hr1G064450	AT4G37880	chr6H	436750001	437750000
HORVU4Hr1G074850	AT1G26760	chr4H	595750001	596750000
HORVU2Hr1G116450	AT1G63380	chr2H	737750001	738750000
HORVU4Hr1G015330	AT1G71500	chr4H	58750001	59750000
HORVU2Hr1G002580	AT4G39490	chr2H	5250001	6250000
HORVU6Hr1G055660	AT3G59710	chr6H	354000001	355000000
HORVU4Hr1G054650	AT5G50990	chr4H	456500001	457500000
HORVU7Hr1G029170	AT5G60370	chr7H	54500001	55500000
HORVU6Hr1G064460	AT4G38460	chr6H	436750001	437750000
HORVU2Hr1G116630	AT5G13780	chr2H	737750001	738750000
HORVU2Hr1G116570	AT5G13780	chr2H	737750001	738750000
HORVU2Hr1G116600	AT5G13780	chr2H	737750001	738750000
HORVU2Hr1G116620	AT5G13780	chr2H	737750001	738750000
HORVU3Hr1G032750	AT2G28130	chr3H	169000001	170000000
HORVU2Hr1G002750	AT5G10530	chr2H	5250001	6250000
HORVU4Hr1G075000	AT1G74630	chr4H	595750001	596750000
HORVU5Hr1G045860	AT3G51950	chr5H	355250001	356250000
HORVU4Hr1G054630	AT4G25800	chr4H	456500001	457500000
HORVU7Hr1G029190	AT3G27360	chr7H	54500001	55500000
HORVU2Hr1G002630	AT4G37680	chr2H	5250001	6250000
HORVU6Hr1G020600	AT4G16760	chr6H	58750001	59750000
HORVU3Hr1G024660	AT5G06570	chr3H	95750001	96750000
HORVU7Hr1G029280	AT4G35130	chr7H	54500001	55500000
HORVU6Hr1G020670	AT3G14470	chr6H	58750001	59750000
HORVU4Hr1G074980	AT3G47490	chr4H	595750001	596750000
HORVU6Hr1G079450	AT1G18335	chr6H	537250001	538250000
HORVU3Hr1G032680	AT1G61110	chr3H	169000001	170000000
HORVU2Hr1G002620	AT3G48700	chr2H	5250001	6250000
HORVU7Hr1G043300	AT5G59970	chr7H	129750001	130750000
HORVU3Hr1G068610	AT5G28060	chr3H	519250001	520250000
HORVU6Hr1G064500	AT4G35750	chr6H	436750001	437750000
HORVU4Hr1G015340	AT3G50210	chr4H	58750001	59750000
HORVU3Hr1G068550	AT2G36890	chr3H	519250001	520250000
HORVU4Hr1G075160	AT1G14345	chr4H	595750001	596750000
HORVU4Hr1G074990	AT5G39660	chr4H	595750001	596750000
HORVU3Hr1G068630	AT1G16470	chr3H	519250001	520250000
HORVU4Hr1G075010	AT1G14205	chr4H	595750001	596750000
HORVU5Hr1G045850	AT2G29420	chr5H	355250001	356250000
HORVU2Hr1G002570	AT2G46950	chr2H	5250001	6250000
HORVU2Hr1G002500	AT5G48930	chr2H	5250001	6250000
HORVU2Hr1G002690	AT4G23180	chr2H	5250001	6250000
HORVU5Hr1G045880	AT1G67730	chr5H	355250001	356250000
HORVU2Hr1G002720	AT1G14880	chr2H	5250001	6250000
HORVU7Hr1G043280	AT5G08120	chr7H	129750001	130750000
HORVU2Hr1G116660	AT4G21445	chr2H	737750001	738750000
HORVU3Hr1G024810	AT1G10330	chr3H	95750001	96750000
HORVU3Hr1G032710	AT1G15370	chr3H	169000001	170000000
HORVU6Hr1G020740	AT5G23950	chr6H	58750001	59750000
HORVU4Hr1G015350	AT1G71450	chr4H	58750001	59750000
HORVU7Hr1G043250	AT1G51700	chr7H	129750001	130750000
HORVU6Hr1G079430	AT5G14050	chr6H	537250001	538250000
HORVU6Hr1G079320	AT1G14630	chr6H	537250001	538250000
HORVU4Hr1G015370	AT2G30020	chr4H	58750001	59750000
HORVU4Hr1G074800	AT1G26740	chr4H	595750001	596750000
HORVU7Hr1G043320	AT5G55730	chr7H	129750001	130750000
HORVU6Hr1G020730	AT5G54880	chr6H	58750001	59750000
HORVU6Hr1G079270	AT5G54840	chr6H	537250001	538250000
HORVU7Hr1G029260	AT1G15760	chr7H	54500001	55500000
HORVU2Hr1G116530	AT1G17630	chr2H	737750001	738750000
HORVU3Hr1G068580	AT3G18990	chr3H	519250001	520250000
HORVU2Hr1G002660	AT4G34500	chr2H	5250001	6250000
HORVU2Hr1G116370	AT3G14470	chr2H	737750001	738750000
HORVU3Hr1G068570	AT2G19900	chr3H	519250001	520250000
HORVU6Hr1G020710	AT5G43175	chr6H	58750001	59750000
HORVU4Hr1G015460	AT3G63310	chr4H	58750001	59750000
HORVU4Hr1G075090	AT2G35290	chr4H	595750001	596750000
HORVU6Hr1G023720	AT1G72030	chr6H	80750001	81750000
HORVU2Hr1G002710	AT4G38280	chr2H	5250001	6250000
HORVU6Hr1G020610	AT3G54960	chr6H	58750001	59750000
HORVU2Hr1G116440	AT4G32300	chr2H	737750001	738750000
HORVU2Hr1G002520	AT3G09220	chr2H	5250001	6250000
HORVU3Hr1G032760	AT2G42760	chr3H	169000001	170000000
HORVU4Hr1G070120	AT5G27660	chr4H	573500001	574500000
HORVU6Hr1G023790	AT3G12340	chr6H	80750001	81750000
HORVU3Hr1G068640	AT3G53310	chr3H	519250001	520250000
HORVU4Hr1G035120	AT4G39300	chr4H	255000001	256000000
HORVU3Hr1G032700	AT5G26610	chr3H	169000001	170000000
HORVU4Hr1G075100	AT1G16820	chr4H	595750001	596750000
HORVU3Hr1G024720	AT3G24255	chr3H	95750001	96750000
HORVU4Hr1G015470	AT2G26330	chr4H	58750001	59750000
HORVU3Hr1G024700	AT3G25720	chr3H	95750001	96750000
HORVU2Hr1G002600	AT4G36910	chr2H	5250001	6250000
HORVU7Hr1G029440	AT3G47680	chr7H	54500001	55500000
