atid	symbol	tdid	chr	start	end
AT2G02220	ATPSKR1	TRIDC2AG076800	chr2A	749000001	751000000
AT2G02220	ATPSKR1	TRIDC2AG076790	chr2A	749000001	751000000
AT2G02220	ATPSKR1	TRIDC2AG076740	chr2A	749000001	751000000
AT2G03690		TRIDC2AG076950	chr2A	749000001	751000000
AT3G04720	AtPR4	TRIDC2AG076880	chr2A	749000001	751000000
AT3G17670		TRIDC2AG076940	chr2A	749000001	751000000
AT3G18630	ATUNG	TRIDC2AG076910	chr2A	749000001	751000000
AT3G21865	PEX22	TRIDC2AG076830	chr2A	749000001	751000000
AT3G29765		TRIDC2AG076700	chr2A	749000001	751000000
AT3G57040	ARR9	TRIDC2AG076890	chr2A	749000001	751000000
AT4G01990		TRIDC2AG076970	chr2A	749000001	751000000
AT4G01990		TRIDC2AG077040	chr2A	749000001	751000000
AT4G31080	LNP2	TRIDC2AG076850	chr2A	749000001	751000000
AT4G39900		TRIDC2AG076760	chr2A	749000001	751000000
AT5G01320		TRIDC2AG076990	chr2A	749000001	751000000
AT5G06740	LecRK-S.5	TRIDC2AG077050	chr2A	749000001	751000000
AT5G11720	AGLU1	TRIDC2AG076640	chr2A	749000001	751000000
AT5G11720	AGLU1	TRIDC2AG076690	chr2A	749000001	751000000
AT5G11720	AGLU1	TRIDC2AG076620	chr2A	749000001	751000000
AT5G11720	AGLU1	TRIDC2AG076660	chr2A	749000001	751000000
AT5G24830		TRIDC2AG076900	chr2A	749000001	751000000
AT5G54960	PDC2	TRIDC2AG076980	chr2A	749000001	751000000
AT5G61160	AACT1	TRIDC2AG076630	chr2A	749000001	751000000
AT1G06640		TRIDC2BG006360	chr2B	29000001	31000000
AT2G18040	PIN1AT	TRIDC2BG006460	chr2B	29000001	31000000
AT3G07040	RPM1	TRIDC2BG006310	chr2B	29000001	31000000
AT3G46730		TRIDC2BG006330	chr2B	29000001	31000000
AT4G20820	AtBBE18	TRIDC2BG006430	chr2B	29000001	31000000
AT4G21410	CRK29	TRIDC2BG006320	chr2B	29000001	31000000
AT4G23200	CRK12	TRIDC2BG006490	chr2B	29000001	31000000
AT5G24080		TRIDC2BG006350	chr2B	29000001	31000000
AT5G44440		TRIDC2BG006440	chr2B	29000001	31000000
AT5G44440		TRIDC2BG006400	chr2B	29000001	31000000
AT5G54160	AtCOMT	TRIDC2BG006370	chr2B	29000001	31000000
AT5G54160	AtCOMT	TRIDC2BG006340	chr2B	29000001	31000000
AT5G54160	AtCOMT	TRIDC2BG006380	chr2B	29000001	31000000
AT4G14280		TRIDC2BG019790	chr2B	131500001	133500000
AT1G67440	emb1688	TRIDC2BG043700	chr2B	419000001	421000000
AT1G67480		TRIDC2BG043650	chr2B	419000001	421000000
AT2G28160	ATBHLH029	TRIDC2BG043690	chr2B	419000001	421000000
AT3G01860		TRIDC2BG043640	chr2B	419000001	421000000
AT3G48530	KIN&#947;	TRIDC2BG043730	chr2B	419000001	421000000
AT4G33650	ADL2	TRIDC2BG043660	chr2B	419000001	421000000
AT5G14170	BAF60	TRIDC2BG043710	chr2B	419000001	421000000
AT5G38360		TRIDC2BG043670	chr2B	419000001	421000000
AT5G47920		TRIDC2BG043740	chr2B	419000001	421000000
AT5G50380	ATEXO70F1	TRIDC2BG043720	chr2B	419000001	421000000
AT1G22990	HIPP22	TRIDC2BG044570	chr2B	434000001	436000000
AT1G28110	SCPL45	TRIDC2BG044560	chr2B	434000001	436000000
AT2G33550	ASR3	TRIDC2BG044600	chr2B	434000001	436000000
AT5G13970		TRIDC2BG044590	chr2B	434000001	436000000
AT5G50920	ATHSP93-V	TRIDC2BG044580	chr2B	434000001	436000000
AT5G50930	AtMHF1	TRIDC2BG044620	chr2B	434000001	436000000
AT5G61960	AML1	TRIDC2BG044640	chr2B	434000001	436000000
AT1G32700		TRIDC2BG068220	chr2B	660500001	662500000
AT2G35410		TRIDC2BG068230	chr2B	660500001	662500000
AT3G56640	SEC15A	TRIDC2BG068260	chr2B	660500001	662500000
AT4G17790		TRIDC2BG068150	chr2B	660500001	662500000
AT4G17880	MYC4	TRIDC2BG068250	chr2B	660500001	662500000
AT5G16730		TRIDC2BG068170	chr2B	660500001	662500000
AT5G16750	TOZ	TRIDC2BG068140	chr2B	660500001	662500000
AT5G16770	AtMYB9	TRIDC2BG068120	chr2B	660500001	662500000
AT1G22700	PYG7	TRIDC3BG001880	chr3B	6000001	8000000
AT1G52360		TRIDC3BG001890	chr3B	6000001	8000000
AT1G65480	FT	TRIDC3BG001930	chr3B	6000001	8000000
AT1G65680	ATEXPB2	TRIDC3BG001780	chr3B	6000001	8000000
AT1G65680	ATEXPB2	TRIDC3BG001650	chr3B	6000001	8000000
AT1G66910		TRIDC3BG001910	chr3B	6000001	8000000
AT1G66920		TRIDC3BG002240	chr3B	6000001	8000000
AT1G66920		TRIDC3BG002360	chr3B	6000001	8000000
AT1G66920		TRIDC3BG002320	chr3B	6000001	8000000
AT1G67000		TRIDC3BG002390	chr3B	6000001	8000000
AT1G67000		TRIDC3BG002270	chr3B	6000001	8000000
AT1G70250	LTPG32	TRIDC3BG002460	chr3B	6000001	8000000
AT1G70250	LTPG32	TRIDC3BG002250	chr3B	6000001	8000000
AT2G24450	FLA3	TRIDC3BG001810	chr3B	6000001	8000000
AT2G27490	ATCOAE	TRIDC3BG001720	chr3B	6000001	8000000
AT2G37600		TRIDC3BG002480	chr3B	6000001	8000000
AT3G04630	WDL1	TRIDC3BG001730	chr3B	6000001	8000000
AT3G07040	RPM1	TRIDC3BG002090	chr3B	6000001	8000000
AT3G07040	RPM1	TRIDC3BG002080	chr3B	6000001	8000000
AT3G14470		TRIDC3BG002070	chr3B	6000001	8000000
AT3G44550	FAR5	TRIDC3BG002030	chr3B	6000001	8000000
AT3G47570		TRIDC3BG002490	chr3B	6000001	8000000
AT4G01070	GT72B1	TRIDC3BG001710	chr3B	6000001	8000000
AT4G32300	SD2-5	TRIDC3BG002190	chr3B	6000001	8000000
AT4G32300	SD2-5	TRIDC3BG002170	chr3B	6000001	8000000
AT4G32300	SD2-5	TRIDC3BG002100	chr3B	6000001	8000000
AT4G32300	SD2-5	TRIDC3BG002180	chr3B	6000001	8000000
AT5G01110		TRIDC3BG001900	chr3B	6000001	8000000
AT5G20280	ATSPS1F	TRIDC3BG002130	chr3B	6000001	8000000
AT5G22500	FAR1	TRIDC3BG001960	chr3B	6000001	8000000
AT5G22500	FAR1	TRIDC3BG001970	chr3B	6000001	8000000
AT5G37300	WSD1	TRIDC3BG001950	chr3B	6000001	8000000
AT5G38260		TRIDC3BG001920	chr3B	6000001	8000000
AT5G38260		TRIDC3BG002280	chr3B	6000001	8000000
AT5G38260		TRIDC3BG002450	chr3B	6000001	8000000
AT5G38260		TRIDC3BG002470	chr3B	6000001	8000000
AT5G38260		TRIDC3BG002400	chr3B	6000001	8000000
AT5G38260		TRIDC3BG002370	chr3B	6000001	8000000
AT5G38260		TRIDC3BG002330	chr3B	6000001	8000000
AT5G47320	RPS19	TRIDC3BG001740	chr3B	6000001	8000000
AT5G53390	FOP1	TRIDC3BG001990	chr3B	6000001	8000000
AT5G53390	FOP1	TRIDC3BG001980	chr3B	6000001	8000000
AT5G61290		TRIDC3BG001770	chr3B	6000001	8000000
AT5G61750		TRIDC3BG002160	chr3B	6000001	8000000
ATCG00130	ATPF	TRIDC3BG001790	chr3B	6000001	8000000
ATMG00510	D7	TRIDC3BG001750	chr3B	6000001	8000000
AT1G21240	WAK3	TRIDC3BG085950	chr3B	829500001	831500000
AT1G21250	AtWAK1	TRIDC3BG085960	chr3B	829500001	831500000
AT1G55170		TRIDC3BG085660	chr3B	829500001	831500000
AT2G11520	CRCK3	TRIDC3BG085700	chr3B	829500001	831500000
AT2G28680		TRIDC3BG085750	chr3B	829500001	831500000
AT2G29200	APUM1	TRIDC3BG085870	chr3B	829500001	831500000
AT3G07040	RPM1	TRIDC3BG085690	chr3B	829500001	831500000
AT3G14470		TRIDC3BG085760	chr3B	829500001	831500000
AT3G29575	AFP3	TRIDC3BG085790	chr3B	829500001	831500000
AT3G46620	AtRDUF1	TRIDC3BG085930	chr3B	829500001	831500000
AT3G46640	LUX	TRIDC3BG085820	chr3B	829500001	831500000
AT3G46710		TRIDC3BG085710	chr3B	829500001	831500000
AT4G24770	ATRBP31	TRIDC3BG085890	chr3B	829500001	831500000
AT5G02600	KR1	TRIDC3BG085720	chr3B	829500001	831500000
AT5G20890		TRIDC3BG085940	chr3B	829500001	831500000
AT5G59520	AtZIP2	TRIDC3BG085920	chr3B	829500001	831500000
AT1G07910	AtRLG1	TRIDC4BG010190	chr4B	56500001	58500000
AT1G08560	ATSYP111	TRIDC4BG010360	chr4B	56500001	58500000
AT1G17980	PAPS1	TRIDC4BG010480	chr4B	56500001	58500000
AT1G28200	FIP1	TRIDC4BG010390	chr4B	56500001	58500000
AT1G77405		TRIDC4BG010300	chr4B	56500001	58500000
AT2G14110		TRIDC4BG010440	chr4B	56500001	58500000
AT2G23170	GH3.3	TRIDC4BG010260	chr4B	56500001	58500000
AT2G36230	APG10	TRIDC4BG010350	chr4B	56500001	58500000
AT2G38110	ATGPAT6	TRIDC4BG010290	chr4B	56500001	58500000
AT2G39810	ESD6	TRIDC4BG010430	chr4B	56500001	58500000
AT3G07030		TRIDC4BG010200	chr4B	56500001	58500000
AT3G11400	ATEIF3G1	TRIDC4BG010180	chr4B	56500001	58500000
AT3G28460		TRIDC4BG010320	chr4B	56500001	58500000
AT3G50150		TRIDC4BG010250	chr4B	56500001	58500000
AT3G52600	AtCWIN2	TRIDC4BG010240	chr4B	56500001	58500000
AT4G09650	ATPD	TRIDC4BG010380	chr4B	56500001	58500000
AT5G05250		TRIDC4BG010400	chr4B	56500001	58500000
AT5G10860	CBSX3	TRIDC4BG010410	chr4B	56500001	58500000
AT5G13750	ZIFL1	TRIDC4BG010270	chr4B	56500001	58500000
AT5G14780	AtFDH1	TRIDC4BG010280	chr4B	56500001	58500000
AT5G27620	CYCH;1	TRIDC4BG010450	chr4B	56500001	58500000
AT5G49720	ATGH9A1	TRIDC4BG010310	chr4B	56500001	58500000
AT5G52200	AtI-2	TRIDC4BG010460	chr4B	56500001	58500000
AT1G08570	ACHT4	TRIDC4BG031570	chr4B	388500001	390500000
AT3G03660	WOX11	TRIDC4BG031600	chr4B	388500001	390500000
AT3G04030	MYR2	TRIDC4BG031620	chr4B	388500001	390500000
AT5G04930	ALA1	TRIDC4BG031580	chr4B	388500001	390500000
AT1G11680	atCYP51	TRIDC5BG000890	chr5B	5000001	7000000
AT1G11680	atCYP51	TRIDC5BG000860	chr5B	5000001	7000000
AT1G21210	WAK4	TRIDC5BG001160	chr5B	5000001	7000000
AT1G45050	ATUBC2-1	TRIDC5BG000910	chr5B	5000001	7000000
AT1G47290	3BETAHSD/D1	TRIDC5BG000840	chr5B	5000001	7000000
AT1G61390		TRIDC5BG001080	chr5B	5000001	7000000
AT2G07050	CAS1	TRIDC5BG000880	chr5B	5000001	7000000
AT3G14460	LRRAC1	TRIDC5BG001090	chr5B	5000001	7000000
AT3G14470		TRIDC5BG001140	chr5B	5000001	7000000
AT3G14470		TRIDC5BG001030	chr5B	5000001	7000000
AT3G26330	CYP71B37	TRIDC5BG000850	chr5B	5000001	7000000
AT3G45140	ATLOX2	TRIDC5BG001260	chr5B	5000001	7000000
AT3G46290	HERK1	TRIDC5BG001100	chr5B	5000001	7000000
AT3G56630	CYP94D2	TRIDC5BG000870	chr5B	5000001	7000000
AT4G00960		TRIDC5BG001150	chr5B	5000001	7000000
AT4G00960		TRIDC5BG001040	chr5B	5000001	7000000
AT4G10620		TRIDC5BG000900	chr5B	5000001	7000000
AT4G23310	CRK23	TRIDC5BG001070	chr5B	5000001	7000000
AT4G34610	BLH6	TRIDC5BG001240	chr5B	5000001	7000000
AT5G27660	AtPARK13	TRIDC5BG000920	chr5B	5000001	7000000
AT2G04160	AIR3	TRIDC5BG003890	chr5B	21000001	23000000
AT2G26580	YAB5	TRIDC5BG003960	chr5B	21000001	23000000
AT2G26730		TRIDC5BG003990	chr5B	21000001	23000000
AT3G54750		TRIDC5BG003760	chr5B	21000001	23000000
AT3G54750		TRIDC5BG003670	chr5B	21000001	23000000
AT4G26090	RPS2	TRIDC5BG003910	chr5B	21000001	23000000
AT4G33760	OKI1	TRIDC5BG003790	chr5B	21000001	23000000
AT5G05400		TRIDC5BG003900	chr5B	21000001	23000000
AT5G13390	NEF1	TRIDC5BG003970	chr5B	21000001	23000000
AT5G62310	IRE	TRIDC5BG003940	chr5B	21000001	23000000
AT5G50260	CEP1	TRIDC5BG029410	chr5B	318500001	320500000
AT1G26840	ATORC6	TRIDC5BG037560	chr5B	405500001	407500000
AT2G24130		TRIDC5BG037490	chr5B	405500001	407500000
AT4G30710	8-Aug	TRIDC5BG037510	chr5B	405500001	407500000
AT4G30825	BFA2	TRIDC5BG037470	chr5B	405500001	407500000
AT5G10820		TRIDC5BG037460	chr5B	405500001	407500000
AT5G17420	ATCESA7	TRIDC5BG037520	chr5B	405500001	407500000
AT5G48930	HCT	TRIDC5BG037540	chr5B	405500001	407500000
AT1G24610		TRIDC6AG044920	chr6A	529000001	531000000
AT1G52820		TRIDC6AG045080	chr6A	529000001	531000000
AT1G67920		TRIDC6AG044960	chr6A	529000001	531000000
AT1G70670	AtCLO4	TRIDC6AG044990	chr6A	529000001	531000000
AT1G70680		TRIDC6AG045010	chr6A	529000001	531000000
AT1G70680		TRIDC6AG044970	chr6A	529000001	531000000
AT2G01660	PDLP6	TRIDC6AG045090	chr6A	529000001	531000000
AT2G01670	atnudt17	TRIDC6AG044980	chr6A	529000001	531000000
AT2G32300	UCC1	TRIDC6AG045150	chr6A	529000001	531000000
AT5G17190		TRIDC6AG045140	chr6A	529000001	531000000
AT5G17640	ASG1	TRIDC6AG045050	chr6A	529000001	531000000
AT1G18210		TRIDC7BG053700	chr7B	598500001	600500000
AT1G18250	ATLP-1	TRIDC7BG053740	chr7B	598500001	600500000
AT1G28460	AGL59	TRIDC7BG053850	chr7B	598500001	600500000
AT1G44350	ILL6	TRIDC7BG053720	chr7B	598500001	600500000
AT1G50640	ATERF3	TRIDC7BG053770	chr7B	598500001	600500000
AT1G72300	PSY1R	TRIDC7BG053690	chr7B	598500001	600500000
AT1G80570		TRIDC7BG053840	chr7B	598500001	600500000
AT4G24770	ATRBP31	TRIDC7BG053710	chr7B	598500001	600500000
AT5G13780	A10	TRIDC7BG053800	chr7B	598500001	600500000
AT5G44750	ATREV1	TRIDC7BG053780	chr7B	598500001	600500000
AT5G48810	ATB5-B	TRIDC7BG053860	chr7B	598500001	600500000
AT5G59870	h2a.w.6	TRIDC7BG053870	chr7B	598500001	600500000
AT5G59870	h2a.w.6	TRIDC7BG053890	chr7B	598500001	600500000
AT5G65560		TRIDC7BG053810	chr7B	598500001	600500000
